Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-08-19T16:30:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
17/08/2012,AIA Group Ltd,27.2,,
17/08/2012,Aluminum Corp Of China Ltd,3.34,,
17/08/2012,Bank of China Ltd,2.99,,
17/08/2012,Bank of Communications Co Ltd,5.29,,
17/08/2012,Belle International Holdings Ltd,14.82,,
17/08/2012,BOC Hong Kong Ltd,24.45,,
17/08/2012,Cathay Pacific Airways Ltd,13.02,,
17/08/2012,Cheung Kong  Ltd,110.1,,
17/08/2012,China Coal Energy Co Ltd,7.39,,
17/08/2012,China Construction Bank Corp,5.39,,
17/08/2012,China Life Insurance Co Ltd,21.45,,
17/08/2012,China Merchants Holdings Co Ltd,24.35,,
17/08/2012,China Mobile Ltd,83.65,,
17/08/2012,China Overseas Land & Investment Ltd,18.08,,
17/08/2012,China Petroleum & Chemical Corp,7.53,,
17/08/2012,China Resources Enterprise Ltd,24.25,,
17/08/2012,China Resources Land Ltd,14.92,,
17/08/2012,China Resources Power Holdings Co Ltd,16.38,,
17/08/2012,China Shenhua Energy Co Ltd,30.25,,
17/08/2012,China Unicom  Ltd,11.86,,
17/08/2012,Citic Pacific Ltd,11.18,,
17/08/2012,CLP Holdings Ltd,65.6,,
17/08/2012,Cnooc Ltd,15.58,,
17/08/2012,COSCO Pacific Ltd,10.62,,
17/08/2012,Esprit Holdings Ltd,11.5,,
17/08/2012,Hang Lung Properties Ltd,27.25,,
17/08/2012,Hang Seng Bank Ltd,111.9,,
17/08/2012,Henderson Land Development Co Ltd,47.6,,
17/08/2012,Hengan International Group Co Ltd,72.6,,
17/08/2012,Hong Kong Exchanges And Clearing Ltd,108.9,,
17/08/2012,HSBC Holdings PLC,69.1,,
17/08/2012,Hutchison Whampoa Ltd,70.6,,
17/08/2012,Industrial and Commercial Bank of China Ltd,4.49,,
17/08/2012,Li & Fung Ltd,12.74,,
17/08/2012,MTR Corp Ltd,28.2,,
17/08/2012,New World Development Co Ltd,10.3,,
17/08/2012,PetroChina Co Ltd,9.88,,
17/08/2012,Ping An Insurance Co Of China Ltd,60.5,,
17/08/2012,Power Assets Holdings Ltd,61.55,,
17/08/2012,Sino Land Co Ltd,13.5,,
17/08/2012,Sun Hung Kai Properties Ltd,102.9,,
17/08/2012,Swire Pacific Ltd,92.55,,
17/08/2012,Tencent Holdings Ltd,248.2,,
17/08/2012,The Bank Of East Asia Ltd,29.95,,
17/08/2012,The Hong Kong and China Gas Co Ltd,18.4,,
17/08/2012,Wharf Ltd,46.75,,
,
Frankfurt Stock Exchange,
Quoted in Euros,
,
Trading date,Company name,Last sale,,
17/08/2012,adidas AG,63,,
17/08/2012,Allianz Se,87.6,,
17/08/2012,BASF SE,62.05,,
17/08/2012,Bayer AG,62.63,,
17/08/2012,Beiersdorf AG,56.52,,
17/08/2012,BMW AG,61.46,,
17/08/2012,COMMERZBANK AG,1.263,,
17/08/2012,Daimler AG,41.815,,
17/08/2012,Deutsche Bank AG,26.72,,
17/08/2012,Deutsche Boerse AG,42.345,,
17/08/2012,Deutsche Lufthansa AG,9.957,,
17/08/2012,Deutsche Post AG,15.95,,
17/08/2012,Deutsche Telekom AG,9.456,,
17/08/2012,EON AG,18.255,,
17/08/2012,Fresenius Medical Care AG & Co Kgaa,57.52,,
