Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Tuesday at 2012-10-30T16:30:11+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
26/10/2012,Bank East Asia,29.2,,
26/10/2012,Bank of China,3.14,,
26/10/2012,Cafe de Coral,22.9,,
26/10/2012,Cathay Pacific,13.78,,
26/10/2012,Cheung Kong,117.8,,
26/10/2012,Cheung Kong Infra,45.9,,
26/10/2012,China Life,22.55,,
26/10/2012,China Mobile,85.75,,
26/10/2012,China Res,25.15,,
26/10/2012,China Unicom,12.72,,
26/10/2012,Citic Pacific,9.8,,
26/10/2012,City Telecom,1.7,,
26/10/2012,CLP,66,,
26/10/2012,Cosco Pacific,11.42,,
26/10/2012,Esprit,10.48,,
26/10/2012,Hang Lung,45.85,,
26/10/2012,Hang Lung Prop,27,,
26/10/2012,Hang Seng Bank,119.1,,
26/10/2012,Henderson Inv,.59,,
26/10/2012,Henderson Land,56.9,,
26/10/2012,HK & China Gas,20.45,,
26/10/2012,HK Exch,125.9,,
26/10/2012,Hongkong Electric,65.65,,
26/10/2012,HSBC,75.9,,
26/10/2012,Hutchison Whampoa,76.85,,
26/10/2012,Hysan Development,34.3,,
26/10/2012,I-Cable Comms,.38,,
26/10/2012,Johnson Electric,5.03,,
26/10/2012,Century Legend,.25,,
26/10/2012,Li Fung,12.58,,
26/10/2012,MTR Corp,29.95,,
26/10/2012,New World Dev,12.9,,
26/10/2012,Shanghai Industrial,24.45,,
26/10/2012,Shanghai Petro,2.3,,
26/10/2012,Sino Land,14.68,,
26/10/2012,Sino-Ocean Land,4.7,,
26/10/2012,Sun Hung Kai,111.8,,
26/10/2012,Swire Pacific,93,,
26/10/2012,Television Broadcasts,59,,
26/10/2012,Tsingtao Brewery,43.35,,
26/10/2012,Vtech,89.2,,
26/10/2012,Wharf,52.9,,
26/10/2012,Wheelock and Co,34.9,,
,
Frankfurt Stock Exchange,
Quoted in Euros,
,
Trading date,Company name,Last sale,,
26/10/2012,Adidas,64.98,,
26/10/2012,Allianz,93.92,,
27/08/2010,Altana,16.25,,
26/10/2012,Arcandor,.025,,
26/10/2012,Bayer,67.15,,
26/10/2012,Beiersdorf,56.31,,
26/10/2012,BMW,60.97,,
26/10/2012,Celesio,15.12,,
26/10/2012,Commerzbank,1.478,,
26/10/2012,Daimler,36.69,,
26/10/2012,Deutsche Bank,33.66,,
26/10/2012,Deutsche Boerse,41.75,,
26/10/2012,Deutsche Post,15.885,,
26/10/2012,Deutsche Telekom,8.84,,
26/10/2012,E.ON,17.615,,
26/10/2012,Fresenius Medical Care,57.11,,
11/04/2011,HeidelbergCement,44,,
26/10/2012,Henkel KGAA,62.37,,
26/10/2012,Infineon Tech,5.286,,
26/10/2012,K+S,35.85,,
26/10/2012,Linde,128.8,,
26/10/2012,Lufthansa,10.85,,
26/10/2012,MAN,77.05,,
26/10/2012,Merck KGAA,99.13,,
26/10/2012,Metro,22.07,,
26/10/2012,Munich Re,124.4,,
26/10/2012,RWE,34.865,,
26/10/2012,Salzgitter,33.5,,
26/10/2012,SAP,55.24,,
26/10/2012,Siemens,77.23,,
26/10/2012,ThyssenKrupp,17.855,,
26/10/2012,Volkswagen,154.4,,
26/10/2012,Wincor,33.395,,
,
Tokyo Stock Exchange,
Quoted in Japanese Yen,
,
Trading date,Company name,Last sale,,
29/10/2012,Advantest,996,,
29/10/2012,Aeon,867,,
29/10/2012,Ajinmoto,"1,235",,
29/10/2012,Asahi Breweries,"1,884",,
29/10/2012,Asahi Glass,538,,
29/10/2012,Bridgestone,"1,829",,
29/10/2012,Canon,"2,515",,
29/10/2012,Casio,622,,
29/10/2012,Chugai Pharm,"1,619",,
29/10/2012,Citizen,397,,
29/10/2012,Clarion,120,,
29/10/2012,Daiichi Sankyo,"1,209",,
29/10/2012,Daiwa House,"1,206",,
29/10/2012,Daiwa Securities,315,,
29/10/2012,Denso,"2,429",,
29/10/2012,Eisai,"3,540",,
29/10/2012,Fanuc,"12,630",,
29/10/2012,Fuji Electric,160,,
29/10/2012,Fuji Heavy Ind,721,,
29/10/2012,FujiFilm,"1,328",,
29/10/2012,Fujitsu,304,,
29/10/2012,Furukawa Elec,163,,
29/10/2012,Heiwa Real Estate,976,,
29/10/2012,Hino Motors,603,,
29/10/2012,Hitachi,411,,
29/10/2012,Hokuetsu,408,,
29/10/2012,Honda,"2,399",,
29/10/2012,Isetan Mitsuko,794,,
29/10/2012,Isuzu Motors,404,,
29/10/2012,Itochu,788,,
29/10/2012,Japan Steel,450,,
29/10/2012,Japan Tobacco,"2,294",,
29/10/2012,JGC,"2,790",,
29/10/2012,JX,417,,
29/10/2012,Kajima,223,,
29/10/2012,Kansai Elec Power,621,,
29/10/2012,Kao,"2,248",,
29/10/2012,Kawasaki Heavy,162,,
29/10/2012,KDDI,"6,190",,
29/10/2012,Kirin,"1,017",,
29/10/2012,Kobe Steel,68,,
29/10/2012,Komatsu,"1,646",,
29/10/2012,Konica Minolta,556,,
29/10/2012,Kubota,830,,
29/10/2012,Kyocera,"7,130",,
29/10/2012,Marubeni,511,,
29/10/2012,Marui,570,,
29/10/2012,Mazda,94,,
29/10/2012,Minebea,255,,
29/10/2012,Mitsubishi Chemicals,307,,
29/10/2012,Mitsubishi Electric,590,,
29/10/2012,Mitsubishi Estate,"1,580",,
29/10/2012,Mitsubishi Heavy,351,,
29/10/2012,Mitsubishi Motor,69,,
29/10/2012,Mitsui,"1,126",,
29/10/2012,Mitsui Chemicals,160,,
29/10/2012,Mitsui Fudosan,"1,641",,
29/10/2012,Mitsui OSK,183,,
26/08/2011,Mizuho Tr,59,,
29/10/2012,NEC,148,,
29/10/2012,Nikon,"1,988",,
29/10/2012,Nippon Express,299,,
29/10/2012,Nippon Steel,172,,
29/10/2012,Nippon Yusen,146,,
29/10/2012,Nissan Motor,670,,
29/10/2012,NKSJ,"1,427",,
29/10/2012,Nomura,283,,
29/10/2012,NTT,"3,650",,
29/10/2012,NTT Data,"264,800",,
29/10/2012,NTT DoCoMo Inc,"116,000",,
29/10/2012,Obayashi,360,,
29/10/2012,OJI Paper,232,,
29/10/2012,OKI Electric,82,,
29/10/2012,Olympus,"1,363",,
29/10/2012,Osaka Gas,328,,
29/10/2012,Panasonic,492,,
29/10/2012,Pioneer,188,,
29/10/2012,Resona,351,,
29/10/2012,Ricoh,695,,
28/03/2011,Sanyo Electric,116,,
29/10/2012,Sapporo,229,,
29/10/2012,Secom,"4,100",,
29/10/2012,Sharp,162,,
29/10/2012,Sony,940,,
29/10/2012,Sumitomo,"1,076",,
29/10/2012,Sumitomo Electrical,853,,
28/03/2011,Sumitomo Tr,431,,
29/10/2012,Suzuki Motor,"1,752",,
29/10/2012,Taiheiyo Cement,166,,
29/10/2012,Taisei,221,,
29/10/2012,Takeda,"3,680",,
29/10/2012,TDK,"2,885",,
29/10/2012,Teijin,182,,
29/10/2012,Tokyo Elec Power,127,,
29/10/2012,Tokyo Electron,"3,540",,
29/10/2012,Tokyo Gas,409,,
29/10/2012,Toppan Print,458,,
29/10/2012,Toray,458,,
29/10/2012,Toshiba,285,,
29/10/2012,Toyota Motor,"3,030",,
29/10/2012,Yamaha,712,,
29/10/2012,Yamato,"1,208",,
,
Kuala Lumpur Stock Exchange,
Quoted in Ringgit,
,
Trading date,Company name,Last sale,,
25/10/2012,AMMB,6.36,,
25/10/2012,Brit Amer Tobacco,64.8,,
25/10/2012,Carlsberg Brew,12.36,,
25/10/2012,Digi,5.42,,
08/09/2011,EON Capital,2.6,,
25/10/2012,Genting,3.54,,
25/10/2012,Guinness,16.58,,
25/10/2012,IGB,2.43,,
25/10/2012,Land & General,.43,,
25/10/2012,Malaysian Airlines,1.06,,
25/10/2012,Petronas Gas,19.8,,
03/05/2012,Proton,5.48,,
25/10/2012,Public Bank,15.42,,
25/10/2012,RHB Capital,7.46,,
25/10/2012,Sime Darby,9.8,,
21/09/2010,Tanjong,21.8,,
25/10/2012,Telekom Malaysia,6.08,,
25/10/2012,Tenaga Nasional,6.95,,
25/10/2012,UMW,9.99,,
25/10/2012,YTL Corp,1.76,,
,
New Zealand Exchange,
Quoted in NZ Dollars,
,
Trading date,Company name,Last sale,,
29/10/2012,A2 Corp,.68,,
29/10/2012,Abano Health,5.74,,
15/10/2010,Affco,.36,,
29/10/2012,Air NZ,1.24,,
25/10/2012,Allied Farmers,.027,,
29/10/2012,AMP,5.68,,
29/10/2012,AMP Office,1.035,,
24/07/2012,AMP World,1,,
29/10/2012,ANZ,31.86,,
29/10/2012,APN News,.45,,
29/10/2012,Auckair,2.66,,
29/10/2012,Aust Found,6.01,,
26/10/2012,Bankers Inv,8.7,,
29/10/2012,Barramundi,.67,,
26/10/2012,Blis Tech,.009,,
29/10/2012,Briscoe,2.08,,
24/10/2012,Caledonia,29.53,,
29/10/2012,Cavalier,1.95,,
26/09/2011,Cavotec msl,2.45,,
26/10/2012,CDL Inv,.42,,
26/08/2011,,.43,,
29/10/2012,City of Ldn Inv,6.01,,
26/10/2012,Colonial Motor,3.7,,
29/10/2012,Comvita,3.85,,
29/10/2012,Contact,5.45,,
29/10/2012,Cue Energy,.178,,
29/10/2012,Delegats,3.13,,
29/10/2012,Dorchester,.18,,
29/10/2012,Ebos,8.28,,
17/10/2012,European Inv,10.2,,
17/10/2012,F&C Smaller,11.9,,
29/10/2012,FCITrust,6.04,,
11/10/2012,Finzsoft,.34,,
29/10/2012,FisherApp,1.26,,
29/10/2012,FisherHealth,2.36,,
29/10/2012,FletBuild,7.07,,
29/10/2012,Freightway,4.28,,
29/10/2012,Goodman,.74,,
29/10/2012,Goodman Prop,1.065,,
29/10/2012,GuinnessPeat,.57,,
29/10/2012,Guocoleisure,.6,,
29/10/2012,HalGlass,4.96,,
29/10/2012,Hellaby,3.01,,
26/10/2012,Henderson FE,6,,
29/10/2012,Henderson TP,3.2,,
29/10/2012,Infratil,2.33,,
29/10/2012,ING Medical Prop,1.27,,
29/10/2012,ING Prop,.915,,
25/10/2012,JPMF Japanese,3.15,,
26/10/2012,JPMorgan,14.5,,
29/10/2012,Kathmandu,1.84,,
25/10/2012,Kermadec,.76,,
29/10/2012,Kingfish,1.07,,
29/10/2012,Kirkcaldie,3.25,,
29/10/2012,Kiwitrust,1.175,,
26/10/2012,Lmenergy,.07,,
29/10/2012,Mainfreight,10.66,,
29/10/2012,Marlin Global,.72,,
29/10/2012,Methven,1.38,,
29/10/2012,Metlifecare,3.2,,
29/10/2012,MichaelHill,1.17,,
29/10/2012,Mill & Cop,.45,,
25/03/2011,Nat Prop,.51,,
29/10/2012,New Image,.26,,
24/10/2012,Northland Port,2.13,,
29/10/2012,Nuplex,3,,
24/10/2012,NZ Farming,.74,,
29/10/2012,NZ Oil & Gas,.85,,
29/10/2012,NZ Refin,2.73,,
29/10/2012,NZ Windfarms,.115,,
29/10/2012,NZX Limited,1.27,,
29/10/2012,Opus,2.07,,
29/10/2012,Pan Pac Pet,.14,,
29/10/2012,PggWright,.35,,
19/11/2010,Pike River Coal,.88,,
29/10/2012,Porttaur,12.95,,
29/10/2012,Postie Plus,.23,,
29/10/2012,Propindy,1.215,,
