Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-11-01T15:00:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
31/10/2014,AIA Group Ltd,43.25,,
31/10/2014,Aluminum Corp Of China Ltd,3.44,,
31/10/2014,Bank of China Ltd,3.71,,
31/10/2014,Bank of Communications Co Ltd,5.81,,
31/10/2014,Belle International Holdings Ltd,9.87,,
31/10/2014,BOC Hong Kong Ltd,25.8,,
31/10/2014,Cathay Pacific Airways Ltd,14.54,,
31/10/2014,Cheung Kong  Ltd,137.6,,
31/10/2014,China Coal Energy Co Ltd,4.75,,
31/10/2014,China Construction Bank Corp,5.78,,
31/10/2014,China Life Insurance Co Ltd,23.2,,
31/10/2014,China Merchants Holdings Co Ltd,24.5,,
31/10/2014,China Mobile Ltd,96.5,,
31/10/2014,China Overseas Land & Investment Ltd,22.5,,
31/10/2014,China Petroleum & Chemical Corp,6.72,,
31/10/2014,China Resources Enterprise Ltd,18.44,,
31/10/2014,China Resources Land Ltd,18.44,,
31/10/2014,China Resources Power Holdings Co Ltd,22.55,,
31/10/2014,China Shenhua Energy Co Ltd,21.85,,
31/10/2014,China Unicom  Ltd,11.66,,
31/10/2014,Citic Pacific Ltd,13.58,,
31/10/2014,CLP Holdings Ltd,66.75,,
31/10/2014,Cnooc Ltd,12.18,,
31/10/2014,COSCO Pacific Ltd,10.2,,
31/10/2014,Esprit Holdings Ltd,9.71,,
31/10/2014,Hang Lung Properties Ltd,24.2,,
31/10/2014,Hang Seng Bank Ltd,131.4,,
31/10/2014,Henderson Land Development Co Ltd,52.35,,
31/10/2014,Hengan International Group Co Ltd,81.75,,
31/10/2014,Hong Kong Exchanges And Clearing Ltd,171.9,,
31/10/2014,HSBC Holdings PLC,78.85,,
31/10/2014,Hutchison Whampoa Ltd,98.3,,
31/10/2014,Industrial and Commercial Bank of China Ltd,5.13,,
31/10/2014,Li & Fung Ltd,9.45,,
31/10/2014,MTR Corp Ltd,31.6,,
31/10/2014,New World Development Co Ltd,9.74,,
31/10/2014,PetroChina Co Ltd,9.71,,
31/10/2014,Ping An Insurance Co Of China Ltd,63.35,,
31/10/2014,Power Assets Holdings Ltd,74.85,,
31/10/2014,Sino Land Co Ltd,12.82,,
31/10/2014,Sun Hung Kai Properties Ltd,115.6,,
31/10/2014,Swire Pacific Ltd,101.7,,
31/10/2014,Tencent Holdings Ltd,123.6,,
31/10/2014,The Bank Of East Asia Ltd,32.4,,
31/10/2014,The Hong Kong and China Gas Co Ltd,18.1,,
31/10/2014,Wharf Ltd,57.3,,
,
Frankfurt Stock Exchange,
Quoted in Euros,
,
Trading date,Company name,Last sale,,
31/10/2014,adidas AG,58.05,,
31/10/2014,Allianz Se,126.7,,
31/10/2014,BASF SE,70.24,,
31/10/2014,Bayer AG,113.45,,
31/10/2014,Beiersdorf AG,64.56,,
31/10/2014,BMW AG,85.32,,
31/10/2014,COMMERZBANK AG,12.015,,
31/10/2014,Daimler AG,62.03,,
31/10/2014,Deutsche Bank AG,24.88,,
31/10/2014,Deutsche Boerse AG,54.51,,
31/10/2014,Deutsche Lufthansa AG,11.79,,
31/10/2014,Deutsche Post AG,25.055,,
31/10/2014,Deutsche Telekom AG,12.02,,
31/10/2014,EON AG,13.73,,
31/10/2014,Fresenius Medical Care AG & Co Kgaa,58.5,,
31/10/2014,Fresenius SE & Co KGaA,41.05,,
31/10/2014,Heidelbergcement AG,54.32,,
31/10/2014,Henkel AG & Co KGaA,78.78,,
31/10/2014,Infineon Technologies AG,7.741,,
31/10/2014,K+S AG,22.265,,
31/10/2014,Linde AG,147.15,,
31/10/2014,MAN SE,90.89,,
31/10/2014,Merck KGaA,72.07,,
31/10/2014,METRO AG,25.42,,
31/10/2014,Muenchener Rueckversicherungs Gesellschaft AG in Muenchen,156.85,,
31/10/2014,Rwe AG,28.26,,
31/10/2014,SAP AG,54.24,,
31/10/2014,Siemens AG,89.91,,
31/10/2014,ThyssenKrupp AG,19.175,,
31/10/2014,Volkswagen AG,170.05,,
31/10/2014,Singapore Telecom,2.284,,
,
Tokyo Stock Exchange,
Quoted in Japanese Yen,
,
Trading date,Company name,Last sale,,
31/10/2014,Advantest Corp,"1,280",,
31/10/2014,AEON Co Ltd,"1,094.5",,
31/10/2014,Ajinomoto Co Inc,"2,103",,
31/10/2014,All Nippon Airways Co Ltd,257.4,,
31/10/2014,Alps Electric Co Ltd,"1,849",,
31/10/2014,Asahi Breweries Ltd,"3,427",,
31/10/2014,Asahi Glass Co Ltd,576,,
31/10/2014,Asahi Kasei Corp,901.9,,
31/10/2014,Astellas Pharma Inc,"1,699",,
31/10/2014,Bank Of Yokohama Ltd,637.3,,
31/10/2014,Bridgestone Corp,"3,651.5",,
31/10/2014,Canon Inc,"3,389",,
31/10/2014,Casio Computer Co Ltd,"1,727",,
31/10/2014,Central Japan Railway Co,"16,505",,
31/10/2014,Chiba Bank Ltd,782,,
31/10/2014,Chiyoda Corp,"1,126",,
31/10/2014,Chubu Electric Power Co Inc,"1,321.5",,
31/10/2014,Chugai Pharmaceutical Co Ltd,"3,415",,
31/10/2014,Citizen Holdings Co Ltd,715,,
31/10/2014,Comsys Holdings Corp,"1,961",,
31/10/2014,Credit Saison Co Ltd,"2,296",,
27/09/2011,CSK Corp,279,,
31/10/2014,Dai Nippon Printing Co Ltd,"1,082",,
31/10/2014,Daiichi Sankyo Co Ltd,"1,656.5",,
31/10/2014,Daiichi Sankyo Co Ltd,"1,656.5",,
31/10/2014,Daikin Industries Ltd,"6,814",,
31/10/2014,Dainippon Screen Mfg Co Ltd,594,,
31/10/2014,Dainippon Sumitomo Pharma Co Ltd,"1,288",,
31/10/2014,Daiwa House Industry Co Ltd,"2,083.5",,
31/10/2014,Daiwa Securities Group Inc,861,,
31/10/2014,Denki Kagaku Kogyo KK,359,,
31/10/2014,Denso Corp,"5,009",,
31/10/2014,Dentsu Inc,"4,045",,
31/10/2014,DOWA Holdings Co Ltd,921,,
31/10/2014,East Japan Railway Co,"8,645",,
31/10/2014,Ebara Corp,600,,
31/10/2014,Eisai Co Ltd,"4,301",,
31/10/2014,Fanuc Ltd,"19,120",,
31/10/2014,Fast Retailing Co Ltd,"40,365",,
31/10/2014,Fuji Electric Co Ltd,479,,
