Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2015-11-02T13:00:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
30/10/2015,AIA Group Ltd,45.6,,
30/10/2015,Aluminum Corp Of China Ltd,2.51,,
30/10/2015,Bank of China Ltd,3.67,,
30/10/2015,Bank of Communications Co Ltd,5.74,,
30/10/2015,Belle International Holdings Ltd,7.54,,
30/10/2015,BOC Hong Kong Ltd,24.9,,
30/10/2015,Cathay Pacific Airways Ltd,15.44,,
10/03/2015,Cheung Kong  Ltd,153.1,,
30/10/2015,China Coal Energy Co Ltd,3.33,,
30/10/2015,China Construction Bank Corp,5.63,,
30/10/2015,China Life Insurance Co Ltd,28.05,,
30/10/2015,China Merchants Holdings Co Ltd,25.85,,
30/10/2015,China Mobile Ltd,92.8,,
30/10/2015,China Overseas Land & Investment Ltd,25.2,,
30/10/2015,China Petroleum & Chemical Corp,5.55,,
30/10/2015,China Resources Enterprise Ltd,14.68,,
30/10/2015,China Resources Land Ltd,20.25,,
30/10/2015,China Resources Power Holdings Co Ltd,17.62,,
30/10/2015,China Shenhua Energy Co Ltd,13.12,,
30/10/2015,China Unicom  Ltd,9.57,,
30/10/2015,Citic Pacific Ltd,14.5,,
30/10/2015,CLP Holdings Ltd,67.5,,
30/10/2015,Cnooc Ltd,8.69,,
07/08/2015,COSCO Pacific Ltd,10.2,,
30/10/2015,Esprit Holdings Ltd,8.73,,
30/10/2015,Hang Lung Properties Ltd,19.02,,
30/10/2015,Hang Seng Bank Ltd,142.6,,
30/10/2015,Henderson Land Development Co Ltd,49.65,,
30/10/2015,Hengan International Group Co Ltd,83.95,,
30/10/2015,Hong Kong Exchanges And Clearing Ltd,203.8,,
30/10/2015,HSBC Holdings PLC,61,,
26/05/2015,Hutchison Whampoa Ltd,115,,
30/10/2015,Industrial and Commercial Bank of China Ltd,4.95,,
30/10/2015,Li & Fung Ltd,6.3,,
30/10/2015,MTR Corp Ltd,35.2,,
30/10/2015,New World Development Co Ltd,8.31,,
30/10/2015,PetroChina Co Ltd,6.06,,
30/10/2015,Ping An Insurance Co Of China Ltd,43.65,,
30/10/2015,Power Assets Holdings Ltd,77.35,,
30/10/2015,Sino Land Co Ltd,12.02,,
30/10/2015,Sun Hung Kai Properties Ltd,103.9,,
30/10/2015,Swire Pacific Ltd,90,,
30/10/2015,Tencent Holdings Ltd,146.6,,
30/10/2015,The Bank Of East Asia Ltd,29.05,,
30/10/2015,The Hong Kong and China Gas Co Ltd,15.74,,
30/10/2015,Wharf Ltd,46.35,,
,
Frankfurt Stock Exchange,
Quoted in Euros,
,
Trading date,Company name,Last sale,,
30/10/2015,adidas AG,81.55,,
30/10/2015,Allianz Se,159.35,,
30/10/2015,BASF SE,74.53,,
30/10/2015,Bayer AG,121.35,,
30/10/2015,Beiersdorf AG,86.43,,
30/10/2015,BMW AG,93.36,,
30/10/2015,COMMERZBANK AG,10.01,,
30/10/2015,Daimler AG,78.97,,
30/10/2015,Deutsche Bank AG,25.47,,
30/10/2015,Deutsche Boerse AG,83.75,,
30/10/2015,Deutsche Lufthansa AG,13.43,,
30/10/2015,Deutsche Post AG,27.07,,
30/10/2015,Deutsche Telekom AG,17.005,,
30/10/2015,EON AG,9.597,,
30/10/2015,Fresenius Medical Care AG & Co Kgaa,81.89,,
30/10/2015,Fresenius SE & Co KGaA,66.75,,
30/10/2015,Heidelbergcement AG,67.78,,
30/10/2015,Henkel AG & Co KGaA,98.7,,
30/10/2015,Infineon Technologies AG,11.195,,
30/10/2015,K+S AG,22.955,,
30/10/2015,Linde AG,157.75,,
30/10/2015,MAN SE,94.84,,
30/10/2015,Merck KGaA,88.83,,
30/10/2015,METRO AG,28.03,,
30/10/2015,Muenchener Rueckversicherungs Gesellschaft AG in Muenchen,181.5,,
30/10/2015,Rwe AG,12.655,,
30/10/2015,SAP AG,71.88,,
30/10/2015,Siemens AG,91.5,,
30/10/2015,ThyssenKrupp AG,18.345,,
30/10/2015,Volkswagen AG,109.3,,
30/10/2015,Singapore Telecom,2.518,,
,
Tokyo Stock Exchange,
Quoted in Japanese Yen,
,
Trading date,Company name,Last sale,,
30/10/2015,Advantest Corp,971,,
30/10/2015,AEON Co Ltd,"1,799",,
30/10/2015,Ajinomoto Co Inc,"2,707",,
30/10/2015,All Nippon Airways Co Ltd,362.3,,
30/10/2015,Alps Electric Co Ltd,"3,790",,
30/10/2015,Asahi Breweries Ltd,"3,747",,
30/10/2015,Asahi Glass Co Ltd,697,,
30/10/2015,Asahi Kasei Corp,746.5,,
30/10/2015,Astellas Pharma Inc,"1,765",,
30/10/2015,Bank Of Yokohama Ltd,759.3,,
30/10/2015,Bridgestone Corp,"4,476",,
30/10/2015,Canon Inc,"3,640",,
30/10/2015,Casio Computer Co Ltd,"2,292",,
30/10/2015,Central Japan Railway Co,"22,200",,
30/10/2015,Chiba Bank Ltd,888,,
30/10/2015,Chiyoda Corp,923,,
30/10/2015,Chubu Electric Power Co Inc,"1,869.5",,
30/10/2015,Chugai Pharmaceutical Co Ltd,"3,910",,
30/10/2015,Citizen Holdings Co Ltd,922,,
30/10/2015,Comsys Holdings Corp,"1,587",,
30/10/2015,Credit Saison Co Ltd,"2,501",,
27/09/2011,CSK Corp,279,,
30/10/2015,Dai Nippon Printing Co Ltd,"1,258",,
30/10/2015,Daiichi Sankyo Co Ltd,"2,384.5",,
30/10/2015,Daiichi Sankyo Co Ltd,"2,384.5",,
30/10/2015,Daikin Industries Ltd,"7,840",,
30/10/2015,Dainippon Screen Mfg Co Ltd,720,,
30/10/2015,Dainippon Sumitomo Pharma Co Ltd,"1,343",,
30/10/2015,Daiwa House Industry Co Ltd,"3,196",,
30/10/2015,Daiwa Securities Group Inc,832.1,,
30/10/2015,Denki Kagaku Kogyo KK,565,,
30/10/2015,Denso Corp,"5,662",,
30/10/2015,Dentsu Inc,"6,850",,
30/10/2015,DOWA Holdings Co Ltd,"1,060",,
30/10/2015,East Japan Railway Co,"11,570",,
