FR INV WARRANTS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Report at Friday, February 11, 2011. Processed Saturday at 2011-02-12T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Equity Call Warrants,
Asciano Grp Last Sale Price $1.71,
AIOWMD,,1.60,24/03/11,1:1,.13,.15,,,,,
,
Amcor Last Sale Price $6.63,
AMCWMA,,7.00,24/03/11,1:1,.09,.11,,,,,
AMCTMC,,4.50,23/06/11,1:1,2.12,2.19,2.20,+2,20,,
,
AMP Last Sale Price $5.37,
AMPTMC,,3.50,23/06/11,1:1,1.88,1.93,,,,,
,
ANZ Banking Grp Last Sale Price $24.91,
ANZVZJ,,24.00,24/02/11,4:1,.245,.275,.145,,,,
ANZUMA,,22.00,24/03/11,4:1,.78,.82,.58,,,,
ANZWOF,,22.00,24/03/11,4:1,.805,.81,.615,,,,
ANZUMB,,24.00,24/03/11,4:1,.36,.39,.24,,,,
ANZWOD,,24.00,24/03/11,4:1,.415,.42,.355,+2.5,550,,
ANZVZK,,25.00,24/03/11,4:1,.165,.19,,,,,
ANZWMA,,26.00,24/03/11,4:1,.091,.11,.088,,,,
ANZWOE,,26.00,24/03/11,4:1,.155,.16,.19,,,,
ANZWOG,,23.00,26/05/11,4:1,.62,.625,,,,,
ANZWOH,,25.00,26/05/11,4:1,.345,.35,.28,,,,
ANZWOI,,27.00,26/05/11,4:1,.165,.17,,,,,
ANZTMA,,17.00,23/06/11,1:1,8.14,,8.24,+177,32,,
ANZTMC,,17.00,23/06/11,1:1,7.96,8.11,,,,,
,
ASX Last Sale Price $38.19,
ASXUMD,,40.00,24/03/11,4:1,.175,.195,1.89,,,,
ASXTMC,,20.50,23/06/11,1:1,17.64,17.85,,,,,
,
Alumina Last Sale Price $2.50,
AWCWMB,,2.75,24/03/11,1:1,.044,.055,,,,,
AWCTMC,,1.00,23/06/11,1:1,1.505,1.545,,,,,
,
AWE Last Sale Price $1.88,
AWEWMA,,1.75,24/03/11,1:1,.19,.22,.185,,,,
,
BHP Billiton Last Sale Price $46.38,
BHPWOC,,40.00,24/02/11,4:1,1.65,1.655,1.65,,,,
BHPWOD,,42.00,24/02/11,4:1,1.15,1.155,1.22,-2,500,,
BHPWOE,,44.00,24/02/11,4:1,.70,.705,.70,,,,
BHPVZL,,46.00,24/02/11,4:1,.23,.29,.17,+13,200,,
BHPWOF,,46.00,24/02/11,4:1,.335,.34,.47,+5,60,,
BHPWME,,43.00,24/03/11,4:1,1.00,1.06,1.07,,,,
BHPWMA,,45.00,24/03/11,4:1,.645,.665,.65,,,,
BHPVZM,,47.00,24/03/11,4:1,.25,.275,.32,,,,
BHPWMD,,48.00,24/03/11,4:1,.255,.285,.33,,,,
BHPWMB,,50.00,24/03/11,4:1,.135,.15,.15,+3.5,1400,,
BHPWOM,,44.00,28/04/11,4:1,1.025,1.03,.93,,,,
BHPWON,,46.00,28/04/11,4:1,.73,.735,.69,+6,50,,
BHPWOO,,48.00,28/04/11,4:1,.49,.495,.545,+9.5,1250,,
BHPVOA,,50.00,28/04/11,4:1,.31,.315,,,,,
BHPTMC,,25.00,23/06/11,1:1,21.55,21.82,,,,,
BHPTMD,,31.00,23/06/11,1:1,15.62,15.87,,,,,
,
Boart Longyear Last Sale Price $4.38,
BLYWMB,,4.50,24/03/11,1:1,.19,.22,,,,,
BLYTMC,,2.00,23/06/11,1:1,2.36,2.42,2.35,-21,70,,
,
Bank of Qld Last Sale Price $10.36,
BOQTMC,,6.00,23/06/11,1:1,4.38,4.42,,,,,
,
BlueScope Steel Last Sale Price $2.17,
BSLWOA,,2.00,24/02/11,2:1,.11,.115,.195,,,,
BSLWOB,,2.50,24/02/11,2:1,.013,.018,,,,,
BSLWMA,,2.50,24/03/11,1:1,.013,,,,,,
BSLWOC,,2.25,28/04/11,2:1,.084,.089,,,,,
BSLWOD,,2.75,28/04/11,2:1,.022,.027,,,,,
BSLTMC,,1.50,23/06/11,1:1,.715,.735,,,,,
,
Brambles Last Sale Price $7.08,
BXBVMF,,7.00,24/03/11,1:1,.35,.38,,,,,
BXBTMC,,4.00,23/06/11,1:1,3.12,3.17,,,,,
,
C'wlth Bank of Aust Last Sale Price $55.12,
CBAVZI,,52.00,24/02/11,5:1,.37,.60,.49,+34,2300,,
CBAWOL,,47.00,24/03/11,5:1,1.465,1.47,1.06,,,,
CBAWOM,,51.00,24/03/11,5:1,.805,.81,.50,,,,
CBAWMA,,52.00,24/03/11,4:1,.725,,.57,+9.5,150,,
CBAVZJ,,53.00,24/03/11,5:1,.40,.425,.21,,,,
CBAUMA,,54.00,24/03/11,4:1,.41,.48,.49,+31.5,780,,
CBAWON,,55.00,24/03/11,5:1,.33,.335,.185,,,,
CBAWMB,,56.00,24/03/11,4:1,.19,.235,,,,,
CBAWOA,,51.00,26/05/11,5:1,1.04,1.045,.845,,1000,,
CBAWOB,,54.00,26/05/11,5:1,.665,.67,.675,,110,,
CBAWOC,,57.00,26/05/11,5:1,.38,.385,,,,,
CBATME,,34.00,23/06/11,1:1,20.67,,,,,,
CBATMD,,42.00,23/06/11,1:1,12.73,,,,,,
,
Computershare Last Sale Price $9.60,
CPUTMC,,6.50,23/06/11,1:1,3.17,3.24,,,,,
,
CSL Last Sale Price $36.68,
CSLTMC,,21.50,23/06/11,1:1,15.39,15.57,,,,,
,
David Jones Last Sale Price $4.44,
DJSWMB,,5.00,24/03/11,1:1,.036,.044,,,,,
,
Equinox Minerals Last Sale Price $6.50,
EQNWMA,,6.25,24/03/11,1:1,.535,.56,,,,,
EQNTMC,,3.00,23/06/11,1:1,3.58,3.62,,,,,
,
Fortescue Metals Grp Last Sale Price $6.72,
FMGWMA,,7.00,24/03/11,1:1,.25,.265,.265,+2,500,,
FMGWMB,,7.50,24/03/11,1:1,.115,.125,.12,-2,2335,,
FMGWOA,,7.00,28/04/11,3:1,.17,.175,.195,,,,
FMGWOB,,8.00,28/04/11,3:1,.066,.071,,,,,
FMGTMC,,3.50,23/06/11,1:1,3.29,3.34,3.11,,,,
,
Insurance Aust Grp Last Sale Price $3.78,
IAGTMC,,2.50,23/06/11,1:1,1.30,1.33,,,,,
,
Incitec Pivot Last Sale Price $4.62,
IPLWMB,,4.00,24/03/11,1:1,.66,.705,.265,,,,
IPLWMC,,4.25,24/03/11,1:1,.455,.495,.36,,,,
IPLTMA,,2.50,23/06/11,1:1,2.14,,2.08,,,,
IPLTMC,,2.50,23/06/11,1:1,2.12,2.17,,,,,
,
JB Hi-Fi Last Sale Price $18.80,
JBHWMB,,20.00,24/03/11,4:1,.095,.115,,,,,
JBHTMC,,15.00,23/06/11,1:1,4.32,4.48,,,,,
,
James Hardie Ind Last Sale Price $6.65,
JHXWMA,,6.50,24/03/11,1:1,.35,.52,.445,,,,
JHXTMC,,3.50,23/06/11,1:1,2.97,3.26,,,,,
,
Kingsgate Cons Last Sale Price $9.60,
KCNTMA,,9.00,23/06/11,1:1,1.67,,1.60,,,,
KCNTMC,,9.00,23/06/11,1:1,1.70,,2.49,,,,
,
Leighton Hldgs Last Sale Price $30.71,
LEIWMB,,30.00,24/03/11,4:1,.405,,.605,,,,
LEIWMA,,32.00,24/03/11,4:1,.19,,.415,,,,
LEITMA,,21.50,23/06/11,1:1,9.49,,16.55,,,,
LEITMC,,21.50,23/06/11,1:1,9.48,,10.88,,,,
,
Lend Lease Grp Last Sale Price $8.66,
LLCTMC,,5.00,23/06/11,1:1,3.63,3.77,4.00,+42,200,,
,
Macarthur Coal Last Sale Price $12.35,
MCCWMB,,13.50,24/03/11,1:1,.485,.53,,,,,
,
Mount Gibson Iron Last Sale Price $2.17,
MGXTMC,,1.25,23/06/11,1:1,.985,1.005,1.15,,,,
,
Macquarie Grp Last Sale Price $39.37,
MQGVZO,,38.00,24/02/11,5:1,.30,.375,.51,,,,
MQGWOD,,37.00,24/03/11,6:1,.615,.62,.94,,,,
MQGVZM,,39.00,24/03/11,5:1,.28,.38,.31,-24,101,,
MQGWOJ,,40.00,24/03/11,6:1,.315,.32,.435,,,,
MQGWOK,,42.00,24/03/11,6:1,.16,.18,.17,-9.5,760,,
MQGWOA,,39.00,26/05/11,6:1,.50,.505,.50,,200,,
MQGWOB,,42.00,26/05/11,6:1,.28,.285,,,,,
MQGWOC,,45.00,26/05/11,6:1,.135,.14,.17,,1980,,
,
National Aust Bank Last Sale Price $25.69,
NABVZJ,,25.00,24/02/11,4:1,.19,.22,.22,+10,1250,,
NABWMC,,23.00,24/03/11,4:1,.725,.78,.78,+25,22,,
NABVZK,,25.00,24/03/11,4:1,.295,.32,,,,,
NABWMA,,25.00,24/03/11,4:1,.33,.37,.25,+.5,2000,,
NABWOM,,25.00,24/03/11,4:1,.395,.40,.435,+11.5,1000,,
NABWMB,,27.00,24/03/11,4:1,.084,.105,,,,,
NABWON,,27.50,24/03/11,4:1,.115,.12,,,,,
NABWOO,,30.00,24/03/11,4:1,.026,.031,,,,,
NABWOA,,24.00,26/05/11,4:1,.705,.71,.685,,200,,
NABWOB,,26.00,26/05/11,4:1,.405,.41,.42,,300,,
NABWOC,,28.00,26/05/11,4:1,.205,.21,,,,,
NABTMA,,19.00,23/06/11,1:1,6.98,,7.21,,,,
NABTMC,,19.00,23/06/11,1:1,6.41,,5.53,,,,
NABWSA,,0.00,25/03/20,1:1,25.00,,26.20,,,,
,
Newcrest Min Last Sale Price $37.16,
NCMWOA,,40.00,24/02/11,4:1,.052,.057,.05,-9.5,14000,,
NCMVZM,,42.00,24/02/11,4:1,.001,.01,.155,,,,
NCMWOB,,43.00,24/02/11,4:1,.013,.018,.033,,,,
NCMWOH,,46.00,24/02/11,4:1,,,.072,,,,
NCMVZN,,41.00,24/03/11,4:1,.067,.081,.10,+.9,578,,
NCMWMB,,43.00,24/03/11,4:1,.045,.051,.095,-2,450,,
NCMWMC,,45.00,24/03/11,4:1,.018,,,,,,
NCMWOI,,39.00,28/04/11,4:1,.47,.475,.47,-11,4000,,
NCMWOJ,,42.00,28/04/11,4:1,.24,.245,.265,-7.5,280,,
NCMWOK,,45.00,28/04/11,4:1,.11,.115,,,,,
NCMTMA,,26.50,23/06/11,1:1,11.19,,14.80,,,,
NCMTMC,,26.50,23/06/11,1:1,11.19,11.30,,,,,
NCMTMD,,32.50,23/06/11,1:1,6.13,6.22,6.99,+80,62,,
NCMTMB,,35.00,23/06/11,1:1,4.43,,8.91,,,,
,
News Corp Last Sale Price $17.61,
NWSWMD,,17.00,24/03/11,4:1,.25,.26,.255,+13.5,300,,
NWSTMC,,11.00,23/06/11,1:1,6.72,6.78,,,,,
NWSTMB,,13.50,23/06/11,1:1,4.39,,3.81,,,,
NWSTMD,,13.50,23/06/11,1:1,4.39,4.45,,,,,
,
Origin Energy Last Sale Price $16.58,
ORGTMC,,10.50,23/06/11,1:1,6.08,6.19,,,,,
,
Orica Last Sale Price $26.32,
ORITMC,,16.50,23/06/11,1:1,9.87,10.00,,,,,
,
Oil Search Last Sale Price $6.81,
OSHWMA,,7.00,24/03/11,1:1,.205,.225,,,,,
OSHWMB,,7.50,24/03/11,1:1,.073,.084,,,,,
OSHTMC,,4.00,23/06/11,1:1,2.86,2.91,,,,,
,
OneSteel Last Sale Price $2.76,
OSTTMA,,2.00,23/06/11,1:1,.77,,.895,,,,
OSTTMC,,2.00,23/06/11,1:1,.765,.795,.79,,,,
,
OZ Minerals Last Sale Price $1.75,
OZLWOB,,1.70,24/02/11,2:1,.045,.05,,,,,
OZLWOA,,1.90,24/02/11,2:1,.016,.021,,,,,
OZLWMC,,1.75,24/03/11,1:1,.068,.076,.12,,,,
OZLWMD,,2.00,24/03/11,1:1,.016,,,,,,
OZLWOC,,1.70,28/04/11,2:1,.094,.099,,,,,
OZLWOD,,1.90,28/04/11,2:1,.047,.052,,,,,
OZLTMC,,1.00,23/06/11,1:1,.735,,.72,,,,
,
Paladin Energy Last Sale Price $5.32,
PDNTMC,,2.50,23/06/11,1:1,2.88,2.91,,,,,
,
Qantas Airways Last Sale Price $2.39,
QANTMC,,2.00,23/06/11,1:1,.45,.48,.575,,,,
,
QBE Insurance Grp Last Sale Price $18.44,
QBEWOH,,17.00,24/03/11,4:1,.335,.34,.30,,,,
QBEWMB,,19.00,24/03/11,4:1,.049,.06,,,,,
QBEWOI,,19.00,24/03/11,4:1,.081,.086,,,,,
QBEWMC,,21.00,24/03/11,4:1,.001,,,,,,
QBEWOA,,17.50,26/05/11,4:1,.37,.375,,,,,
QBEWOB,,20.00,26/05/11,4:1,.115,.12,.084,,,,
QBETMC,,11.50,23/06/11,1:1,6.84,,,,,,
,
QR National Last Sale Price $2.86,
QRNWMA,,3.00,24/03/11,1:1,.079,.084,,,,,
QRNTMC,,1.50,23/06/11,1:1,1.40,1.41,,,,,
,
Rio Tinto Last Sale Price $87.28,
RIOWOB,,85.00,24/02/11,6:1,.59,.595,.63,+5,155,,
RIOVZM,,87.00,24/02/11,6:1,.25,.40,.40,+18.5,200,,
RIOWOG,,90.00,24/02/11,6:1,.17,.175,.21,-1,50,,
RIOWOA,,94.00,24/02/11,6:1,.05,.055,,,,,
RIOWMC,,80.00,24/03/11,4:1,2.08,2.15,2.08,,,,
RIOWMD,,85.00,24/03/11,4:1,1.175,1.22,1.19,+2.5,390,,
RIOVZN,,86.00,24/03/11,6:1,.60,.625,,,,,
RIOWME,,90.00,24/03/11,4:1,.56,.595,.725,,80,,
RIOWMF,,95.00,24/03/11,4:1,.23,.25,.275,+5,100,,
RIOWMG,,100.00,24/03/11,4:1,.083,.095,.235,,,,
RIOWOJ,,84.00,28/04/11,6:1,1.23,1.235,1.185,,,,
RIOWOK,,89.00,28/04/11,6:1,.78,.785,.88,+14.5,30,,
RIOWOL,,94.00,28/04/11,6:1,.445,.45,.53,+9,985,,
RIOTMC,,48.50,23/06/11,1:1,39.14,39.43,,,,,
RIOTMD,,60.00,23/06/11,1:1,28.21,28.48,,,,,
,
ResMed Inc Last Sale Price $3.20,
RMDTMC,,2.25,23/06/11,1:1,1.005,1.035,,,,,
,
Stockland Last Sale Price $3.77,
SGPTMC,,2.50,23/06/11,1:1,1.37,1.42,,,,,
,
Sonic Healthcare Last Sale Price $11.68,
SHLTMC,,7.00,23/06/11,1:1,4.69,4.75,,,,,
,
Santos Last Sale Price $13.85,
STOWOC,,12.00,24/02/11,4:1,.44,.445,.495,,,,
STOWOD,,13.50,24/02/11,4:1,.125,.13,.215,,,,
STOWMB,,14.00,24/03/11,1:1,.445,.48,,,,,
STOWMC,,15.00,24/03/11,1:1,.14,.16,.19,,,,
STOWOH,,13.00,28/04/11,4:1,.345,.35,,,,,
STOWOI,,14.50,28/04/11,4:1,.145,.15,,,,,
STOTMC,,8.50,23/06/11,1:1,5.46,5.53,,,,,
,
Suncorp Grp Last Sale Price $8.53,
SUNWOA,,9.00,24/03/11,3:1,.063,.068,.10,,,,
SUNWOB,,10.00,24/03/11,3:1,.018,.023,,,,,
SUNWOC,,8.00,26/05/11,3:1,.29,.295,,,,,
SUNWOD,,10.00,26/05/11,3:1,.051,.056,,,,,
SUNTMC,,6.00,23/06/11,1:1,2.57,2.65,,,,,
,
Telstra Corp Last Sale Price $2.91,
TLSWOE,,2.50,24/03/11,2:1,.165,.17,,,,,
TLSWOF,,2.75,24/03/11,2:1,.068,.073,.068,+.6,9250,,
TLSWMA,,2.80,24/03/11,1:1,.11,.125,.093,+1.3,5000,,
TLSWMB,,3.00,24/03/11,1:1,.029,,,,,,
TLSWOG,,3.00,24/03/11,2:1,.023,.028,,,,,
TLSWOA,,2.75,26/05/11,2:1,.11,.115,,,,,
