Warrant Market - Weekly
"Report at Friday, September 18, 2015. Processed Monday at 21/09/2015 3:58:10 PM."



ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,
Equity Call Warrants,
ANZ Banking Grp Last Sale Price $28.40,
ANZWOI,35.50,24/09/15,4:1,.001,-,.088,-,-,
ANZWOJ,37.50,24/09/15,4:1,.001,-,.001,-,-,
ANZWOA,30.00,17/12/15,4:1,.185,-,.205,-,-,
ANZWOB,32.00,17/12/15,4:1,.076,-,.076,-1.9,400,

BHP Billiton Last Sale Price $24.46,
BHPWOG,33.00,24/09/15,4:1,.001,-,.001,-,-,
BHPWOH,33.67,24/09/15,4:1,.001,-,.033,-,-,
BHPWOI,36.48,24/09/15,4:1,.001,-,.092,-,-,
BHPWOA,26.00,17/12/15,4:1,.315,-,.255,-,-,
BHPWOB,29.00,17/12/15,4:1,.11,-,.096,-,-,

C'wlth Bank  of Aust Last Sale Price $75.83,
CBAWOI,91.63,24/09/15,5:1,.001,-,.001,-,-,
CBAWOJ,95.62,24/09/15,5:1,.001,-,.001,-,-,
CBAWOA,80.00,17/12/15,5:1,.51,.495,.475,-2.5,761,
CBAWOB,85.00,17/12/15,5:1,.24,.27,.25,+1,140,

Fortescue Metals Grp Last Sale Price $2.06,
FMGWOI,2.50,24/09/15,3:1,.001,-,.005,-,-,
FMGWOJ,3.00,24/09/15,3:1,.001,-,.015,-,-,
FMGWOA,2.00,17/12/15,2:1,.19,-,-,-,-,
FMGWOB,2.25,17/12/15,2:1,.135,-,-,-,-,

Fox Inc Nasdaq ClassB,
FX1WMA,0.01,17/06/16,1:1,37.46,37.51,38.86,-,-,
FX1WUA,0.01,10/03/22,1:1,37.41,37.42,39.125,-,-,

Fox Inc Nasdaq ClassA,
FX2WUA,0.01,10/03/22,1:1,37.14,37.15,37.645,-,-,

Macquarie Grp Last Sale Price $78.71,
MQGWOI,74.00,24/09/15,4:1,1.225,-,.53,-,-,
MQGWOJ,78.00,24/09/15,4:1,.475,.55,.55,-125.5,121,
MQGWOA,81.00,17/12/15,4:1,.74,-,.48,-,-,
MQGWOB,86.00,17/12/15,4:1,.475,-,.37,-,-,

National Aust Bank Last Sale Price $31.06,
NABWOI,37.56,24/09/15,4:1,.001,-,.013,-,-,
NABWOJ,39.54,24/09/15,4:1,.001,-,.005,-,-,
NABWOA,32.50,17/12/15,4:1,.22,-,.22,-,-,
NABWOB,34.50,17/12/15,4:1,.10,-,.09,-,-,

Newcrest Min Last Sale Price $12.63,
NCMWOJ,14.00,24/09/15,4:1,.014,-,.07,-,-,
NCMWOI,15.00,24/09/15,4:1,.002,-,.185,-,-,
NCMWOA,11.50,17/12/15,4:1,.565,-,-,-,-,
NCMWOB,12.50,17/12/15,4:1,.44,-,-,-,-,

Rio Tinto Last Sale Price $51.26,
RIOWOI,62.00,24/09/15,6:1,-,-,.009,-,-,
RIOWOJ,66.00,24/09/15,6:1,.001,-,.03,-,-,
RIOWOA,52.00,17/12/15,5:1,.82,-,.605,-,-,
RIOWOB,57.00,17/12/15,5:1,.36,-,.43,-,-,

Telstra Corp Last Sale Price $5.65,
TLSWOI,6.30,24/09/15,2:1,.001,-,.001,-10.4,2500,
TLSWOJ,6.60,24/09/15,2:1,.001,-,-,-,-,
TLSWOA,6.25,17/12/15,2:1,.062,-,.073,-,-,
TLSWOB,6.50,17/12/15,2:1,.038,-,-,-,-,

Westpac Banking Last Sale Price $31.75,
WBCWOI,38.00,24/09/15,4:1,.001,-,.12,-,-,
WBCWOJ,40.00,24/09/15,4:1,.001,-,.001,-,-,
WBCWOA,32.50,17/12/15,4:1,.29,-,.225,-,-,
WBCWOB,34.50,17/12/15,4:1,.135,-,.095,-,-,

Equity Put Warrants,
ANZ Banking Grp Last Sale Price $28.40,
ANZWOW,33.00,24/09/15,4:1,1.15,-,.465,-,-,
ANZWOV,35.00,24/09/15,4:1,1.65,-,.595,-,-,
ANZWOQ,27.00,17/12/15,4:1,.43,-,.53,-,-,
ANZWOP,29.00,17/12/15,4:1,.69,-,-,-,-,

BHP Billiton Last Sale Price $24.46,
BHPWOU,28.00,24/09/15,4:1,.885,-,.885,-,-,
BHPWOT,31.00,24/09/15,4:1,1.635,-,1.50,-,-,
BHPWOS,34.00,24/09/15,4:1,2.38,-,1.32,-,-,
BHPWOQ,22.00,17/12/15,4:1,.285,-,-,-,-,
BHPWOP,25.00,17/12/15,4:1,.565,-,.76,-,-,

C'wlth Bank  of Aust Last Sale Price $75.83,
CBAWOW,85.00,24/09/15,5:1,1.83,-,1.275,-,-,
CBAWOV,90.00,24/09/15,5:1,2.83,-,1.28,-,-,
CBAWOQ,73.00,17/12/15,5:1,.585,-,.685,+7.5,50,
CBAWOP,78.00,17/12/15,5:1,1.06,-,1.17,-,-,

Fortescue Metals Grp Last Sale Price $2.06,
FMGWOW,2.00,24/09/15,3:1,.02,-,-,-,-,
FMGWOV,2.50,24/09/15,3:1,.15,-,-,-,-,
FMGWOQ,1.75,17/12/15,2:1,.095,-,-,-,-,
FMGWOP,2.00,17/12/15,2:1,.155,-,-,-,-,

Macquarie Grp Last Sale Price $78.71,
MQGWOW,69.00,24/09/15,4:1,.001,-,.45,-,-,
MQGWOV,73.00,24/09/15,4:1,.018,-,.29,-,-,
MQGWOQ,73.00,17/12/15,4:1,.805,-,1.31,-,-,
MQGWOP,78.00,17/12/15,4:1,1.35,-,1.855,-,-,

National Aust Bank Last Sale Price $31.06,
NABWOW,34.60,24/09/15,4:1,.895,-,1.225,-,-,
