National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-06-04T23:15:12+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,May 30,May 31,Jun  1,Jun  2,Jun  3,,
Volume ('000s),,
Industrials,"900,773","1,259,752","1,086,150","1,100,447","1,002,456",,
Mining,"961,762","1,245,735","1,154,905","1,170,479","938,328",,
TOTAL,"1,862,535","2,505,487","2,241,055","2,270,926","1,940,784",,
Value ($'000s),,
Industrials,"2,501,340","3,547,301","3,130,917","3,907,068","3,429,267",,
Mining,"1,250,469","2,556,083","1,716,398","1,853,992","1,571,965",,
TOTAL,"3,751,809","6,103,384","4,847,315","5,761,060","5,001,232",,
MOVEMENTS:,,
Industrials,,
Up,266,365,312,127,260,,
Down,292,242,305,483,323,,
Steady,193,176,193,180,187,,
TOTAL,751,783,810,790,770,,
Mining,,
Up,312,382,307,135,236,,
Down,301,246,325,508,340,,
Steady,219,221,216,207,236,,
TOTAL,832,849,848,850,812,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"244,180","258,148","296,659","332,360","232,876",,
Put Options,"192,327","219,227","252,029","428,660","305,153",,
TOTAL,"436,507","477,375","548,688","761,020","538,029",,
Value ($'000s),,
Call Options,"16,340","36,572","52,314","23,073","24,323",,
Put Options,"17,470","14,165","18,101","27,566","20,312",,
TOTAL,"33,810","50,737","70,415","50,639","44,635",,
MOVEMENTS:,,
Call Options,,
Up,142,388,249,26,81,,
Down,370,138,271,561,435,,
Steady,36,32,34,12,16,,
TOTAL,548,558,554,599,532,,
Put Options,,
Up,177,42,142,568,430,,
Down,264,366,350,108,174,,
Steady,26,7,9,16,32,,
TOTAL,467,415,501,692,636,,
,
