National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-08-06T23:15:12+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Aug  1,Aug  2,Aug  3,Aug  4,Aug  5,,
Volume ('000s),,
Industrials,"755,105","807,578","1,109,100","1,251,285","2,053,744",,
Mining,"1,162,497","1,137,319","1,339,010","1,454,229","2,548,995",,
TOTAL,"1,917,602","1,944,897","2,448,110","2,705,514","4,602,739",,
Value ($'000s),,
Industrials,"2,444,493","2,844,565","3,975,244","4,464,385","6,374,321",,
Mining,"1,556,072","1,933,126","2,459,696","2,201,322","3,680,734",,
TOTAL,"4,000,565","4,777,691","6,434,940","6,665,707","10,055,055",,
MOVEMENTS:,,
Industrials,,
Up,409,183,91,187,44,,
Down,165,375,495,361,722,,
Steady,167,156,153,158,99,,
TOTAL,741,714,739,706,865,,
Mining,,
Up,404,185,138,175,31,,
Down,204,385,478,391,814,,
Steady,202,226,217,224,99,,
TOTAL,810,796,833,790,944,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"293,303","302,476","432,425","348,448","566,777",,
Put Options,"233,189","344,749","649,487","428,180","951,683",,
TOTAL,"526,492","647,225","1,081,912","776,628","1,518,460",,
Value ($'000s),,
Call Options,"10,999","14,730","28,455","24,454","32,638",,
Put Options,"15,919","24,865","63,371","44,721","166,701",,
TOTAL,"26,918","39,595","91,826","69,175","199,339",,
MOVEMENTS:,,
Call Options,,
Up,415,58,35,63,70,,
Down,220,518,710,628,782,,
Steady,36,12,3,26,26,,
TOTAL,671,588,748,717,878,,
Put Options,,
Up,110,438,928,662,"1,308",,
Down,406,129,47,174,7,,
Steady,15,19,4,28,1,,
TOTAL,531,586,979,864,"1,316",,
,
