National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-11-19T23:15:13+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Nov 14,Nov 15,Nov 16,Nov 17,Nov 18,,
Volume ('000s),,
Industrials,"868,654","865,245","772,855","830,182","787,618",,
Mining,"980,498","888,152","1,310,516","1,062,517","1,003,314",,
TOTAL,"1,849,152","1,753,397","2,083,371","1,892,699","1,790,932",,
Value ($'000s),,
Industrials,"2,336,541","2,636,515","2,524,999","2,780,276","2,592,878",,
Mining,"1,577,527","1,375,922","1,377,595","1,601,628","1,574,588",,
TOTAL,"3,914,068","4,012,437","3,902,594","4,381,904","4,167,466",,
MOVEMENTS:,,
Industrials,,
Up,333,200,195,256,152,,
Down,213,298,313,245,359,,
Steady,170,177,186,158,160,,
TOTAL,716,675,694,659,671,,
Mining,,
Up,301,230,210,260,196,,
Down,244,290,335,273,346,,
Steady,217,241,225,241,214,,
TOTAL,762,761,770,774,756,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"232,488","197,125","241,304","179,405","297,360",,
Put Options,"195,225","197,537","246,150","181,044","301,399",,
TOTAL,"427,713","394,662","487,454","360,449","598,759",,
Value ($'000s),,
Call Options,"18,368","10,361","9,886","8,391","84,796",,
Put Options,"9,981","16,140","13,234","9,212","15,143",,
TOTAL,"28,349","26,501","23,120","17,603","99,939",,
MOVEMENTS:,,
Call Options,,
Up,421,105,142,117,49,,
Down,183,364,389,322,542,,
Steady,28,20,15,30,12,,
TOTAL,632,489,546,469,603,,
Put Options,,
Up,41,241,302,258,591,,
Down,502,274,293,282,148,,
Steady,6,16,21,27,15,,
TOTAL,549,531,616,567,754,,
,
