National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-02-11T23:15:13+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Feb  6,Feb  7,Feb  8,Feb  9,Feb 10,,
Volume ('000s),,
Industrials,"867,244","977,144","1,152,232","1,004,442","895,727",,
Mining,"947,304","884,409","1,134,030","1,179,879","977,134",,
TOTAL,"1,814,548","1,861,553","2,286,262","2,184,321","1,872,861",,
Value ($'000s),,
Industrials,"2,691,208","3,428,560","3,507,952","3,260,132","2,969,323",,
Mining,"1,491,858","1,208,253","1,681,556","1,713,744","1,843,644",,
TOTAL,"4,183,066","4,636,813","5,189,508","4,973,876","4,812,967",,
MOVEMENTS:,,
Industrials,,
Up,357,235,310,281,251,,
Down,180,288,196,251,274,,
Steady,175,176,159,172,172,,
TOTAL,712,699,665,704,697,,
Mining,,
Up,305,253,304,263,235,,
Down,220,270,228,262,260,,
Steady,220,211,246,223,231,,
TOTAL,745,734,778,748,726,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"319,808","341,989","403,635","294,239","265,009",,
Put Options,"228,053","224,138","234,381","212,744","209,878",,
TOTAL,"547,861","566,127","638,016","506,983","474,887",,
Value ($'000s),,
Call Options,"15,143","12,132","14,404","10,606","11,128",,
Put Options,"9,811","8,852","15,668","9,086","8,321",,
TOTAL,"24,954","20,984","30,072","19,692","19,449",,
MOVEMENTS:,,
Call Options,,
Up,379,228,238,190,171,,
Down,153,279,345,307,354,,
Steady,18,26,24,23,19,,
TOTAL,550,533,607,520,544,,
Put Options,,
Up,74,208,170,218,266,,
Down,416,289,328,274,241,,
Steady,4,26,21,30,24,,
TOTAL,494,523,519,522,531,,
,
