National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-02-25T23:15:12+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,,
Volume ('000s),,
Industrials,"948,543","966,957","1,093,786","1,097,817","1,062,515",,
Mining,"1,100,160","1,094,429","973,070","987,693","1,167,317",,
TOTAL,"2,048,703","2,061,386","2,066,856","2,085,510","2,229,832",,
Value ($'000s),,
Industrials,"3,231,974","3,119,566","3,421,087","3,037,048","3,955,543",,
Mining,"1,254,515","1,407,649","1,463,771","1,672,235","2,402,922",,
TOTAL,"4,486,489","4,527,215","4,884,858","4,709,283","6,358,465",,
MOVEMENTS:,,
Industrials,,
Up,371,343,285,260,322,,
Down,175,198,259,274,211,,
Steady,144,173,168,167,173,,
TOTAL,690,714,712,701,706,,
Mining,,
Up,340,277,289,260,319,,
Down,219,257,239,291,209,,
Steady,222,222,233,212,240,,
TOTAL,781,756,761,763,768,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"359,091","434,371","563,340","803,471","421,868",,
Put Options,"273,245","253,556","289,073","447,789","268,314",,
TOTAL,"632,336","687,927","852,413","1,251,260","690,182",,
Value ($'000s),,
Call Options,"51,064","35,577","27,120","59,248","16,117",,
Put Options,"16,180","11,251","23,114","36,254","13,506",,
TOTAL,"67,244","46,828","50,234","95,502","29,623",,
MOVEMENTS:,,
Call Options,,
Up,433,539,414,368,308,,
Down,173,146,274,491,353,,
Steady,26,36,28,20,25,,
TOTAL,632,721,716,879,686,,
Put Options,,
Up,72,44,101,278,117,,
Down,495,527,457,388,453,,
Steady,10,7,23,34,15,,
TOTAL,577,578,581,700,585,,
,
