National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-04-07T23:15:13+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Mar 30,Apr  2,Apr  3,Apr  4,Apr  5,,
Volume ('000s),,
Industrials,"1,157,812","1,010,804","904,470","906,076","816,047",,
Mining,"1,626,728","1,582,293","1,294,572","1,442,057","1,319,124",,
TOTAL,"2,784,540","2,593,097","2,199,042","2,348,133","2,135,171",,
Value ($'000s),,
Industrials,"5,273,764","3,056,181","3,033,711","2,857,059","2,561,098",,
Mining,"2,856,987","1,766,768","1,541,736","1,735,716","1,537,490",,
TOTAL,"8,130,751","4,822,949","4,575,447","4,592,775","4,098,588",,
MOVEMENTS:,,
Industrials,,
Up,307,262,294,253,180,,
Down,231,272,219,268,304,,
Steady,160,158,180,161,190,,
TOTAL,698,692,693,682,674,,
Mining,,
Up,293,270,249,198,178,,
Down,251,283,286,347,380,,
Steady,242,239,259,231,235,,
TOTAL,786,792,794,776,793,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"471,682","285,090","323,029","454,147","235,204",,
Put Options,"280,269","247,896","268,588","348,386","260,535",,
TOTAL,"751,951","532,986","591,617","802,533","495,739",,
Value ($'000s),,
Call Options,"22,472","11,148","19,034","47,494","18,158",,
Put Options,"15,574","18,116","13,783","26,924","13,260",,
TOTAL,"38,046","29,264","32,817","74,418","31,418",,
MOVEMENTS:,,
Call Options,,
Up,315,265,213,181,115,,
Down,415,305,304,321,375,,
Steady,39,19,34,10,22,,
TOTAL,769,589,551,512,512,,
Put Options,,
Up,186,205,184,226,375,,
Down,481,335,251,237,141,,
Steady,28,24,24,26,28,,
TOTAL,695,564,459,489,544,,
,
