National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-05-05T23:15:13+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Apr 30,May  1,May  2,May  3,May  4,,
Volume ('000s),,
Industrials,"837,479","897,801","1,037,188","1,072,387","881,343",,
Mining,"1,185,283","1,179,602","1,170,787","917,618","1,067,443",,
TOTAL,"2,022,762","2,077,403","2,207,975","1,990,005","1,948,786",,
Value ($'000s),,
Industrials,"2,550,315","3,190,395","3,249,215","3,256,520","2,758,802",,
Mining,"1,166,858","1,570,590","1,405,282","1,265,414","1,283,696",,
TOTAL,"3,717,173","4,760,985","4,654,497","4,521,934","4,042,498",,
MOVEMENTS:,,
Industrials,,
Up,342,315,306,243,188,,
Down,206,207,240,288,337,,
Steady,183,184,165,172,175,,
TOTAL,731,706,711,703,700,,
Mining,,
Up,256,240,238,205,173,,
Down,273,319,279,339,346,,
Steady,256,216,242,219,233,,
TOTAL,785,775,759,763,752,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"278,056","482,181","427,290","278,192","285,164",,
Put Options,"209,291","341,803","264,588","180,187","246,976",,
TOTAL,"487,347","823,984","691,878","458,379","532,140",,
Value ($'000s),,
Call Options,"23,523","29,124","21,346","27,790","10,361",,
Put Options,"50,260","18,851","9,321","9,599","9,959",,
TOTAL,"73,783","47,975","30,667","37,389","20,320",,
MOVEMENTS:,,
Call Options,,
Up,330,442,325,230,139,,
Down,202,139,270,335,401,,
Steady,38,28,34,40,13,,
TOTAL,570,609,629,605,553,,
Put Options,,
Up,56,62,88,146,342,,
Down,419,483,417,295,184,,
Steady,17,27,26,54,25,,
TOTAL,492,572,531,495,551,,
,
