National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-05-26T23:15:13+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,May 21,May 22,May 23,May 24,May 25,,
Volume ('000s),,
Industrials,"729,431","830,992","695,373","668,027","746,435",,
Mining,"845,943","866,377","870,963","867,626","768,791",,
TOTAL,"1,575,374","1,697,369","1,566,336","1,535,653","1,515,226",,
Value ($'000s),,
Industrials,"2,999,896","3,151,336","2,913,102","2,623,455","3,287,474",,
Mining,"1,493,947","1,465,357","1,425,967","1,304,498","1,863,840",,
TOTAL,"4,493,843","4,616,693","4,339,069","3,927,953","5,151,314",,
MOVEMENTS:,,
Industrials,,
Up,253,395,155,202,227,,
Down,285,138,321,293,265,,
Steady,143,138,157,159,171,,
TOTAL,681,671,633,654,663,,
Mining,,
Up,241,340,184,195,236,,
Down,261,171,338,292,241,,
Steady,226,206,175,215,219,,
TOTAL,728,717,697,702,696,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"369,545","367,233","350,333","546,056","387,939",,
Put Options,"402,991","344,433","500,120","614,578","246,171",,
TOTAL,"772,536","711,666","850,453","1,160,634","634,110",,
Value ($'000s),,
Call Options,"43,026","38,146","21,100","99,817","31,174",,
Put Options,"41,404","46,388","53,005","72,967","16,584",,
TOTAL,"84,430","84,534","74,105","172,784","47,758",,
MOVEMENTS:,,
Call Options,,
Up,275,276,75,149,67,,
Down,412,419,537,569,613,,
Steady,34,35,22,31,23,,
TOTAL,721,730,634,749,703,,
Put Options,,
Up,430,179,562,512,391,,
Down,394,514,226,366,168,,
Steady,23,9,18,32,27,,
TOTAL,847,702,806,910,586,,
,
