National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-09-29T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Sep 24,Sep 25,Sep 26,Sep 27,Sep 28,,
Volume ('000s),,
Industrials,"592,697","627,254","753,752","670,953","931,691",,
Mining,"1,042,289","835,099","780,779","1,089,333","1,176,606",,
TOTAL,"1,634,986","1,462,353","1,534,531","1,760,286","2,108,297",,
Value ($'000s),,
Industrials,"2,625,317","2,283,043","2,507,029","2,697,825","3,983,134",,
Mining,"1,343,736","1,030,845","1,142,861","1,290,488","2,112,642",,
TOTAL,"3,969,053","3,313,888","3,649,890","3,988,313","6,095,776",,
MOVEMENTS:,,
Industrials,,
Up,199,227,230,255,278,,
Down,304,249,268,240,223,,
Steady,146,159,148,152,172,,
TOTAL,649,635,646,647,673,,
Mining,,
Up,211,186,194,226,288,,
Down,290,298,272,234,209,,
Steady,186,200,218,214,203,,
TOTAL,687,684,684,674,700,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"317,168","985,344","604,943","976,974","282,863",,
Put Options,"233,892","246,928","260,020","483,237","220,246",,
TOTAL,"551,060","1,232,272","864,963","1,460,211","503,109",,
Value ($'000s),,
Call Options,"124,596","394,113","202,318","150,167","9,286",,
Put Options,"16,165","17,593","20,273","48,452","8,291",,
TOTAL,"140,761","411,706","222,591","198,619","17,577",,
MOVEMENTS:,,
Call Options,,
Up,125,160,147,396,232,,
Down,452,426,520,510,339,,
Steady,17,15,13,32,38,,
TOTAL,594,601,680,938,609,,
Put Options,,
Up,266,285,404,286,124,,
Down,228,262,254,514,414,,
Steady,26,32,35,31,28,,
TOTAL,520,579,693,831,566,,
,
