National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-05-04T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Apr 24,Apr 26,Apr 29,Apr 30,May  3,,
Volume ('000s),,
Industrials,"878,616","584,338","498,382","449,424","591,633",,
Mining,"834,872","842,868","798,827","576,933","567,188",,
TOTAL,"1,713,488","1,427,206","1,297,209","1,026,357","1,158,821",,
Value ($'000s),,
Industrials,"5,323,532","2,757,034","2,062,163","2,147,178","3,005,093",,
Mining,"1,668,977","1,038,121","653,350","609,468","768,541",,
TOTAL,"6,992,509","3,795,155","2,715,513","2,756,646","3,773,634",,
MOVEMENTS:,,
Industrials,,
Up,369,295,327,311,299,,
Down,164,271,242,221,230,,
Steady,156,131,124,141,161,,
TOTAL,689,697,693,673,690,,
Mining,,
Up,207,246,181,187,204,,
Down,202,183,263,252,237,,
Steady,239,191,208,198,206,,
TOTAL,648,620,652,637,647,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"416,388","323,064","183,927","252,440","410,901",,
Put Options,"265,527","204,063","194,020","247,674","231,129",,
TOTAL,"681,915","527,127","377,947","500,114","642,030",,
Value ($'000s),,
Call Options,"55,825","65,473","44,158","36,623","75,979",,
Put Options,"14,645","8,850","18,964","17,133","15,632",,
TOTAL,"70,470","74,323","63,122","53,756","91,611",,
MOVEMENTS:,,
Call Options,,
Up,625,386,376,415,254,,
Down,178,211,196,146,315,,
Steady,27,27,25,11,21,,
TOTAL,830,624,597,572,590,,
Put Options,,
Up,81,102,108,61,213,,
Down,592,387,374,449,314,,
Steady,11,19,13,6,24,,
TOTAL,684,508,495,516,551,,
,
