National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-06-07T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jun  2,Jun  3,Jun  4,Jun  5,Jun  6,,
Volume ('000s),,
Industrials,"638,238","839,907","729,807","690,654","726,382",,
Mining,"686,433","683,646","859,363","827,674","786,600",,
TOTAL,"1,324,671","1,523,553","1,589,170","1,518,328","1,512,982",,
Value ($'000s),,
Industrials,"2,713,776","3,363,905","2,907,415","3,008,658","2,880,043",,
Mining,"950,104","1,066,903","747,093","796,249","868,732",,
TOTAL,"3,663,880","4,430,808","3,654,508","3,804,907","3,748,775",,
MOVEMENTS:,,
Industrials,,
Up,345,210,223,250,372,,
Down,280,392,381,337,240,,
Steady,173,183,170,204,167,,
TOTAL,798,785,774,791,779,,
Mining,,
Up,176,165,176,186,221,,
Down,212,254,220,210,187,,
Steady,237,213,221,247,244,,
TOTAL,625,632,617,643,652,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"194,836","129,270","182,855","173,330","123,181",,
Put Options,"190,101","183,354","223,554","183,792","136,175",,
TOTAL,"384,937","312,624","406,409","357,122","259,356",,
Value ($'000s),,
Call Options,"71,456","14,927","90,600","11,521","4,784",,
Put Options,"11,790","6,536","8,855","9,686","5,283",,
TOTAL,"83,246","21,463","99,455","21,207","10,067",,
MOVEMENTS:,,
Call Options,,
Up,170,146,56,66,167,,
Down,252,245,344,336,237,,
Steady,20,18,9,10,16,,
TOTAL,442,409,409,412,420,,
Put Options,,
Up,182,189,335,280,120,,
Down,266,222,137,152,245,,
Steady,36,32,18,31,13,,
TOTAL,484,443,490,463,378,,
,
