National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-10-11T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Oct  6,Oct  7,Oct  8,Oct  9,Oct 10,,
Volume ('000s),,
Industrials,"403,583","764,848","671,977","703,007","860,703",,
Mining,"533,363","773,577","874,683","936,991","843,080",,
TOTAL,"936,946","1,538,425","1,546,660","1,639,998","1,703,783",,
Value ($'000s),,
Industrials,"1,423,941","3,565,664","2,845,379","3,191,081","3,739,335",,
Mining,"560,027","1,288,510","993,899","929,938","1,063,139",,
TOTAL,"1,983,968","4,854,174","3,839,278","4,121,019","4,802,474",,
MOVEMENTS:,,
Industrials,,
Up,288,80,163,401,134,,
Down,253,159,397,177,505,,
Steady,182,71,158,186,139,,
TOTAL,723,310,718,764,778,,
Mining,,
Up,123,58,110,206,86,,
Down,192,78,196,145,272,,
Steady,174,76,170,184,183,,
TOTAL,489,212,476,535,541,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"101,190","195,502","160,077","208,161","200,566",,
Put Options,"111,631","208,113","168,199","133,716","277,207",,
TOTAL,"212,821","403,615","328,276","341,877","477,773",,
Value ($'000s),,
Call Options,"4,549","41,465","18,816","9,016","28,181",,
Put Options,"8,438","13,298","9,521","8,635","15,743",,
TOTAL,"12,987","54,763","28,337","17,651","43,924",,
MOVEMENTS:,,
Call Options,,
Up,63,50,58,283,15,,
Down,270,123,238,78,328,,
Steady,13,3,9,16,7,,
TOTAL,346,176,305,377,350,,
Put Options,,
Up,237,137,227,60,358,,
Down,109,61,74,265,39,,
Steady,16,7,15,4,15,,
TOTAL,362,205,316,329,412,,
,
