National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-01-03T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Dec 24,Dec 29,Dec 30,Dec 31,Jan  2,,
Volume ('000s),,
Industrials,"298,869","484,512","424,994","270,845","306,171",,
Mining,"345,085","363,662","491,484","353,569","381,097",,
TOTAL,"643,954","848,174","916,478","624,414","687,268",,
Value ($'000s),,
Industrials,"1,347,855","1,918,582","1,924,414","972,397","1,075,943",,
Mining,"328,320","453,865","524,642","301,146","337,827",,
TOTAL,"1,676,175","2,372,447","2,449,056","1,273,543","1,413,770",,
MOVEMENTS:,,
Industrials,,
Up,320,439,216,319,342,,
Down,227,194,373,230,199,,
Steady,177,146,162,159,167,,
TOTAL,724,779,751,708,708,,
Mining,,
Up,138,190,126,189,174,,
Down,112,107,135,75,97,,
Steady,151,176,174,142,147,,
TOTAL,401,473,435,406,418,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"91,124","147,701","95,611","80,810","46,326",,
Put Options,"95,472","86,116","113,300","57,679","54,820",,
TOTAL,"186,596","233,817","208,911","138,489","101,146",,
Value ($'000s),,
Call Options,"5,400","9,625","8,828","3,382","8,410",,
Put Options,"5,044","4,124","4,942","3,513","4,908",,
TOTAL,"10,444","13,749","13,770","6,895","13,318",,
MOVEMENTS:,,
Call Options,,
Up,106,355,207,113,112,,
Down,193,75,166,171,134,,
Steady,10,15,11,6,15,,
TOTAL,309,445,384,290,261,,
Put Options,,
Up,81,11,115,79,72,,
Down,152,291,277,134,168,,
Steady,13,4,10,18,18,,
TOTAL,246,306,402,231,258,,
,
