National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-01-31T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jan 23,Jan 27,Jan 28,Jan 29,Jan 30,,
Volume ('000s),,
Industrials,"737,893","933,941","742,468","769,922","1,169,202",,
Mining,"634,285","666,916","654,653","620,719","886,506",,
TOTAL,"1,372,178","1,600,857","1,397,121","1,390,641","2,055,708",,
Value ($'000s),,
Industrials,"3,327,143","3,821,267","3,538,638","3,658,144","6,503,836",,
Mining,"776,417","903,783","744,389","921,918","1,574,856",,
TOTAL,"4,103,560","4,725,050","4,283,027","4,580,062","8,078,692",,
MOVEMENTS:,,
Industrials,,
Up,423,390,316,357,441,,
Down,219,269,318,303,237,,
Steady,167,167,175,172,160,,
TOTAL,809,826,809,832,838,,
Mining,,
Up,184,115,157,144,153,,
Down,171,215,168,193,224,,
Steady,179,202,196,186,203,,
TOTAL,534,532,521,523,580,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"229,585","281,243","500,677","823,189","363,519",,
Put Options,"188,435","305,917","406,636","523,576","255,324",,
TOTAL,"418,020","587,160","907,313","1,346,765","618,843",,
Value ($'000s),,
Call Options,"16,384","34,468","92,466","426,733","47,572",,
Put Options,"12,613","26,634","27,648","67,214","14,090",,
TOTAL,"28,997","61,102","120,114","493,947","61,662",,
MOVEMENTS:,,
Call Options,,
Up,512,419,397,510,495,,
Down,98,175,194,233,128,,
Steady,16,6,27,22,21,,
TOTAL,626,600,618,765,644,,
Put Options,,
Up,48,119,113,203,29,,
Down,445,420,411,448,457,,
Steady,4,8,23,22,6,,
TOTAL,497,547,547,673,492,,
,
