National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-04-04T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Mar 27,Mar 30,Mar 31,Apr  1,Apr  2,,
Volume ('000s),,
Industrials,"841,905","1,068,618","927,715","865,419","681,582",,
Mining,"721,602","728,103","622,203","728,496","656,987",,
TOTAL,"1,563,507","1,796,721","1,549,918","1,593,915","1,338,569",,
Value ($'000s),,
Industrials,"5,544,992","8,579,198","4,483,540","4,397,203","3,367,205",,
Mining,"1,275,100","807,725","813,707","891,991","819,813",,
TOTAL,"6,820,092","9,386,923","5,297,247","5,289,194","4,187,018",,
MOVEMENTS:,,
Industrials,,
Up,367,229,424,264,408,,
Down,267,424,242,381,251,,
Steady,177,179,170,184,167,,
TOTAL,811,832,836,829,826,,
Mining,,
Up,167,115,184,124,184,,
Down,169,225,159,218,151,,
Steady,195,179,189,209,185,,
TOTAL,531,519,532,551,520,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"215,091","191,903","144,042","108,251","125,281",,
Put Options,"133,586","166,687","135,221","184,465","134,509",,
TOTAL,"348,677","358,590","279,263","292,716","259,790",,
Value ($'000s),,
Call Options,"43,254","10,485","26,262","7,202","9,424",,
Put Options,"7,038","9,252","6,674","6,700","7,296",,
TOTAL,"50,292","19,737","32,936","13,902","16,720",,
MOVEMENTS:,,
Call Options,,
Up,203,60,273,73,183,,
Down,294,372,181,280,170,,
Steady,18,8,20,8,11,,
TOTAL,515,440,474,361,364,,
Put Options,,
Up,158,361,109,262,153,,
Down,226,113,257,150,176,,
Steady,13,9,10,17,13,,
TOTAL,397,483,376,429,342,,
,
