National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-06-27T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jun 22,Jun 23,Jun 24,Jun 25,Jun 26,,
Volume ('000s),,
Industrials,"797,899","895,761","859,784","927,279","932,946",,
Mining,"955,294","927,609","834,259","924,401","780,384",,
TOTAL,"1,753,193","1,823,370","1,694,043","1,851,680","1,713,330",,
Value ($'000s),,
Industrials,"3,282,259","4,124,884","3,765,265","3,786,465","6,007,306",,
Mining,"588,791","781,157","778,723","691,414","1,440,730",,
TOTAL,"3,871,050","4,906,041","4,543,988","4,477,879","7,448,036",,
MOVEMENTS:,,
Industrials,,
Up,334,412,349,225,216,,
Down,373,301,345,479,473,,
Steady,165,181,189,196,180,,
TOTAL,872,894,883,900,869,,
Mining,,
Up,160,176,171,159,163,,
Down,225,230,200,214,194,,
Steady,238,252,271,265,258,,
TOTAL,623,658,642,638,615,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"157,261","274,580","642,625","588,509","216,535",,
Put Options,"148,717","242,185","258,889","531,166","226,138",,
TOTAL,"305,978","516,765","901,514","1,119,675","442,673",,
Value ($'000s),,
Call Options,"14,659","24,674","366,132","113,516","14,638",,
Put Options,"15,737","23,272","39,708","67,196","10,317",,
TOTAL,"30,396","47,946","405,840","180,712","24,955",,
MOVEMENTS:,,
Call Options,,
Up,146,377,365,168,78,,
Down,216,145,206,396,386,,
Steady,16,14,19,14,0,,
TOTAL,378,536,590,578,464,,
Put Options,,
Up,120,83,118,386,366,,
Down,231,453,401,362,149,,
Steady,12,6,9,32,6,,
TOTAL,363,542,528,780,521,,
,
