National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-08-01T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jul 27,Jul 28,Jul 29,Jul 30,Jul 31,,
Volume ('000s),,
Industrials,"623,527","788,901","692,411","693,715","875,380",,
Mining,"998,842","1,043,755","862,210","852,694","813,282",,
TOTAL,"1,622,369","1,832,656","1,554,621","1,546,409","1,688,662",,
Value ($'000s),,
Industrials,"2,554,297","3,788,859","3,372,085","3,067,338","5,256,966",,
Mining,"640,044","826,446","739,319","808,065","1,151,532",,
TOTAL,"3,194,341","4,615,305","4,111,404","3,875,403","6,408,498",,
MOVEMENTS:,,
Industrials,,
Up,342,258,406,444,433,,
Down,339,420,271,259,263,,
Steady,194,172,184,164,181,,
TOTAL,875,850,861,867,877,,
Mining,,
Up,158,126,169,169,162,,
Down,185,221,154,159,185,,
Steady,196,199,172,188,192,,
TOTAL,539,546,495,516,539,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"118,840","256,278","263,642","581,776","229,750",,
Put Options,"119,932","177,131","249,532","383,069","237,052",,
TOTAL,"238,772","433,409","513,174","964,845","466,802",,
Value ($'000s),,
Call Options,"49,703","19,182","202,452","113,352","8,671",,
Put Options,"11,915","17,786","28,050","48,950","8,239",,
TOTAL,"61,618","36,968","230,502","162,302","16,910",,
MOVEMENTS:,,
Call Options,,
Up,93,166,309,467,307,,
Down,302,267,175,261,257,,
Steady,11,25,14,22,28,,
TOTAL,406,458,498,750,592,,
Put Options,,
Up,200,184,90,105,58,,
Down,168,256,390,464,327,,
Steady,13,25,6,5,7,,
TOTAL,381,465,486,574,392,,
,
