National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-09-12T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Sep  7,Sep  8,Sep  9,Sep 10,Sep 11,,
Volume ('000s),,
Industrials,"611,038","679,086","955,323","1,120,312","778,325",,
Mining,"661,377","836,343","891,991","777,042","731,836",,
TOTAL,"1,272,415","1,515,429","1,847,314","1,897,354","1,510,161",,
Value ($'000s),,
Industrials,"3,208,670","3,484,481","4,888,472","5,103,733","3,107,898",,
Mining,"746,720","998,443","1,227,763","934,947","903,470",,
TOTAL,"3,955,390","4,482,924","6,116,235","6,038,680","4,011,368",,
MOVEMENTS:,,
Industrials,,
Up,290,457,520,208,311,,
Down,412,244,190,475,346,,
Steady,138,148,155,158,182,,
TOTAL,840,849,865,841,839,,
Mining,,
Up,140,171,194,128,151,,
Down,196,132,134,181,132,,
Steady,169,174,174,179,172,,
TOTAL,505,477,502,488,455,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"199,595","176,207","240,250","179,570","104,894",,
Put Options,"137,825","183,600","231,306","303,618","85,762",,
TOTAL,"337,420","359,807","471,556","483,188","190,656",,
Value ($'000s),,
Call Options,"9,468","10,666","15,403","9,603","4,650",,
Put Options,"18,441","21,757","27,287","22,413","10,018",,
TOTAL,"27,909","32,423","42,690","32,016","14,668",,
MOVEMENTS:,,
Call Options,,
Up,59,251,469,101,77,,
Down,390,213,193,309,234,,
Steady,12,27,21,14,16,,
TOTAL,461,491,683,424,327,,
Put Options,,
Up,263,107,95,267,154,,
Down,135,279,445,169,154,,
Steady,15,3,9,3,11,,
TOTAL,413,389,549,439,319,,
,
