National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-10-03T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Sep 28,Sep 29,Sep 30,Oct  1,Oct  2,,
Volume ('000s),,
Industrials,"698,920","921,307","1,021,649","746,183","622,498",,
Mining,"727,197","1,010,070","970,927","614,788","589,680",,
TOTAL,"1,426,117","1,931,377","1,992,576","1,360,971","1,212,178",,
Value ($'000s),,
Industrials,"2,875,232","4,572,018","4,659,772","3,637,193","2,877,210",,
Mining,"596,346","953,893","994,065","712,042","571,125",,
TOTAL,"3,471,578","5,525,911","5,653,837","4,349,235","3,448,335",,
MOVEMENTS:,,
Industrials,,
Up,421,153,458,454,282,,
Down,259,592,208,245,356,,
Steady,155,126,182,152,165,,
TOTAL,835,871,848,851,803,,
Mining,,
Up,180,83,155,160,163,,
Down,148,235,143,138,131,,
Steady,164,183,182,180,155,,
TOTAL,492,501,480,478,449,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"105,567","168,301","209,860","177,798","77,487",,
Put Options,"80,285","151,318","128,495","108,382","62,714",,
TOTAL,"185,852","319,619","338,355","286,180","140,201",,
Value ($'000s),,
Call Options,"7,963","12,300","21,302","8,408","11,085",,
Put Options,"5,311","14,229","13,015","10,201","5,409",,
TOTAL,"13,274","26,529","34,317","18,609","16,494",,
MOVEMENTS:,,
Call Options,,
Up,194,24,204,415,138,,
Down,224,408,290,117,213,,
Steady,37,6,22,18,19,,
TOTAL,455,438,516,550,370,,
Put Options,,
Up,91,444,177,77,123,,
Down,202,81,192,293,140,,
Steady,8,12,12,2,11,,
TOTAL,301,537,381,372,274,,
,
