Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-11-12T23:15:11+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Nov 7,Nov 8,Nov 9,Nov 10,Nov 11,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Nov 7,Nov 8,Nov 9,Nov 10,Nov 11,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4335.3,4356.7,4406.2,4307.3,4358.6,4358.6,4307.3,51.3,1.19,4406.2,4307.3,16.1,0.37,4411.4,4203.4,69.8,1.63,5064.9,3927.6,-488.3,-10.07,5064.9,3927.6,-420.2,-8.79,32325.1,32486.7,32859.0,32228.8,32612.3,32859.0,32228.8,305.4,0.95,32859.0,31268.9,710.8,2.23,36827.4,29204.1,-2200.5,-6.32,36827.4,29204.1,-1647.8,-4.81,,
XAF,All Australian 50,4254.4,4275.8,4326.5,4220.7,4271.7,4271.7,4219.9,51.0,1.21,4326.5,4220.7,7.6,0.18,4328.1,4116.7,64.7,1.54,4939.1,3853.0,-410.5,-8.77,4939.1,3853.0,-379.2,-8.15,32325.0,32488.0,32873.3,32218.9,32608.6,32873.3,32218.9,310.5,0.96,32873.3,31179.4,745.5,2.34,36488.5,29181.9,-1538.0,-4.50,36488.5,29181.9,-1273.8,-3.76,,
XAT,All Australian 200,4270.5,4291.1,4343.6,4241.6,4294.4,4294.4,4241.6,52.8,1.24,4343.6,4241.6,16.0,0.38,4352.1,4137.6,72.5,1.72,4976.2,3855.4,-456.1,-9.60,4976.2,3855.4,-401.4,-8.55,32345.6,32502.4,32902.3,32256.2,32657.8,32902.3,32256.2,337.2,1.04,32902.3,31254.2,767.4,2.41,36695.0,29116.8,-1933.1,-5.59,36695.0,29116.8,-1476.7,-4.33,,
XTL,S&P/ASX 20,2577.1,2591.5,2621.4,2558.0,2587.7,2587.7,2555.6,29.7,1.16,2621.4,2558.0,0.5,0.02,2630.2,2498.8,30.8,1.20,2998.7,2334.2,-244.4,-8.63,2998.7,2334.2,-221.6,-7.89,38431.0,38644.6,39090.6,38369.3,38815.0,39090.6,38369.3,385.2,1.00,39090.6,37117.0,834.5,2.20,43396.5,34671.5,-1638.6,-4.05,43396.5,34671.5,-1312.9,-3.27,,
XFL,S&P/ASX 50,4277.5,4298.9,4349.7,4243.9,4294.6,4294.6,4243.0,50.6,1.19,4349.7,4243.9,7.0,0.16,4350.8,4139.9,62.8,1.48,4953.4,3876.7,-398.7,-8.49,4953.4,3876.7,-366.9,-7.87,32468.5,32630.9,33016.4,32363.3,32749.3,33016.4,32363.3,305.3,0.94,33016.4,31323.5,730.5,2.28,36564.0,29332.3,-1453.3,-4.25,36564.0,29332.3,-1188.2,-3.50,,
XTO,S&P/ASX 100,3483.7,3499.5,3542.6,3459.6,3501.7,3501.7,3459.6,42.1,1.22,3542.6,3459.6,10.4,0.30,3550.3,3378.1,57.0,1.65,4049.1,3155.5,-351.6,-9.13,4049.1,3155.5,-314.7,-8.25,8017.6,8053.8,8153.6,7995.6,8092.9,8153.6,7995.6,80.0,1.00,8153.6,7752.1,187.9,2.38,9067.0,7240.1,-425.6,-5.00,9067.0,7240.1,-331.0,-3.93,,
XJO,S&P/ASX 200,4273.4,4293.8,4346.1,4244.1,4296.5,4296.5,4244.1,52.4,1.23,4346.1,4244.1,15.4,0.36,4353.3,4141.9,68.9,1.63,4971.2,3863.9,-448.7,-9.46,4971.2,3863.9,-396.2,-8.44,32327.5,32482.0,32880.0,32233.2,32631.3,32880.0,32233.2,329.0,1.02,32880.0,31248.4,736.7,2.31,36617.7,29145.7,-1887.2,-5.47,36617.7,29145.7,-1447.0,-4.25,,
XKO,S&P/ASX 300,4269.4,4290.7,4342.2,4241.4,4293.2,4293.2,4241.4,51.8,1.22,4342.2,4241.4,16.2,0.38,4349.1,4138.5,68.5,1.62,4984.1,3860.9,-467.6,-9.82,4984.1,3860.9,-408.6,-8.69,32216.5,32377.6,32768.8,32129.6,32522.3,32768.8,32129.6,330.0,1.03,32768.8,31146.6,727.5,2.29,36632.1,29050.7,-2038.0,-5.90,36632.1,29050.7,-1551.2,-4.55,,
XMD,S&P/ASX MidCap 50,3790.8,3792.6,3855.7,3794.3,3847.9,3847.9,3794.3,53.6,1.41,3855.7,3790.8,54.0,1.42,3926.9,3708.8,115.1,3.08,4573.1,3408.2,-619.6,-13.87,4573.1,3408.2,-482.4,-11.14,9108.4,9112.7,9270.1,9122.3,9251.2,9270.1,9108.4,135.2,1.48,9435.6,8911.4,285.0,3.18,10728.9,8186.5,-1097.4,-10.60,10728.9,8186.5,-723.8,-7.26,,
XSO,S&P/ASX Small Ords,2401.0,2424.1,2445.2,2394.0,2424.7,2424.7,2394.0,30.7,1.28,2445.2,2394.0,29.4,1.23,2445.2,2318.9,32.3,1.35,2946.3,2137.3,-467.8,-16.17,2946.3,2137.3,-353.4,-12.72,5527.6,5581.4,5632.0,5514.9,5585.7,5632.0,5514.9,71.2,1.29,5632.0,5338.7,79.1,1.44,6625.3,4915.5,-916.6,-14.10,6625.3,4915.5,-637.8,-10.25,,
XDJ,Consumer Discretionary,1258.3,1250.5,1269.6,1255.0,1266.8,1266.8,1252.5,11.8,0.94,1269.6,1250.5,3.7,0.29,1285.0,1214.3,39.5,3.22,1557.8,1140.6,-234.0,-15.59,1557.8,1140.6,-272.6,-17.71,8607.2,8553.9,8691.9,8591.8,8672.7,8691.9,8553.9,32.5,0.38,8789.8,8298.7,285.0,3.40,10210.5,7636.0,-1109.7,-11.34,10210.5,7636.0,-1361.4,-13.57,,
