Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-04-07T23:15:13+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Mar 30,Apr 2,Apr 3,Apr 4,Apr 5,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Mar 30,Apr 2,Apr 3,Apr 4,Apr 5,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4420.0,4416.4,4424.4,4418.9,4402.3,4409.1,4370.1,-16.6,-0.38,4424.4,4402.3,-19.7,-0.45,4431.5,4234.4,48.1,1.11,4431.5,4155.2,291.3,7.08,5064.9,3927.6,-603.2,-12.05,33608.2,33580.9,33643.2,33603.1,33478.3,33643.2,33478.3,-144.3,-0.43,33693.6,32123.2,455.1,1.38,33693.6,31164.7,2644.9,8.58,36827.4,29204.1,-2913.5,-8.01,,
XAF,All Australian 50,4293.7,4286.3,4295.6,4297.2,4286.6,4288.3,4251.3,-10.6,-0.25,4297.2,4286.3,-14.1,-0.33,4301.1,4099.4,71.7,1.70,4301.1,4092.7,237.5,5.86,4939.1,3853.0,-581.7,-11.95,33320.3,33262.8,33335.5,33347.8,33265.3,33347.8,33262.8,-109.9,-0.33,33377.9,31764.6,608.1,1.86,33377.9,31296.5,2301.6,7.43,36488.5,29181.9,-2700.4,-7.51,,
XAT,All Australian 200,4326.5,4320.6,4328.1,4324.6,4311.3,4314.4,4277.4,-13.3,-0.31,4328.1,4311.3,-17.8,-0.41,4334.3,4135.9,55.3,1.30,4334.3,4095.7,260.6,6.43,4976.2,3855.4,-599.9,-12.22,33452.2,33406.8,33464.6,33439.5,33337.2,33464.6,33337.2,-134.7,-0.40,33511.8,31920.5,493.5,1.50,33511.8,31218.0,2462.0,7.97,36695.0,29116.8,-2877.1,-7.94,,
XTL,S&P/ASX 20,2578.0,2573.3,2579.6,2581.3,2574.0,2575.0,2552.3,-7.3,-0.28,2581.3,2573.3,-8.9,-0.35,2582.9,2459.2,45.4,1.80,2585.2,2459.2,124.3,5.07,2998.7,2334.2,-375.5,-12.73,39256.7,39184.4,39280.2,39306.5,39196.2,39306.5,39184.4,-135.7,-0.34,39331.8,37390.7,749.7,1.95,39331.8,37130.7,2451.1,6.67,43396.5,34671.5,-3488.5,-8.17,,
XFL,S&P/ASX 50,4323.3,4316.1,4325.6,4327.2,4315.4,4317.2,4280.3,-11.8,-0.27,4327.2,4315.4,-15.2,-0.35,4331.4,4127.1,72.6,1.71,4331.4,4119.7,238.9,5.86,4953.4,3876.7,-568.5,-11.64,33509.0,33453.6,33527.2,33539.8,33447.8,33539.8,33447.8,-118.2,-0.35,33572.0,31940.7,616.1,1.88,33572.0,31465.6,2312.4,7.43,36564.0,29332.3,-2603.1,-7.22,,
XTO,S&P/ASX 100,3529.2,3523.4,3529.9,3529.5,3518.7,3521.1,3491.3,-10.8,-0.31,3529.9,3518.7,-13.5,-0.38,3535.6,3371.7,51.5,1.49,3535.6,3352.0,202.0,6.09,4049.1,3155.5,-479.0,-11.98,8293.1,8279.4,8294.8,8294.3,8269.1,8294.8,8269.1,-31.0,-0.37,8308.1,7910.2,136.1,1.67,8308.1,7763.4,587.5,7.65,9067.0,7240.1,-682.3,-7.62,,
XJO,S&P/ASX 200,4335.2,4329.3,4337.0,4333.9,4319.8,4323.7,4286.3,-14.1,-0.33,4337.0,4319.8,-18.1,-0.42,4343.5,4143.7,56.8,1.33,4343.5,4101.2,263.2,6.49,4971.2,3863.9,-588.3,-11.99,33472.3,33426.2,33486.2,33463.4,33356.1,33486.2,33356.1,-136.2,-0.41,33535.6,31934.5,507.0,1.54,33535.6,31218.6,2477.0,8.02,36617.7,29145.7,-2795.7,-7.73,,
XKO,S&P/ASX 300,4338.6,4332.9,4340.3,4336.0,4320.8,4325.7,4287.4,-15.2,-0.35,4340.3,4320.8,-20.3,-0.47,4347.1,4147.4,54.1,1.27,4347.1,4097.1,268.5,6.63,4984.1,3860.9,-600.8,-12.21,33405.7,33362.3,33419.0,33388.2,33272.0,33419.0,33272.0,-152.5,-0.46,33470.3,31873.8,486.5,1.48,33470.3,31106.7,2505.4,8.14,36632.1,29050.7,-2899.1,-8.01,,
XMD,S&P/ASX MidCap 50,3917.5,3911.0,3907.7,3891.5,3869.0,3884.0,3848.2,-22.5,-0.58,3917.5,3869.0,-24.6,-0.63,3923.3,3766.0,-12.5,-0.32,3928.5,3609.5,290.1,8.10,4573.1,3408.2,-661.0,-14.59,9603.7,9587.7,9579.6,9544.7,9492.1,9603.7,9492.1,-52.9,-0.55,9615.5,9209.8,3.3,0.04,9615.5,8736.2,830.0,9.58,10728.9,8186.5,-1135.5,-10.68,,
XSO,S&P/ASX Small Ords,2516.1,2521.4,2521.4,2498.5,2479.4,2494.6,2461.3,-19.1,-0.76,2521.4,2479.4,-31.9,-1.27,2525.0,2419.0,-19.2,-0.77,2526.6,2240.7,270.0,12.22,2920.5,2137.3,-409.4,-14.17,5874.2,5886.6,5887.3,5833.8,5789.0,5887.3,5789.0,-72.8,-1.24,5892.6,5621.5,-17.3,-0.30,5892.6,5181.7,680.2,13.31,6617.6,4915.5,-755.5,-11.54,,
