Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-06-02T23:15:13+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,May 28,May 29,May 30,May 31,Jun 1,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,May 28,May 29,May 30,May 31,Jun 1,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4120.2,4168.2,4148.7,4133.7,4116.9,4133.3,4088.4,-16.8,-0.41,4168.2,4116.9,35.7,0.88,4504.8,4081.2,-380.4,-8.46,4504.8,4081.2,5.9,0.14,4716.0,3927.6,-549.7,-11.78,31474.2,31841.4,31692.2,31634.5,31505.8,31841.4,31474.2,333.4,1.07,34266.8,31172.5,-2701.9,-7.90,34266.8,31164.7,672.5,2.18,34534.4,29204.1,-2601.2,-7.63,,
XAF,All Australian 50,4057.1,4101.2,4080.7,4055.4,4055.7,4060.6,4016.4,0.3,0.01,4101.2,4055.4,34.9,0.87,4413.6,4020.8,-348.3,-7.91,4413.6,4020.8,6.6,0.16,4624.7,3853.0,-487.8,-10.74,31662.6,32006.7,31847.0,31728.4,31731.0,32006.7,31662.6,357.3,1.14,34251.1,31373.8,-2445.5,-7.16,34251.1,31296.5,767.3,2.48,34440.1,29181.9,-2071.3,-6.13,,
XAT,All Australian 200,4056.4,4102.8,4082.4,4064.2,4052.6,4063.8,4018.8,-11.6,-0.29,4102.8,4052.6,35.6,0.89,4426.4,4017.0,-367.8,-8.32,4426.4,4017.0,1.9,0.05,4654.7,3855.4,-528.9,-11.54,31520.7,31881.2,31723.0,31648.0,31556.9,31881.2,31520.7,346.4,1.11,34230.5,31210.5,-2625.1,-7.68,34230.5,31210.5,681.8,2.21,34588.8,29116.8,-2429.2,-7.15,,
XTL,S&P/ASX 20,2438.1,2463.6,2450.1,2432.6,2436.8,2440.3,2409.1,4.2,0.17,2463.6,2432.6,20.6,0.85,2659.9,2416.2,-215.1,-8.11,2659.9,2416.2,-12.9,-0.53,2807.0,2334.2,-312.4,-11.36,37373.8,37763.4,37557.8,37405.3,37470.4,37763.4,37373.8,432.3,1.17,40503.5,37038.2,-2911.5,-7.21,40503.5,37038.2,725.4,1.97,40963.3,34671.5,-2649.5,-6.60,,
XFL,S&P/ASX 50,4085.1,4129.7,4109.4,4083.9,4083.4,4088.4,4044.0,-0.5,-0.01,4129.7,4083.4,34.5,0.85,4442.6,4048.9,-348.9,-7.87,4442.6,4048.9,6.9,0.17,4640.9,3876.7,-478.2,-10.48,31842.1,32189.2,32030.9,31911.6,31908.2,32189.2,31842.1,353.9,1.12,34434.2,31554.2,-2446.3,-7.12,34434.2,31465.6,772.8,2.48,34531.1,29332.3,-1999.5,-5.90,,
XTO,S&P/ASX 100,3326.4,3363.8,3348.1,3329.4,3323.3,3329.2,3294.0,-6.1,-0.18,3363.8,3323.3,27.6,0.84,3618.2,3295.7,-288.5,-7.99,3618.2,3295.7,6.6,0.20,3796.5,3155.5,-414.9,-11.10,7857.1,7945.4,7908.4,7881.7,7867.3,7945.4,7857.1,83.8,1.08,8503.6,7783.4,-620.5,-7.31,8503.6,7763.4,185.7,2.42,8568.2,7240.1,-555.6,-6.60,,
XJO,S&P/ASX 200,4068.0,4114.4,4094.2,4076.3,4063.9,4075.8,4030.4,-12.4,-0.30,4114.4,4063.9,34.7,0.86,4435.9,4029.2,-365.6,-8.25,4435.9,4029.2,7.3,0.18,4654.7,3863.9,-519.2,-11.33,31566.3,31926.3,31769.7,31695.6,31599.4,31926.3,31566.3,338.4,1.08,34257.1,31261.0,-2605.9,-7.62,34257.1,31218.6,720.2,2.33,34549.4,29145.7,-2359.8,-6.95,,
XKO,S&P/ASX 300,4060.9,4107.5,4087.5,4070.7,4056.9,4070.1,4024.5,-13.8,-0.34,4107.5,4056.9,34.6,0.86,4432.4,4022.3,-369.0,-8.34,4432.4,4022.3,4.6,0.11,4658.0,3860.9,-535.3,-11.66,31421.5,31782.3,31627.6,31561.0,31454.1,31782.3,31421.5,335.2,1.08,34136.0,31119.0,-2629.8,-7.72,34136.0,31106.7,687.6,2.23,34494.6,29050.7,-2492.8,-7.34,,
XMD,S&P/ASX MidCap 50,3616.2,3666.9,3657.9,3655.8,3598.3,3654.2,3590.4,-57.5,-1.57,3666.9,3598.3,25.6,0.72,3940.5,3572.7,-352.6,-8.92,3950.9,3572.7,19.4,0.54,4301.9,3408.2,-673.6,-15.77,8878.3,9002.8,8980.6,8975.4,8834.4,9002.8,8834.4,62.8,0.72,9693.0,8771.5,-858.6,-8.86,9693.0,8736.2,172.2,1.99,10166.8,8186.5,-1195.3,-11.92,,
XSO,S&P/ASX Small Ords,2193.5,2224.3,2208.4,2233.7,2189.7,2231.9,2186.0,-44.0,-1.97,2233.7,2189.7,23.4,1.08,2482.1,2166.3,-297.0,-11.94,2526.6,2166.3,-19.7,-0.89,2687.1,2137.3,-450.2,-17.05,5131.3,5203.5,5166.1,5225.3,5122.4,5225.3,5122.4,54.7,1.08,5811.5,5067.7,-689.1,-11.86,5892.6,5067.7,13.6,0.27,6116.7,4915.5,-867.9,-14.49,,
XDJ,Consumer Discretionary,1240.7,1249.5,1245.9,1247.8,1228.6,1248.1,1224.1,-19.2,-1.54,1249.5,1228.6,-10.7,-0.87,1313.3,1228.6,-79.8,-6.10,1313.3,1179.0,55.9,4.77,1383.7,1140.6,-158.9,-11.45,8703.7,8765.8,8740.5,8753.7,8618.7,8765.8,8618.7,-75.6,-0.87,9212.9,8618.7,-559.9,-6.10,9212.9,8076.6,585.1,7.28,9215.8,7636.0,-618.9,-6.70,,
XSJ,Consumer Staples,7529.2,7579.8,7550.1,7605.4,7606.4,7631.3,7556.0,1.0,0.01,7606.4,7529.2,2.2,0.03,7899.1,7529.2,-143.3,-1.85,7899.1,7241.1,273.3,3.73,7909.0,7011.2,-65.3,-0.85,56304.5,56683.3,56460.9,56874.5,56882.1,56882.1,56304.5,16.3,0.03,59070.7,56304.5,-1071.2,-1.85,59070.7,52987.4,3221.1,6.00,59070.7,49979.4,2284.2,4.18,,
