Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-08-04T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jul 30,Jul 31,Aug 1,Aug 2,Aug 3,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jul 30,Jul 31,Aug 1,Aug 2,Aug 3,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4266.9,4289.4,4282.7,4290.1,4243.0,4290.1,4235.1,-47.1,-1.10,4290.1,4243.0,8.6,0.20,4290.1,4106.0,76.6,1.84,4504.8,4033.4,132.0,3.21,4504.8,3927.6,73.3,1.76,32729.0,32901.4,32850.1,32907.6,32546.2,32907.6,32546.2,66.5,0.20,32907.6,31493.8,590.3,1.85,34266.8,30869.4,1712.8,5.55,34266.8,29204.1,2011.1,6.59,,
XAF,All Australian 50,4286.8,4313.9,4310.9,4315.7,4268.1,4315.7,4258.0,-47.6,-1.10,4315.7,4268.1,17.2,0.40,4315.7,4093.8,126.9,3.06,4413.6,3983.7,219.0,5.41,4413.6,3853.0,208.5,5.14,33586.5,33798.7,33774.6,33812.3,33439.3,33812.3,33439.3,134.4,0.40,33812.3,32074.1,993.6,3.06,34251.1,31167.4,2475.5,7.99,34251.1,29181.9,3207.0,10.61,,
XAT,All Australian 200,4231.8,4255.4,4249.5,4256.1,4206.8,4256.1,4198.0,-49.3,-1.16,4256.1,4206.8,10.3,0.25,4256.1,4054.0,94.2,2.29,4426.4,3973.9,156.1,3.85,4426.4,3855.4,102.2,2.49,33027.8,33211.9,33166.0,33217.2,32832.6,33217.2,32832.6,80.3,0.25,33217.2,31640.2,735.4,2.29,34230.5,30947.5,1957.5,6.34,34230.5,29116.8,2331.3,7.64,,
XTL,S&P/ASX 20,2600.9,2617.8,2617.7,2620.2,2592.0,2620.2,2583.9,-28.2,-1.08,2620.2,2592.0,14.6,0.57,2620.2,2476.9,88.3,3.53,2659.9,2396.0,142.3,5.81,2659.9,2334.2,134.3,5.46,39993.4,40253.3,40251.3,40290.2,39856.2,40290.2,39856.2,224.3,0.57,40290.2,38087.6,1356.6,3.52,40503.5,36842.5,3111.2,8.47,40503.5,34671.5,3990.0,11.12,,
XFL,S&P/ASX 50,4322.9,4350.0,4346.5,4351.0,4303.9,4351.0,4293.6,-47.1,-1.08,4351.0,4303.9,17.4,0.41,4351.0,4128.1,128.8,3.08,4442.6,4010.1,227.4,5.58,4442.6,3876.7,229.7,5.64,33826.7,34038.7,34011.6,34046.5,33677.7,34046.5,33677.7,136.0,0.41,34046.5,32302.5,1007.2,3.08,34434.2,31334.8,2542.3,8.17,34434.2,29332.3,3362.9,11.09,,
XTO,S&P/ASX 100,3490.9,3510.7,3506.2,3510.2,3471.8,3510.2,3464.2,-38.4,-1.09,3510.7,3471.8,9.6,0.28,3510.7,3341.1,87.3,2.58,3618.2,3260.5,155.1,4.68,3618.2,3155.5,130.5,3.91,8282.2,8329.0,8318.4,8328.0,8236.9,8329.0,8236.9,22.9,0.28,8329.0,7926.8,207.3,2.58,8503.6,7719.3,555.3,7.23,8503.6,7240.1,696.1,9.23,,
XJO,S&P/ASX 200,4245.7,4269.2,4262.8,4269.5,4221.5,4269.5,4212.7,-48.0,-1.12,4269.5,4221.5,11.7,0.28,4269.5,4068.0,94.3,2.28,4435.9,3985.0,164.9,4.07,4435.9,3863.9,116.1,2.83,33087.7,33270.4,33220.9,33273.7,32899.2,33273.7,32899.2,91.6,0.28,33273.7,31702.5,735.7,2.29,34257.1,30989.0,2020.1,6.54,34257.1,29145.7,2426.6,7.96,,
XKO,S&P/ASX 300,4231.6,4254.7,4248.1,4254.9,4207.4,4254.9,4198.7,-47.5,-1.12,4254.9,4207.4,10.9,0.26,4254.9,4057.5,90.5,2.20,4432.4,3977.4,155.1,3.83,4432.4,3860.9,96.8,2.35,32883.4,33062.5,33011.4,33064.7,32695.1,33064.7,32695.1,84.8,0.26,33064.7,31530.2,704.1,2.20,34136.0,30841.3,1928.5,6.27,34136.0,29050.7,2253.9,7.40,,
XMD,S&P/ASX MidCap 50,3538.8,3539.8,3520.4,3528.4,3486.5,3528.4,3483.7,-41.9,-1.19,3539.8,3486.5,-29.0,-0.82,3598.9,3452.7,-58.6,-1.65,3950.9,3435.4,-92.4,-2.58,3961.9,3408.2,-353.0,-9.19,8764.9,8767.3,8719.2,8739.2,8635.3,8767.3,8635.3,-71.8,-0.83,8913.6,8551.6,-145.2,-1.65,9693.0,8495.1,-26.9,-0.31,9693.0,8186.5,-438.7,-4.83,,
XSO,S&P/ASX Small Ords,2110.1,2116.4,2106.0,2121.0,2091.2,2121.0,2090.1,-29.8,-1.40,2121.0,2091.2,0.3,0.02,2180.0,2044.8,-45.9,-2.15,2526.6,2044.8,-118.2,-5.35,2526.6,2044.8,-304.4,-12.71,4951.5,4966.1,4942.5,4977.6,4907.8,4977.6,4907.8,1.5,0.03,5114.1,4798.2,-105.5,-2.10,5892.6,4798.2,-201.1,-3.94,5892.6,4798.2,-546.4,-10.02,,
XDJ,Consumer Discretionary,1265.5,1263.1,1256.5,1255.3,1247.2,1255.3,1241.7,-8.1,-0.65,1265.5,1247.2,-8.4,-0.67,1265.5,1224.4,11.7,0.94,1313.3,1179.0,74.5,6.35,1313.3,1140.6,51.9,4.34,8882.0,8865.3,8819.3,8810.3,8754.0,8882.0,8754.0,-58.6,-0.66,8882.0,8593.5,82.0,0.95,9212.9,8076.6,720.4,8.97,9212.9,7636.0,793.2,9.96,,
XSJ,Consumer Staples,8228.1,8220.5,8244.7,8211.8,8156.4,8224.5,8118.8,-55.4,-0.67,8244.7,8156.4,-63.3,-0.77,8244.7,7712.1,471.8,6.14,8244.7,7241.1,823.3,11.23,8244.7,7011.2,1005.8,14.07,61647.4,61591.2,61771.9,61525.3,61110.3,61771.9,61110.3,-474.3,-0.77,61771.9,57575.9,3534.4,6.14,61771.9,52987.4,7449.3,13.88,61771.9,49979.4,10136.9,19.89,,
XEJ,Energy,12058.8,12233.8,12187.7,12371.0,12224.0,12371.0,12164.8,-147.0,-1.19,12371.0,12058.8,163.9,1.36,12371.0,11554.9,211.3,1.76,14705.5,11554.9,-519.2,-4.07,14705.5,11554.9,-827.9,-6.34,81316.0,82495.7,82184.9,83421.0,82429.8,83421.0,81316.0,1105.2,1.36,83421.0,77918.0,1425.1,1.76,98057.5,77918.0,-2543.1,-2.99,98057.5,77383.0,-3528.0,-4.10,,
