Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-09-15T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Sep 10,Sep 11,Sep 12,Sep 13,Sep 14,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Sep 10,Sep 11,Sep 12,Sep 13,Sep 14,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4358.0,4348.3,4383.1,4359.8,4410.2,4417.4,4372.9,50.4,1.16,4410.2,4348.3,61.4,1.41,4411.8,4297.7,92.8,2.15,4504.8,4033.4,299.2,7.28,4504.8,3927.6,180.3,4.26,33884.7,33814.7,34086.0,33905.9,34299.2,34299.2,33814.7,522.0,1.55,34299.2,33074.4,1153.5,3.48,34299.2,30869.4,3465.8,11.24,34299.2,29204.1,2879.9,9.17,,
XAF,All Australian 50,4366.8,4360.9,4397.3,4376.6,4419.6,4430.3,4390.9,43.0,0.98,4419.6,4360.9,59.3,1.36,4419.6,4311.5,93.9,2.17,4419.6,3983.7,370.5,9.15,4419.6,3853.0,301.1,7.31,34736.3,34690.6,34980.2,34815.3,35157.7,35157.7,34690.6,506.1,1.46,35157.7,33824.7,1233.7,3.64,35157.7,31167.4,4193.9,13.54,35157.7,29181.9,3986.7,12.79,,
XAT,All Australian 200,4315.7,4307.8,4343.3,4321.9,4372.2,4380.6,4336.2,50.3,1.16,4372.2,4307.8,64.6,1.50,4372.2,4261.1,95.3,2.23,4426.4,3973.9,321.5,7.94,4426.4,3855.4,226.9,5.47,34172.0,34111.0,34392.5,34224.0,34623.1,34623.1,34111.0,551.7,1.62,34623.1,33334.4,1212.9,3.63,34623.1,30947.5,3747.9,12.14,34623.1,29116.8,3344.8,10.69,,
XTL,S&P/ASX 20,2655.0,2650.6,2670.6,2661.2,2688.2,2695.1,2671.6,27.0,1.01,2688.2,2650.6,41.0,1.55,2688.2,2616.5,63.4,2.42,2688.2,2396.0,238.5,9.74,2688.2,2334.2,200.5,8.06,41482.2,41413.7,41725.5,41578.7,41999.9,41999.9,41413.7,687.6,1.66,41999.9,40280.5,1608.5,3.98,41999.9,36842.5,5254.8,14.30,41999.9,34671.5,5071.7,13.73,,
XFL,S&P/ASX 50,4403.2,4396.9,4433.3,4412.4,4455.1,4465.9,4426.8,42.7,0.97,4455.1,4396.9,57.6,1.31,4455.1,4346.3,94.7,2.17,4455.1,4010.1,378.6,9.29,4455.1,3876.7,316.5,7.65,34980.3,34931.1,35220.3,35054.9,35393.9,35393.9,34931.1,491.7,1.41,35393.9,34054.9,1240.2,3.63,35393.9,31334.8,4258.5,13.68,35393.9,29332.3,4101.6,13.11,,
XTO,S&P/ASX 100,3554.7,3548.6,3577.6,3560.6,3597.8,3605.5,3572.6,37.2,1.04,3597.8,3548.6,48.3,1.36,3597.8,3512.7,75.0,2.13,3618.2,3260.5,281.1,8.48,3618.2,3155.5,223.5,6.62,8558.1,8544.0,8613.7,8572.8,8662.3,8662.3,8544.0,124.8,1.46,8662.3,8343.8,297.1,3.55,8662.3,7719.3,980.7,12.77,8662.3,7240.1,926.5,11.98,,
XJO,S&P/ASX 200,4333.8,4325.8,4361.3,4339.4,4390.0,4398.3,4353.7,50.6,1.17,4390.0,4325.8,64.2,1.48,4390.0,4278.8,97.8,2.28,4435.9,3985.0,333.4,8.22,4435.9,3863.9,240.6,5.80,34260.8,34199.5,34479.9,34308.7,34708.2,34708.2,34199.5,546.5,1.60,34708.2,33404.5,1227.9,3.67,34708.2,30989.0,3829.1,12.40,34708.2,29145.7,3437.2,10.99,,
XKO,S&P/ASX 300,4320.9,4312.8,4348.4,4326.5,4377.1,4385.3,4340.7,50.6,1.17,4377.1,4312.8,65.2,1.51,4377.1,4264.0,99.1,2.32,4432.4,3977.4,324.8,8.02,4432.4,3860.9,223.1,5.37,34057.1,33995.0,34276.3,34104.4,34503.6,34503.6,33995.0,553.2,1.63,34503.6,33197.5,1230.1,3.70,34503.6,30841.3,3737.1,12.15,34503.6,29050.7,3276.4,10.49,,
XMD,S&P/ASX MidCap 50,3593.8,3579.4,3604.8,3586.0,3647.9,3647.9,3600.7,61.9,1.73,3647.9,3579.4,64.7,1.81,3652.3,3482.0,62.4,1.74,3950.9,3435.4,69.0,1.93,3950.9,3408.2,-58.3,-1.57,8997.3,8962.8,9026.5,8979.3,9134.4,9134.4,8962.8,172.9,1.93,9134.4,8705.7,254.0,2.86,9693.0,8495.1,472.3,5.45,9693.0,8186.5,263.6,2.97,,
XSO,S&P/ASX Small Ords,2225.3,2216.8,2238.1,2218.9,2277.2,2277.2,2224.5,58.3,2.63,2277.2,2216.8,72.1,3.27,2277.2,2138.5,98.3,4.51,2526.6,2044.8,67.8,3.07,2526.6,2044.8,-158.4,-6.50,5268.1,5248.2,5298.7,5255.9,5394.1,5394.1,5248.2,186.0,3.57,5394.1,5047.4,275.4,5.38,5892.6,4798.2,285.2,5.58,5892.6,4798.2,-198.1,-3.54,,
XDJ,Consumer Discretionary,1271.3,1261.7,1266.3,1261.3,1267.6,1269.9,1261.9,6.3,0.50,1271.3,1261.3,-15.0,-1.17,1283.6,1254.9,10.9,0.86,1313.3,1179.0,94.9,8.09,1313.3,1151.4,92.2,7.84,9050.8,8982.1,9014.8,8979.2,9024.4,9050.8,8979.2,-98.5,-1.08,9122.9,8831.9,192.5,2.18,9212.9,8076.6,990.9,12.33,9212.9,7866.6,1053.5,13.22,,
XSJ,Consumer Staples,8568.2,8532.4,8497.4,8436.9,8504.2,8504.2,8436.9,67.3,0.80,8568.2,8436.9,-224.3,-2.57,8800.7,8167.4,344.0,4.22,8800.7,7241.1,1171.1,15.97,8800.7,7241.1,1104.8,14.93,65667.5,65393.2,65124.8,64661.6,65177.6,65667.5,64661.6,-1129.0,-1.70,66855.0,61139.0,4038.5,6.61,66855.0,52987.4,11516.6,21.46,66855.0,52987.4,11127.3,20.59,,
XEJ,Energy,12669.2,12652.6,12756.8,12705.5,12930.5,12973.1,12715.2,225.0,1.77,12930.5,12652.6,307.5,2.44,13140.8,12413.3,248.9,1.96,14705.5,11554.9,187.3,1.47,14705.5,11554.9,-153.9,-1.18,86604.4,86513.3,87225.8,86874.9,88413.3,88413.3,86513.3,2124.8,2.46,88611.6,84766.0,2898.1,3.39,98057.5,77918.0,3440.4,4.05,98057.5,77383.0,1165.2,1.34,,
XFJ,Financials,4434.4,4424.4,4478.8,4461.2,4494.1,4512.6,4468.8,32.9,0.74,4494.1,4424.4,47.6,1.07,4511.5,4399.6,88.9,2.02,4511.5,3913.1,588.2,15.06,4511.5,3596.7,677.5,17.75,40900.8,40808.7,41311.0,41148.2,41451.6,41451.6,40808.7,443.4,1.08,41501.3,40112.1,1288.4,3.21,41501.3,34730.9,7000.7,20.32,41501.3,31086.1,8464.9,25.66,,
XXJ,Financial-x-A-REIT,5058.5,5047.7,5112.7,5094.6,5137.8,5160.6,5104.8,43.2,0.85,5137.8,5047.7,75.3,1.49,5178.3,5031.1,98.0,1.94,5178.3,4433.9,632.4,14.04,5178.3,4119.7,759.9,17.36,44752.2,44657.3,45231.8,45071.9,45453.7,45453.7,44657.3,672.2,1.50,45626.2,43907.8,1469.9,3.34,45626.2,38178.9,7343.8,19.27,45626.2,34142.5,9171.2,25.28,,
XHJ,Health Care,10191.2,10350.7,10365.7,10219.5,10142.3,10286.3,10117.7,-77.2,-0.76,10365.7,10142.3,-58.3,-0.57,10419.1,9513.9,739.0,7.86,10419.1,7756.1,2154.7,26.98,10419.1,7240.8,2838.0,38.85,62019.2,62989.8,63081.4,62191.7,61721.7,63081.4,61721.7,-354.6,-0.57,63406.0,56825.7,4896.0,8.62,63406.0,46279.9,14060.1,29.50,63406.0,43183.1,18520.6,42.87,,
XNJ,Industrials,3316.6,3292.6,3301.8,3280.5,3339.7,3340.2,3294.7,59.2,1.80,3339.7,3280.5,33.7,1.02,3437.6,3231.0,51.4,1.56,3815.2,3159.7,1.9,0.06,3815.2,3031.9,62.5,1.91,26004.1,25828.3,25900.9,25749.4,26214.5,26214.5,25749.4,335.6,1.30,26820.8,25274.6,588.9,2.30,29446.6,24610.7,714.3,2.80,29446.6,22990.4,1382.6,5.57,,
XIJ,Info Technology,597.2,596.4,589.3,582.8,582.1,586.1,581.4,-0.7,-0.12,597.2,582.1,-19.2,-3.20,601.3,554.0,36.9,6.76,601.3,482.8,83.6,16.77,601.3,462.0,97.0,19.99,3788.4,3782.9,3738.0,3696.6,3692.3,3788.4,3692.3,-115.1,-3.02,3807.4,3438.5,253.8,7.38,3807.4,2950.6,645.6,21.19,3807.4,2823.8,733.0,24.77,,
XMJ,Materials,9651.4,9648.2,9755.4,9690.9,9967.6,9979.2,9785.9,276.7,2.86,9967.6,9648.2,528.8,5.60,9967.6,9073.4,215.7,2.21,11833.2,8986.0,-525.0,-5.00,11989.3,8986.0,-2111.3,-17.48,64086.4,64065.4,64778.0,64349.7,66186.8,66186.8,64065.4,3530.1,5.63,66186.8,60231.5,2222.0,3.47,76582.8,58941.4,-1720.0,-2.53,77484.2,58941.4,-11790.0,-15.12,,
XPJ,A-REIT,933.0,930.3,939.2,933.6,935.3,941.0,933.5,1.7,0.18,939.2,930.3,-9.3,-0.98,945.8,911.9,21.8,2.39,945.8,785.8,157.8,20.29,945.8,741.7,153.9,19.69,23900.3,23831.1,24058.3,23915.1,23960.6,24058.3,23831.1,-236.1,-0.98,24229.3,23360.4,587.0,2.51,24229.3,19271.5,4892.5,25.66,24229.3,17847.3,5157.8,27.43,,
XTJ,Telecommunications,1306.4,1303.4,1313.7,1320.2,1310.8,1320.7,1307.4,-9.4,-0.71,1320.2,1303.4,3.8,0.29,1337.5,1272.2,-2.7,-0.21,1393.2,1101.4,175.3,15.43,1393.2,1030.9,260.6,24.82,14420.4,14387.2,14501.2,14572.6,14469.1,14572.6,14387.2,41.8,0.29,14681.2,13993.5,475.6,3.40,14842.3,11476.1,2849.7,24.53,14842.3,10543.2,3729.2,34.72,,
XUJ,Utilities,5055.9,5007.5,4966.3,4949.0,4927.5,4973.1,4913.8,-21.5,-0.43,5055.9,4927.5,-149.7,-2.95,5106.4,4927.5,-30.3,-0.61,5119.5,4527.2,383.1,8.43,5119.5,4178.3,512.6,11.61,48960.1,48491.8,48093.0,47925.3,47717.0,48960.1,47717.0,-1390.2,-2.83,49390.0,47107.3,341.6,0.72,49390.0,42294.1,5534.5,13.12,49390.0,38220.0,7363.3,18.25,,
XMM,Metals & Mining,3334.2,3328.7,3363.7,3336.4,3443.1,3449.3,3372.8,106.7,3.20,3443.1,3328.7,195.6,6.02,3443.1,3111.6,72.9,2.16,4252.2,3071.9,-278.6,-7.48,4305.8,3071.9,-929.5,-21.26,4549.1,4541.7,4589.4,4552.2,4697.8,4697.8,4541.7,268.4,6.06,4697.8,4243.9,157.6,3.47,5661.9,4138.3,-257.6,-5.20,5726.7,4138.3,-1117.8,-19.22,,
XGD,Gold,5642.9,5606.0,5615.0,5572.4,5952.4,5952.4,5581.4,380.0,6.82,5952.4,5572.4,508.0,9.33,5952.4,5071.8,760.2,14.64,7178.9,4550.0,-81.6,-1.35,7710.3,4550.0,-1672.6,-21.94,6474.3,6431.9,6442.2,6393.4,6829.4,6829.4,6393.4,587.2,9.41,6829.4,5812.9,878.3,14.76,8202.2,5214.8,-64.4,-0.93,8774.6,5214.8,-1848.3,-21.30,,
XJR,S&P/ASX 200 Res,4041.4,4035.4,4074.2,4045.6,4158.8,4165.5,4078.9,113.2,2.80,4158.8,4035.4,197.7,4.99,4158.8,3822.8,81.5,2.00,4925.8,3728.7,-210.5,-4.82,5010.2,3728.7,-812.6,-16.35,20641.8,20612.4,20810.9,20664.7,21243.4,21243.4,20612.4,1016.5,5.03,21243.4,19518.8,689.0,3.35,24542.0,18796.9,-525.7,-2.41,24962.6,18796.9,-3505.0,-14.16,,
,
