Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-01-19T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jan 14,Jan 15,Jan 16,Jan 17,Jan 18,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jan 14,Jan 15,Jan 16,Jan 17,Jan 18,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4745.7,4743.0,4765.0,4779.7,4794.7,4805.8,4779.7,15.0,0.31,4794.7,4743.0,60.9,1.29,4794.7,4633.2,184.2,3.99,4794.7,4712.3,130.1,2.79,4794.7,4033.4,491.7,11.43,37282.8,37261.3,37434.2,37550.0,37667.3,37667.3,37261.3,478.4,1.29,37667.3,36156.8,1510.5,4.18,37667.3,37020.3,1024.7,2.80,37667.3,30869.4,5392.8,16.71,,
XAF,All Australian 50,4758.8,4757.8,4775.2,4796.0,4809.3,4820.7,4796.0,13.3,0.28,4809.3,4757.8,59.4,1.25,4809.3,4661.1,172.9,3.73,4809.3,4733.5,111.6,2.37,4809.3,3983.7,597.8,14.19,38256.6,38248.0,38387.9,38555.1,38662.1,38662.1,38248.0,477.7,1.25,38662.1,37220.4,1441.6,3.87,38662.1,38052.6,899.9,2.38,38662.1,31167.4,6456.4,20.05,,
XAT,All Australian 200,4700.0,4697.0,4718.2,4736.4,4750.3,4762.0,4736.4,13.9,0.29,4750.3,4697.0,60.4,1.29,4750.3,4599.7,173.1,3.78,4750.3,4671.7,119.0,2.57,4750.3,3973.9,517.2,12.22,37606.4,37582.3,37752.2,37897.9,38009.2,38009.2,37582.3,483.4,1.29,38009.2,36560.9,1448.3,3.96,38009.2,37380.5,954.8,2.58,38009.2,30947.5,5743.4,17.80,,
XTL,S&P/ASX 20,2897.3,2896.9,2907.7,2923.3,2932.6,2938.4,2923.3,9.3,0.32,2932.6,2896.9,38.1,1.32,2932.6,2843.5,102.9,3.64,2932.6,2885.8,66.0,2.30,2932.6,2396.0,389.8,15.33,45744.0,45739.0,45909.0,46154.9,46302.0,46302.0,45739.0,602.4,1.32,46302.0,44676.9,1625.1,3.64,46302.0,45563.7,1042.7,2.30,46302.0,36842.5,8161.1,21.40,,
XFL,S&P/ASX 50,4795.8,4794.5,4812.1,4833.3,4847.0,4858.4,4833.3,13.7,0.28,4847.0,4794.5,60.3,1.26,4847.0,4696.6,175.5,3.76,4847.0,4770.1,114.4,2.42,4847.0,4010.1,606.8,14.31,38502.3,38491.2,38632.9,38802.6,38912.9,38912.9,38491.2,483.8,1.26,38912.9,37451.8,1461.1,3.90,38912.9,38295.2,921.2,2.42,38912.9,31334.8,6526.8,20.15,,
XTO,S&P/ASX 100,3878.4,3876.4,3892.9,3909.3,3921.2,3930.0,3909.3,11.9,0.30,3921.2,3876.4,50.4,1.30,3921.2,3793.7,146.2,3.87,3921.2,3855.7,100.5,2.63,3921.2,3260.5,462.8,13.38,9435.9,9430.9,9471.1,9510.9,9539.9,9539.9,9430.9,122.6,1.30,9539.9,9168.8,371.0,4.05,9539.9,9380.5,245.1,2.64,9539.9,7719.3,1530.1,19.10,,
XJO,S&P/ASX 200,4719.7,4716.6,4738.4,4756.6,4771.2,4782.6,4756.6,14.6,0.31,4771.2,4716.6,61.7,1.31,4771.2,4617.8,176.0,3.83,4771.2,4690.3,122.3,2.63,4771.2,3985.0,531.6,12.54,37702.4,37677.2,37852.1,37997.3,38114.0,38114.0,37677.2,493.2,1.31,38114.0,36644.6,1469.4,4.01,38114.0,37467.1,979.4,2.64,38114.0,30989.0,5840.6,18.10,,
XKO,S&P/ASX 300,4699.2,4696.2,4718.2,4735.8,4750.3,4761.8,4735.8,14.5,0.31,4750.3,4696.2,61.1,1.30,4750.3,4596.3,176.7,3.86,4750.3,4669.1,124.0,2.68,4750.3,3977.4,513.5,12.12,37423.5,37399.3,37574.7,37715.3,37830.3,37830.3,37399.3,486.1,1.30,37830.3,36360.2,1470.2,4.04,37830.3,37184.2,990.3,2.69,37830.3,30841.3,5661.8,17.60,,
XMD,S&P/ASX MidCap 50,3978.8,3968.8,4005.0,4015.6,4034.5,4040.5,4015.6,18.9,0.47,4034.5,3968.8,66.0,1.66,4034.5,3834.5,185.8,4.83,4034.5,3914.1,171.5,4.44,4034.5,3435.4,224.1,5.88,10062.0,10036.9,10128.4,10155.1,10202.9,10202.9,10036.9,166.8,1.66,10202.9,9693.2,509.7,5.26,10202.9,9898.6,433.6,4.44,10202.9,8495.1,980.6,10.63,,
XSO,S&P/ASX Small Ords,2334.2,2329.4,2352.0,2348.1,2355.5,2366.1,2348.1,7.4,0.32,2355.5,2329.4,30.2,1.30,2363.8,2252.3,85.5,3.77,2363.8,2304.9,74.8,3.28,2526.6,2044.8,-18.8,-0.79,5573.0,5561.5,5615.4,5606.2,5623.8,5623.8,5561.5,72.0,1.30,5643.5,5377.0,217.0,4.01,5643.5,5503.0,179.0,3.29,5892.6,4798.2,132.0,2.40,,
XDJ,Consumer Discretionary,1396.8,1398.3,1409.7,1421.1,1422.2,1427.1,1420.8,1.1,0.08,1422.2,1396.8,32.3,2.33,1422.2,1325.5,89.2,6.69,1422.2,1364.5,78.4,5.83,1422.2,1195.0,187.5,15.19,10024.1,10035.1,10116.9,10198.5,10206.6,10206.6,10024.1,232.1,2.33,10206.6,9512.4,646.3,6.76,10206.6,9792.3,562.3,5.83,10206.6,8298.4,1748.6,20.67,,
XSJ,Consumer Staples,9089.2,9086.6,9128.0,9223.8,9169.5,9234.6,9130.4,-54.3,-0.59,9223.8,9086.6,81.4,0.90,9223.8,8804.6,384.9,4.38,9223.8,8912.8,295.1,3.33,9223.8,7241.1,1760.5,23.76,69767.0,69747.0,70064.5,70799.9,70383.3,70799.9,69747.0,625.1,0.90,70799.9,67429.2,2954.1,4.38,70799.9,68413.1,2265.0,3.33,70799.9,52987.4,16167.0,29.82,,
XEJ,Energy,12659.2,12741.3,12741.2,12801.7,12836.2,12936.6,12801.7,34.5,0.27,12836.2,12659.2,214.1,1.70,12836.2,12328.8,550.1,4.48,12836.2,12557.5,430.2,3.47,14705.5,11554.9,-922.7,-6.71,86558.1,87119.2,87118.7,87532.7,87768.0,87768.0,86558.1,1463.3,1.70,87768.0,84007.2,3760.9,4.48,87768.0,85862.9,2941.4,3.47,98057.5,77918.0,-3977.3,-4.34,,
XFJ,Financials,4839.1,4838.1,4865.8,4891.0,4905.7,4915.7,4891.0,14.7,0.30,4905.7,4838.1,79.2,1.64,4905.7,4704.9,214.0,4.56,4905.7,4767.7,152.0,3.20,4905.7,3913.1,917.3,23.00,45468.8,45459.3,45719.8,45955.8,46094.4,46094.4,45459.3,744.0,1.64,46094.4,43964.4,2130.0,4.84,46094.4,44797.5,1435.8,3.22,46094.4,34929.4,10914.5,31.02,,
