Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5321.0 at 2013-10-18T16:56:36. Processed Saturday at 2013-10-19T23:15:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Oct 14,Oct 15,Oct 16,Oct 17,Oct 18,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Oct 14,Oct 15,Oct 16,Oct 17,Oct 18,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5206.5,5259.2,5264.4,5281.9,5321.0,5324.8,5281.9,39.1,0.74,5321.0,5206.5,92.2,1.76,5321.0,5146.2,90.7,1.73,5321.0,5321.0,656.4,14.07,5321.0,5321.0,727.5,15.84,42312.3,42740.7,42784.4,42926.6,43244.6,43244.6,42312.3,751.0,1.77,43244.6,41821.8,766.6,1.80,43244.6,37020.3,6602.0,18.02,43244.6,34178.2,7463.8,20.86,,
XAF,All Australian 50,5313.4,5366.3,5371.9,5391.6,5429.7,5435.2,5391.7,38.1,0.71,5429.7,5313.4,96.4,1.81,5429.7,5249.7,86.2,1.61,5429.7,5429.7,732.0,15.58,5429.7,5429.7,820.6,17.80,44271.5,44712.5,44759.2,44923.3,45240.6,45240.6,44271.5,803.4,1.81,45240.6,43740.8,720.9,1.62,45240.6,38052.6,7478.4,19.80,45240.6,35183.4,8542.9,23.28,,
XAT,All Australian 200,5164.3,5215.2,5219.0,5239.1,5277.9,5282.9,5239.1,38.8,0.74,5277.9,5164.3,90.3,1.74,5277.9,5104.3,83.2,1.60,5277.9,5277.9,646.6,13.96,5277.9,5277.9,725.8,15.95,42792.7,43214.0,43245.9,43412.7,43734.3,43734.3,42792.7,748.6,1.74,43734.3,42295.1,706.5,1.64,43734.3,37380.5,6679.9,18.03,43734.3,34495.2,7644.8,21.18,,
XTL,S&P/ASX 20,3269.9,3303.6,3308.4,3324.2,3348.8,3352.5,3324.2,24.6,0.74,3348.8,3269.9,67.0,2.04,3348.8,3229.1,53.7,1.63,3348.8,3348.8,482.3,16.82,3348.8,3348.8,547.2,19.53,53528.3,54079.6,54159.1,54417.7,54820.8,54820.8,53528.3,1096.4,2.04,54820.8,52861.3,879.7,1.63,54820.8,45563.7,9561.5,21.13,54820.8,42090.9,11010.8,25.13,,
XFL,S&P/ASX 50,5376.5,5430.6,5436.8,5456.7,5494.9,5500.6,5456.7,38.2,0.70,5494.9,5376.5,98.7,1.83,5494.9,5311.8,88.4,1.64,5494.9,5494.9,762.3,16.11,5494.9,5494.9,848.7,18.27,44725.2,45175.6,45227.0,45392.6,45710.8,45710.8,44725.2,821.5,1.83,45710.8,44187.7,738.7,1.64,45710.8,38295.2,7719.1,20.32,45710.8,35398.8,8766.0,23.73,,
XTO,S&P/ASX 100,4320.7,4362.4,4366.5,4383.6,4413.1,4418.2,4383.7,29.5,0.67,4413.1,4320.7,75.0,1.73,4413.1,4269.9,69.0,1.59,4413.1,4413.1,592.4,15.50,4413.1,4413.1,661.8,17.64,10886.5,10991.6,11001.9,11045.1,11119.3,11119.3,10886.5,189.0,1.73,11119.3,10758.5,175.9,1.61,11119.3,9380.5,1824.6,19.63,11119.3,8647.2,2079.1,23.00,,
XJO,S&P/ASX 200,5207.9,5259.1,5262.9,5283.1,5321.5,5326.5,5283.2,38.4,0.73,5321.5,5207.9,90.6,1.73,5321.5,5147.1,83.3,1.59,5321.5,5321.5,672.5,14.47,5321.5,5321.5,750.4,16.42,43072.1,43496.2,43527.3,43694.4,44011.7,44011.7,43072.1,749.6,1.73,44011.7,42569.6,706.3,1.63,44011.7,37467.1,6877.1,18.52,44011.7,34568.7,7827.8,21.63,,
XVI,S&P/ASX 200 VIX,14.344,15.662,14.685,14.916,12.349,12.805,12.349,-0.896,-6.76,15.662,12.349,-3.829,-23.67,16.327,12.232,-1.789,-12.65,21.700,12.232,-4636.601,-99.73,21.700,12.232,-4558.726,-99.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5163.3,5214.0,5217.1,5237.5,5275.2,5280.2,5237.6,37.7,0.72,5275.2,5163.3,88.9,1.71,5275.2,5103.8,81.2,1.56,5275.2,5275.2,648.9,14.03,5275.2,5275.2,720.3,15.81,42562.1,42980.3,43005.8,43173.7,43484.4,43484.4,42562.1,733.5,1.72,43484.4,42071.2,688.9,1.61,43484.4,37184.2,6644.4,18.04,43484.4,34326.6,7535.0,20.96,,
XMD,S&P/ASX MidCap 50,4198.5,4223.6,4220.2,4246.8,4264.3,4274.5,4245.8,17.5,0.41,4264.3,4198.5,35.7,0.84,4277.4,4158.9,49.4,1.17,4310.8,4310.8,401.3,10.39,4310.8,4310.8,469.0,12.36,10947.4,11012.9,11004.0,11073.4,11119.0,11119.0,10947.4,93.1,0.84,11139.9,10844.3,141.9,1.29,11139.9,9756.1,1349.7,13.82,11139.9,8970.1,1601.7,16.83,,
