Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-12-21T23:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Dec 16,Dec 17,Dec 18,Dec 19,Dec 20,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Dec 16,Dec 17,Dec 18,Dec 19,Dec 20,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5093.1,5106.1,5099.3,5202.0,5261.5,5261.5,5202.0,59.5,1.14,5261.5,5093.1,160.0,3.14,5350.6,5069.2,-43.1,-0.81,5437.3,4633.5,596.9,12.80,5437.3,4633.5,626.3,13.51,41640.1,41746.6,41690.8,42530.8,43017.8,43017.8,41640.1,1309.3,3.14,43738.9,41443.6,-340.3,-0.78,44191.5,37020.3,6375.1,17.40,44191.5,36493.1,6606.3,18.14,,
XAF,All Australian 50,5193.6,5209.6,5207.2,5313.7,5379.1,5379.1,5313.7,65.4,1.23,5379.1,5193.6,169.1,3.25,5474.3,5174.5,-47.5,-0.88,5561.2,4733.5,681.4,14.50,5561.2,4733.5,703.8,15.05,43589.1,43723.7,43703.9,44597.4,45146.2,45146.2,43589.1,1418.9,3.24,45945.7,43428.7,-395.2,-0.87,46381.3,38052.6,7384.0,19.55,46381.3,37683.5,7564.1,20.13,,
XAT,All Australian 200,5045.0,5058.6,5051.7,5156.6,5218.8,5218.8,5156.6,62.2,1.21,5218.8,5045.0,164.2,3.25,5313.7,5019.9,-46.7,-0.89,5399.5,4619.6,587.5,12.69,5399.5,4619.6,613.1,13.31,42079.9,42193.1,42135.2,43010.8,43529.4,43529.4,42079.9,1370.0,3.25,44316.2,41869.0,-378.8,-0.86,44742.6,37380.5,6475.1,17.47,44742.6,36940.9,6680.1,18.13,,
XTL,S&P/ASX 20,3200.2,3214.6,3213.1,3278.9,3320.6,3320.6,3278.9,41.7,1.27,3320.6,3200.2,106.4,3.31,3379.5,3193.5,-28.6,-0.86,3445.1,2885.8,454.0,15.84,3445.1,2885.8,466.4,16.34,52839.5,53078.0,53053.0,54138.8,54827.0,54827.0,52839.5,1756.0,3.31,55799.6,52728.6,-473.6,-0.86,56458.8,45563.7,9567.8,21.14,56458.8,45195.4,9763.2,21.67,,
XFL,S&P/ASX 50,5258.0,5274.0,5271.9,5380.1,5447.0,5447.0,5380.1,66.9,1.24,5447.0,5258.0,173.2,3.28,5539.5,5237.6,-43.7,-0.80,5628.4,4770.1,714.4,15.09,5628.4,4770.1,736.5,15.63,44057.7,44191.3,44173.9,45081.0,45641.1,45641.1,44057.7,1451.2,3.28,46416.0,43886.4,-362.5,-0.79,46862.3,38295.2,7649.3,20.13,46862.3,37915.4,7826.8,20.70,,
XTO,S&P/ASX 100,4226.8,4240.0,4235.8,4324.1,4376.5,4376.5,4324.1,52.4,1.21,4376.5,4226.8,141.2,3.33,4449.6,4206.2,-31.6,-0.72,4513.5,3855.7,555.8,14.55,4513.5,3855.7,574.7,15.12,10722.9,10756.5,10745.8,10969.9,11102.8,11102.8,10722.9,358.3,3.33,11286.9,10670.3,-77.5,-0.69,11384.6,9380.5,1808.1,19.45,11384.6,9273.0,1854.1,20.05,,
XJO,S&P/ASX 200,5089.6,5103.2,5096.1,5202.2,5265.2,5265.2,5202.2,63.0,1.21,5265.2,5089.6,166.8,3.27,5357.0,5062.5,-42.5,-0.80,5441.4,4656.0,616.3,13.26,5441.4,4656.0,641.6,13.88,42368.4,42481.5,42422.5,43306.3,43830.6,43830.6,42368.4,1389.0,3.27,44589.1,42141.4,-341.8,-0.77,45009.1,37467.1,6696.1,18.03,45009.1,37024.6,6898.7,18.68,,
XVI,S&P/ASX 200 VIX,15.410,14.891,14.222,12.167,10.782,12.185,10.675,-1.385,-11.38,15.410,10.782,-5.221,-32.63,18.218,10.782,-3.451,-24.25,21.700,10.782,-4638.168,-99.77,21.700,10.782,-4612.796,-99.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5044.1,5057.5,5050.4,5154.5,5215.8,5215.8,5154.5,61.3,1.19,5215.8,5044.1,163.3,3.23,5307.3,5017.5,-44.5,-0.85,5395.3,4613.2,589.5,12.74,5395.3,4613.2,615.0,13.37,41846.3,41957.5,41899.0,42762.9,43271.4,43271.4,41846.3,1355.6,3.23,44024.5,41624.4,-357.4,-0.82,44475.2,37184.2,6431.4,17.46,44475.2,36724.7,6634.4,18.11,,
XMD,S&P/ASX MidCap 50,4117.1,4133.5,4107.9,4204.7,4244.8,4244.8,4193.6,40.1,0.95,4244.8,4107.9,154.4,3.77,4322.6,4061.8,-1.1,-0.03,4326.4,3799.1,381.8,9.88,4326.4,3799.1,410.3,10.70,10769.3,10812.1,10745.1,10998.4,11103.3,11103.3,10745.1,403.8,3.77,11289.4,10621.3,14.4,0.13,11293.7,9756.1,1333.9,13.65,11293.7,9719.4,1406.0,14.50,,
XSO,S&P/ASX Small Ords,2086.8,2080.1,2067.0,2103.3,2122.3,2126.8,2094.3,19.0,0.90,2122.3,2067.0,41.1,1.97,2181.5,2065.7,-52.7,-2.42,2414.5,1888.4,-158.4,-6.94,2414.5,1888.4,-131.0,-5.81,5126.2,5110.1,5078.0,5167.9,5214.6,5214.6,5078.0,102.0,2.00,5358.8,5074.3,-126.4,-2.37,5770.0,4574.9,-230.3,-4.23,5770.0,4574.9,-164.9,-3.06,,
