Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-03-15T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5430.8,5429.3,5400.5,5429.1,5347.1,5429.1,5347.1,-82.0,-1.51,5430.8,5347.1,-129.9,-2.37,5477.0,5347.1,-19.8,-0.37,5477.0,5088.7,-6.0,-0.11,5477.0,5088.7,217.8,4.25,44979.0,44967.1,44731.3,0.0,44293.1,44979.0,44293.1,-1068.6,-2.36,45361.7,43993.5,299.6,0.68,45361.7,41681.2,448.1,1.02,45361.7,37129.1,3564.2,8.75,,
XAF,All Australian 50,5482.7,5495.4,5467.6,5492.0,5413.1,5492.0,5412.7,-78.9,-1.44,5495.4,5413.1,-124.9,-2.25,5539.1,5413.1,-44.0,-0.81,5539.1,5175.5,-44.7,-0.82,5539.1,5175.5,222.6,4.29,46661.9,46770.1,46533.2,0.0,46069.1,46770.1,46069.1,-1062.9,-2.26,47132.0,45907.2,161.8,0.35,47132.0,43505.3,190.7,0.42,47132.0,39049.4,3849.0,9.12,,
XAT,All Australian 200,5366.2,5368.7,5339.4,5368.7,5286.4,5368.7,5286.4,-82.3,-1.53,5368.7,5286.4,-130.5,-2.41,5416.9,5286.4,-27.5,-0.52,5416.9,5028.8,-18.3,-0.35,5416.9,5028.8,187.6,3.68,45368.1,45389.2,45143.9,45393.0,44698.2,45393.0,44698.2,-1098.9,-2.40,45797.1,44440.1,258.1,0.58,45797.1,42022.3,370.8,0.84,45797.1,37733.6,3440.4,8.34,,
XTL,S&P/ASX 20,3381.2,3392.2,3375.9,3391.1,3342.2,3391.1,3342.2,-48.9,-1.44,3392.2,3342.2,-73.6,-2.15,3415.9,3342.2,-19.5,-0.58,3415.9,3184.2,-36.2,-1.07,3415.9,3184.2,163.9,5.16,56543.3,56726.9,56453.6,0.0,55891.5,56726.9,55891.5,-1229.9,-2.15,57121.3,55538.7,352.8,0.64,57121.3,52576.0,108.8,0.20,57121.3,47032.2,5102.4,10.05,,
XFL,S&P/ASX 50,5549.7,5562.3,5533.7,5557.6,5477.7,5557.6,5477.0,-79.9,-1.44,5562.3,5477.7,-128.0,-2.28,5605.7,5477.7,-45.1,-0.82,5605.7,5238.2,-49.2,-0.89,5605.7,5238.2,239.4,4.57,47148.9,47256.2,47013.2,0.0,46537.1,47256.2,46537.1,-1087.9,-2.28,47625.0,46382.7,154.4,0.33,47625.0,43959.9,154.2,0.33,47625.0,39422.6,3989.6,9.38,,
XTO,S&P/ASX 100,4488.0,4493.3,4469.9,4491.2,4423.6,4491.2,4423.4,-67.6,-1.51,4493.3,4423.6,-106.4,-2.35,4530.0,4423.6,-22.3,-0.50,4530.0,4210.6,-21.6,-0.49,4530.0,4210.6,198.6,4.70,11541.8,11555.4,11495.3,0.0,11376.7,11555.4,11376.7,-273.1,-2.34,11649.7,11307.4,69.2,0.61,11649.7,10700.4,79.9,0.71,11649.7,9607.8,980.6,9.43,,
XJO,S&P/ASX 200,5411.5,5413.8,5384.2,5412.6,5329.4,5412.6,5329.4,-83.2,-1.54,5413.8,5329.4,-132.9,-2.43,5462.3,5329.4,-26.9,-0.50,5462.3,5070.3,-22.8,-0.43,5462.3,5070.3,209.2,4.08,45655.9,45675.4,45427.9,0.0,44967.8,45675.4,44967.8,-1116.6,-2.42,46084.4,44705.2,262.6,0.59,46084.4,42284.9,332.7,0.75,46084.4,37962.9,3607.6,8.72,,
XVI,S&P/ASX 200 VIX,13.847,13.096,13.800,13.190,14.762,16.053,13.190,1.572,11.92,14.762,13.096,2.565,21.03,14.762,12.197,2.092,16.51,18.372,0.147,3.200,27.68,21.700,0.147,0.492,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5364.3,5365.7,5336.8,5365.3,5283.2,5365.3,5283.2,-82.1,-1.53,5365.7,5283.2,-130.6,-2.41,5413.8,5283.2,-26.3,-0.50,5413.8,5027.6,-21.6,-0.41,5413.8,5027.6,191.8,3.77,45097.9,45109.9,44868.6,0.0,44421.0,45109.9,44421.0,-1092.2,-2.40,45513.3,44163.6,257.5,0.58,45513.3,41785.8,332.2,0.75,45513.3,37491.8,3425.4,8.36,,
XMD,S&P/ASX MidCap 50,4598.4,4562.4,4536.3,4574.5,4480.6,4574.5,4480.6,-93.9,-2.05,4598.4,4480.6,-132.5,-2.87,4613.1,4392.9,96.8,2.21,4613.1,4099.4,131.1,3.01,4613.1,4099.4,243.0,5.73,12171.8,12076.6,12007.5,0.0,11864.3,12171.8,11864.3,-346.6,-2.84,12210.9,11518.7,345.6,3.00,12210.9,10758.1,449.9,3.94,12210.9,9756.1,1055.7,9.77,,
