Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-05-17T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,May 12,May 13,May 14,May 15,May 16,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,May 12,May 13,May 14,May 15,May 16,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5429.0,5475.4,5475.9,5490.2,5458.9,5490.2,5451.7,-31.3,-0.57,5490.2,5429.0,16.9,0.31,5516.1,5419.1,46.3,0.86,5516.1,5088.7,105.8,1.98,5516.1,5088.7,299.1,5.80,45112.8,45498.5,45673.3,45792.2,45532.1,45792.2,45112.8,310.9,0.69,45792.2,44902.8,629.3,1.40,45792.2,41681.2,1687.1,3.85,45792.2,37129.1,4342.5,10.54,,
XAF,All Australian 50,5558.1,5609.2,5604.6,5619.8,5590.3,5619.8,5581.3,-29.5,-0.52,5619.8,5558.1,17.0,0.31,5650.1,5546.9,63.7,1.15,5650.1,5175.5,132.5,2.43,5650.1,5175.5,307.0,5.81,47437.2,47873.2,48070.2,48201.0,47947.7,48201.0,47437.2,381.3,0.80,48201.0,47073.7,874.1,1.86,48201.0,43505.3,2069.3,4.51,48201.0,39049.4,4721.9,10.92,,
XAT,All Australian 200,5405.3,5454.7,5453.3,5468.0,5437.2,5466.8,5429.5,-30.8,-0.56,5468.0,5405.3,19.0,0.35,5493.5,5393.0,57.8,1.08,5493.5,5028.8,132.5,2.50,5493.5,5028.8,290.0,5.63,45840.4,46259.1,46441.3,46566.2,46304.0,46566.2,45840.4,354.8,0.77,46566.2,45538.6,765.3,1.68,46566.2,42022.3,1976.6,4.46,46566.2,37733.6,4426.6,10.57,,
XTL,S&P/ASX 20,3440.8,3475.1,3471.8,3482.4,3464.4,3481.3,3458.1,-18.0,-0.52,3482.4,3440.8,13.6,0.39,3508.1,3436.8,36.6,1.07,3508.1,3184.2,86.0,2.54,3508.1,3184.2,219.7,6.77,57735.9,58310.7,58610.5,58789.3,58485.1,58789.3,57735.9,582.5,1.01,58789.3,57374.4,1110.7,1.94,58789.3,52576.0,2702.4,4.84,58789.3,47032.2,6275.4,12.02,,
XFL,S&P/ASX 50,5622.5,5674.4,5669.6,5684.8,5655.1,5684.8,5646.0,-29.7,-0.52,5684.8,5622.5,17.2,0.31,5715.6,5611.0,65.4,1.17,5715.6,5238.2,128.2,2.32,5715.6,5238.2,318.4,5.97,47902.0,48344.1,48541.7,48671.7,48417.3,48671.7,47902.0,384.6,0.80,48671.7,47527.4,889.8,1.87,48671.7,43959.9,2034.4,4.39,48671.7,39422.6,4818.1,11.05,,
XTO,S&P/ASX 100,4532.0,4573.2,4570.5,4582.4,4557.0,4581.3,4550.1,-25.4,-0.55,4582.4,4532.0,13.4,0.30,4605.4,4522.6,50.3,1.12,4605.4,4210.6,111.8,2.51,4605.4,4210.6,262.0,6.10,11689.7,11795.9,11841.4,11872.2,11806.5,11872.2,11689.7,86.9,0.74,11872.2,11602.0,204.5,1.76,11872.2,10700.4,509.8,4.51,11872.2,9607.8,1179.9,11.10,,
XJO,S&P/ASX 200,5448.4,5498.2,5496.5,5510.8,5479.0,5509.7,5471.4,-31.8,-0.58,5510.8,5448.4,18.2,0.33,5536.1,5435.8,58.7,1.08,5536.1,5070.3,126.8,2.37,5536.1,5070.3,298.2,5.76,46112.5,46533.5,46713.0,46834.9,46565.3,46834.9,46112.5,347.9,0.75,46834.9,45790.6,774.7,1.69,46834.9,42284.9,1930.2,4.32,46834.9,37962.9,4487.4,10.66,,
XVI,S&P/ASX 200 VIX,12.382,11.821,11.258,11.178,11.507,11.782,11.481,0.329,2.94,12.382,11.178,-0.512,-4.26,13.200,10.902,0.166,1.46,18.372,0.147,-0.055,-0.48,21.700,0.147,-1.385,-10.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5389.0,5437.4,5436.6,5450.5,5419.5,5450.5,5412.0,-31.0,-0.57,5450.5,5389.0,17.4,0.32,5476.4,5378.7,55.6,1.04,5476.4,5027.6,114.7,2.16,5476.4,5027.6,282.3,5.50,45447.8,45856.1,46037.2,46154.8,45892.9,46154.8,45447.8,334.7,0.73,46154.8,45154.5,738.4,1.64,46154.8,41785.8,1804.1,4.09,46154.8,37491.8,4304.3,10.35,,
XMD,S&P/ASX MidCap 50,4516.8,4552.1,4560.1,4568.8,4530.6,4568.8,4527.4,-38.2,-0.84,4568.8,4516.8,9.1,0.20,4597.1,4506.6,29.0,0.64,4613.1,4099.4,181.1,4.16,4613.1,4099.4,303.3,7.17,12009.1,12102.9,12124.1,12147.2,12047.7,12147.2,12009.1,26.2,0.22,12215.6,11951.6,96.1,0.80,12215.6,10758.1,633.3,5.55,12215.6,9756.1,1233.5,11.41,,
