Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-06-21T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jun 16,Jun 17,Jun 18,Jun 19,Jun 20,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jun 16,Jun 17,Jun 18,Jun 19,Jun 20,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5390.6,5380.7,5363.9,5446.4,5401.6,5446.4,5399.8,-44.8,-0.82,5446.4,5363.9,17.9,0.33,5506.7,5363.9,-0.1,-0.00,5516.1,5088.7,48.5,0.91,5516.1,5088.7,677.8,14.35,44983.2,44900.6,44760.9,45449.3,45075.7,45449.3,44760.9,149.9,0.33,45938.0,44760.9,18.7,0.04,45938.0,41681.2,1230.7,2.81,45938.0,37129.1,7292.3,19.30,,
XAF,All Australian 50,5525.7,5507.8,5484.2,5573.0,5520.9,5573.0,5519.4,-52.1,-0.93,5573.0,5484.2,3.3,0.06,5631.8,5484.2,-7.6,-0.14,5650.1,5175.5,63.1,1.16,5650.1,5175.5,690.7,14.30,47408.6,47255.2,47052.5,47814.1,47367.2,47814.1,47052.5,27.8,0.06,48305.8,47052.5,-52.7,-0.11,48305.8,43505.3,1488.8,3.25,48305.8,39049.4,7757.7,19.59,,
XAT,All Australian 200,5369.6,5357.8,5339.9,5424.9,5377.2,5424.9,5375.8,-47.7,-0.88,5424.9,5339.9,15.3,0.28,5484.5,5339.9,-1.3,-0.02,5493.5,5028.8,72.5,1.37,5493.5,5028.8,674.9,14.35,45748.9,45648.4,45496.1,46220.3,45814.3,46220.3,45496.1,130.3,0.29,46712.5,45496.1,8.4,0.02,46712.5,42022.3,1487.0,3.35,46712.5,37733.6,7474.3,19.49,,
XTL,S&P/ASX 20,3421.9,3408.4,3390.9,3447.4,3410.6,3447.4,3409.9,-36.8,-1.07,3447.4,3390.9,-6.1,-0.18,3490.3,3390.9,-14.8,-0.43,3508.1,3184.2,32.2,0.95,3508.1,3184.2,448.2,15.13,57768.8,57541.0,57244.2,58198.4,57578.1,58198.4,57244.2,-102.2,-0.18,58922.5,57244.2,-249.0,-0.43,58922.5,52576.0,1795.5,3.22,58922.5,47032.2,9782.8,20.47,,
XFL,S&P/ASX 50,5589.6,5571.3,5547.6,5637.3,5584.6,5637.3,5583.0,-52.7,-0.93,5637.3,5547.6,2.9,0.05,5697.9,5547.6,-7.8,-0.14,5715.6,5238.2,57.7,1.04,5715.6,5238.2,700.5,14.34,47871.4,47715.2,47512.2,48280.3,47828.9,48280.3,47512.2,24.7,0.05,48786.8,47512.2,-54.4,-0.11,48786.8,43959.9,1446.0,3.12,48786.8,39422.6,7836.0,19.59,,
XTO,S&P/ASX 100,4505.5,4494.3,4477.5,4549.3,4506.6,4549.3,4505.3,-42.7,-0.94,4549.3,4477.5,7.2,0.16,4596.2,4477.5,-2.3,-0.05,4605.4,4210.6,61.4,1.38,4605.4,4210.6,574.3,14.61,11678.4,11649.3,11605.9,11792.0,11681.4,11792.0,11605.9,18.7,0.16,11909.6,11605.9,-1.1,-0.01,11909.6,10700.4,384.6,3.40,11909.6,9607.8,1930.6,19.80,,
XJO,S&P/ASX 200,5412.3,5400.7,5382.7,5468.2,5419.5,5468.2,5418.0,-48.7,-0.89,5468.2,5382.7,14.4,0.27,5527.2,5382.7,-0.9,-0.02,5536.1,5070.3,67.3,1.26,5536.1,5070.3,680.7,14.36,46019.0,45920.0,45767.4,46494.2,46079.9,46494.2,45767.4,122.6,0.27,46979.9,45767.4,11.4,0.02,46979.9,42284.9,1444.8,3.24,46979.9,37962.9,7509.7,19.47,,
XVI,S&P/ASX 200 VIX,11.519,11.609,11.443,10.226,10.412,10.673,10.246,0.186,1.82,11.609,10.226,-1.232,-10.58,12.702,10.226,-2.116,-16.89,18.372,0.147,-1.150,-9.95,21.700,0.147,-9.805,-48.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5353.6,5342.0,5324.6,5408.7,5362.4,5408.7,5361.0,-46.3,-0.86,5408.7,5324.6,15.7,0.29,5466.4,5324.6,1.4,0.03,5476.4,5027.6,57.6,1.09,5476.4,5027.6,664.8,14.15,45355.2,45257.0,45109.5,45822.2,45430.1,45822.2,45109.5,133.3,0.29,46295.7,45109.5,30.3,0.07,46295.7,41785.8,1341.3,3.04,46295.7,37491.8,7319.9,19.21,,
XMD,S&P/ASX MidCap 50,4490.8,4510.6,4514.8,4582.1,4537.7,4582.1,4533.9,-44.4,-0.97,4582.1,4490.8,50.4,1.12,4622.0,4487.3,33.6,0.75,4622.0,4099.4,188.2,4.33,4622.0,4099.4,654.4,16.85,11962.1,12014.7,12026.2,12205.2,12087.0,12205.2,11962.1,134.2,1.12,12303.9,11950.0,109.8,0.92,12303.9,10758.1,672.6,5.89,12303.9,9769.3,2136.3,21.47,,
