Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-08-29T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Aug 24,Aug 25,Aug 26,Aug 27,Aug 28,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Aug 24,Aug 25,Aug 26,Aug 27,Aug 28,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5014.2,5143.8,5178.9,5242.6,5274.7,5314.5,5241.5,32.1,0.61,5274.7,5014.2,49.9,0.95,5681.9,5014.2,-296.3,-5.32,5954.8,5014.2,-113.9,-2.11,5954.8,5014.2,-349.9,-6.22,43952.0,45201.6,45555.8,46126.7,46420.8,46420.8,43952.0,623.0,1.36,49591.0,43952.0,-2202.7,-4.53,51568.0,43952.0,373.9,0.81,51568.0,43681.7,-962.3,-2.03,,
XAF,All Australian 50,5053.0,5192.5,5231.4,5291.9,5321.9,5365.2,5284.2,30.0,0.57,5321.9,5053.0,47.8,0.91,5791.2,5053.0,-355.8,-6.27,6081.0,5053.0,-176.3,-3.21,6081.0,5053.0,-396.4,-6.93,45714.6,47133.6,47537.1,48093.4,48379.1,48379.1,45714.6,663.9,1.39,52124.7,45714.6,-2723.9,-5.33,54222.3,45714.6,12.7,0.03,54222.3,45714.6,-1199.7,-2.42,,
XAT,All Australian 200,4953.3,5089.0,5124.1,5184.4,5215.1,5256.4,5180.3,30.7,0.59,5215.1,4953.3,50.0,0.97,5646.3,4953.3,-318.6,-5.76,5926.9,4953.3,-148.0,-2.76,5926.9,4953.3,-369.5,-6.62,44404.7,45749.7,46111.0,46661.5,46950.8,46950.8,44404.7,646.6,1.40,50378.9,44404.7,-2423.7,-4.91,52442.3,44404.7,130.0,0.28,52442.3,44281.4,-1109.1,-2.31,,
XTL,S&P/ASX 20,3049.9,3139.3,3166.7,3203.4,3224.8,3250.4,3199.5,21.4,0.67,3224.8,3049.9,34.0,1.07,3534.5,3049.9,-238.4,-6.88,3760.5,3049.9,-174.0,-5.12,3760.5,3049.9,-303.4,-8.60,54356.5,56175.1,56728.1,57385.3,57767.3,57767.3,54356.5,901.7,1.59,62582.1,54356.5,-3552.9,-5.79,65985.5,54356.5,-988.5,-1.68,65985.5,54356.5,-2401.2,-3.99,,
XFL,S&P/ASX 50,5105.8,5247.2,5286.1,5347.6,5378.3,5422.2,5340.1,30.7,0.57,5378.3,5105.8,47.8,0.90,5855.6,5105.8,-361.7,-6.30,6152.9,5105.8,-185.1,-3.33,6152.9,5105.8,-406.2,-7.02,46111.2,47545.8,47950.0,48514.0,48805.6,48805.6,46111.2,665.3,1.38,52612.0,46111.2,-2766.9,-5.37,54764.7,46111.2,-44.9,-0.09,54764.7,46111.2,-1256.9,-2.51,,
XTO,S&P/ASX 100,4171.5,4286.6,4317.8,4367.8,4391.6,4427.5,4362.1,23.8,0.54,4391.6,4171.5,40.8,0.94,4762.1,4171.5,-273.7,-5.87,4996.2,4171.5,-121.3,-2.69,4996.2,4171.5,-280.2,-6.00,11386.2,11735.2,11833.2,11971.5,12039.9,12039.9,11386.2,164.1,1.38,12934.0,11386.2,-631.4,-4.98,13449.8,11386.2,51.1,0.43,13449.8,11295.6,-194.3,-1.59,,
XJO,S&P/ASX 200,5001.3,5137.3,5172.8,5233.3,5263.6,5305.0,5228.6,30.3,0.58,5263.6,5001.3,49.0,0.94,5699.2,5001.3,-321.1,-5.75,5982.7,5001.3,-147.5,-2.73,5982.7,5001.3,-362.3,-6.44,44738.2,46082.8,46448.2,47000.3,47284.4,47284.4,44738.2,637.9,1.37,50741.7,44738.2,-2438.1,-4.90,52822.2,44738.2,145.1,0.31,52822.2,44533.8,-1030.9,-2.13,,
XVI,S&P/ASX 200 VIX,27.562,29.057,27.720,23.674,23.345,23.743,22.499,-0.329,-1.39,29.057,23.345,2.383,11.37,29.057,14.549,7.005,42.87,29.057,0.171,8.764,60.11,29.057,0.171,12.518,115.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,4950.1,5082.6,5117.0,5177.2,5207.9,5248.2,5173.3,30.7,0.59,5207.9,4950.1,47.3,0.92,5633.3,4950.1,-313.6,-5.68,5912.7,4950.1,-141.0,-2.64,5912.7,4950.1,-361.9,-6.50,44107.5,45412.2,45764.6,46311.2,46597.9,46597.9,44107.5,615.1,1.34,49962.4,44107.5,-2373.3,-4.85,52008.8,44107.5,172.3,0.37,52008.8,43915.8,-1058.3,-2.22,,
XMD,S&P/ASX MidCap 50,4637.4,4762.4,4792.1,4845.5,4861.1,4901.5,4838.1,15.6,0.32,4861.1,4637.4,60.0,1.25,5119.8,4637.4,-119.0,-2.39,5363.8,4637.4,113.6,2.39,5363.8,4637.4,122.8,2.59,12865.0,13213.8,13308.6,13457.0,13503.0,13503.0,12865.0,183.8,1.38,14153.0,12865.0,-263.8,-1.92,14759.9,12623.2,583.5,4.52,14759.9,11578.7,777.2,6.11,,
XSO,S&P/ASX Small Ords,1917.6,1950.4,1951.8,1979.1,2001.9,2007.4,1979.1,22.8,1.15,2001.9,1917.6,13.4,0.67,2104.2,1917.6,-71.3,-3.44,2263.3,1917.6,-42.5,-2.08,2263.3,1917.6,-279.7,-12.26,4957.7,5042.6,5046.7,5122.1,5182.7,5182.7,4957.7,42.3,0.82,5435.2,4957.7,-172.2,-3.22,5823.6,4957.7,-14.8,-0.29,5823.6,4882.3,-538.0,-9.40,,
XDJ,Consumer Discretionary,1749.2,1783.3,1786.0,1812.5,1818.3,1837.5,1809.1,5.8,0.32,1818.3,1749.2,5.4,0.30,1919.9,1749.2,-37.4,-2.02,2021.0,1713.3,65.0,3.71,2021.0,1713.3,-31.8,-1.72,13724.1,13996.0,14025.2,14236.0,14296.6,14296.6,13724.1,73.2,0.51,15008.4,13724.1,-210.2,-1.45,15772.9,13162.6,826.8,6.14,15772.9,12935.8,262.0,1.87,,
XSJ,Consumer Staples,8302.0,8467.3,8524.8,8654.3,8747.6,8789.4,8649.0,93.3,1.08,8747.6,8302.0,202.7,2.37,9109.4,8302.0,-36.3,-0.41,10122.8,8302.0,-425.5,-4.64,10122.8,8302.0,-1304.8,-12.98,70608.3,72986.1,73565.7,74702.5,75507.7,75507.7,70608.3,2834.2,3.90,77474.9,70608.3,801.3,1.07,85291.5,70608.3,-1001.1,-1.31,85291.5,70608.3,-7539.4,-9.08,,
XEJ,Energy,8606.0,8660.5,8903.9,9044.5,9376.8,9501.9,9044.5,332.3,3.67,9376.8,8606.0,206.9,2.26,10996.4,8606.0,-1333.0,-12.45,12090.7,8606.0,-2224.6,-19.18,12090.7,8606.0,-5626.9,-37.50,64339.7,65069.3,67839.8,68911.0,71442.7,71442.7,64339.7,2887.5,4.21,82210.8,64339.7,-8625.6,-10.77,90391.5,64339.7,-12861.6,-15.26,111140.9,64339.7,-37353.9,-34.33,,
