Weekly Roundup - Overseas Indices,,,,,,
 XAO 4656.3 at 16:34 19/2/2010  Report at 19:06 Friday 19/2/2010. Processed 14:53 Sunday 21/2/2010.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,15-Feb,16-Feb,17-Feb,18-Feb,19-Feb,
,,,,,,
,,,,,,
NEW YORK:,,,,,,
"""DJ Indust         ",Closed   ,"10,268.81","10,309.24","10,392.90","10,402.35",""""
"""DJ Opening    ",        ,"10,100.81","10,261.48","10,309.39","10,387.77",""""
"""Day's High      ",        ,"10,279.54","10,320.13","10,406.58","10,438.55",""""
"""Day's low         ",        ,"10,100.81","10,261.48","10,294.51","10,339.17",""""
Nasdaq Comp       ,       ,2214.19,2226.29,2241.71,2243.87,
S&P 500 Index     ,       ,1094.87,1099.51,1106.75,1109.17,
"""Wilshire 5000    ",       ,"11,344.95","11,398.25","11,469.99","11,499.54",""""
"""NYSE volume ('000)      ",         ,"1,081,301","1,020,511","96,039","1,120,899",""""
NYSE rises        ,       ,2526,2049,2107,1793,
NYSE falls        ,       ,511,978,929,1227,
Transport         ,       ,3997.86,4007.62,4005.89,4060.52,
NYSE Comp         ,       ,7013.35,7035.2,7080.38,7083.25,
AMEX Index        ,       ,1857.24,1864.86,1869.38,1880.21,
CANADA:,,,,,,
"""DJ S&P TSX Index     ",Closed     ,"11,586.37","11,635.49","11,694.84","11,709.29",""""
LONDON:,,,,,,
FT 100 Index      ,5167.47,5244.06,5276.64,5325.09,5358.17,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index  ,2683.83,2720.77,2762.25,2778.3,2793.37,
GERMANY:,,,,,,
German Xetra Dax  ,5511.1,5592.12,5648.34,5680.41,5722.05,
FRANCE:,,,,,,
CAC Index         ,3609.22,3669.04,3725.21,3747.83,3769.54,
SWITZERLAND:,,,,,,
Swiss Market Index  ,6440.76,6497.66,6567.6,6637.29,6709.68,
JOHANNESBURG:,,,,,,
"""All Share Index   ","26,701.36","26,939.80","27,192.58","27,280.58","27,069.13",""""
JSE Africa Gold Index        ,2286.82,2333.5,2310.89,2264.89,2226.24,
ITALY:,,,,,,
"""FTSE Italia All Share Index ","21,632.05","21,798.78","22,139.49","22,181.89","22,259",""""
SPAIN:,,,,,,
"""IBEX 35  ","10,293.60","10,393.90","10,498.60","10,574.20","10,676.70",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital   ,3059.55,3087.61,3111.06,3101.77,3107.09,
NZ Top 10 Capital   ,817.91,824.44,832.51,831.42,834.62,
TOKYO:,,,,,,
"""Nikkei 225 Index  ","10,013.30","10,034.25","10,306.83","10,335.69","10,123.58",""""
"""Nikkei high       ","10,119.47","10,062.27","10,306.83","10,340.38","10,354.42",""""
"""Nikkei low        ","10,012.53","10,019.43","10,150.24","10,285.05","10,123.58",""""
Nikkei 300 Index  ,179.96,180.39,184.47,184.39,181.12,
Topix Index       ,883.47,885.17,904.63,904.73,889.08,
Nikkei vol (mil)  ,1680,1416,1756,1658,1833,
HONG KONG:,,,,,,
"""Hang Seng Index    ",Closed   ,closed     ,"20,534.01","20,422.15","19,894.02",""""
 CHINA:,,,,,,
Shanghai A Index  ,Closed    ,closed    ,closed   ,closed   ,closed   ,
KOREA:,,,,,,
Seoul KOSPI     ,Closed  ,1601.05,1627.43,1621.19,1593.9,
 INDIA:,,,,,,
"""BSE Sensex Index   ","16,038.35","16,226.68","16,428.91","16,327.84","16,191.63",""""
SINGAPORE:,,,,,,
Straits Times Index  ,Closed  ,2758.9,2794.06,2769.19,2757.14,
MALAYSIA:,,,,,,
KL Composite Index   ,Closed  ,closed  ,1259.07,1259,1257.67,
INDONESIA:,,,,,,
JSX Composite Index      ,2517.46,2558.51,2581.34,2560.03,2554.38,
THAILAND:,,,,,,
Bangkok SET Index         ,689.09,692.73,697.49,695.66,700.44,
PHILIPPINES:,,,,,,
Manila PSE Index         ,2963.24,2967.71,3018.67,2999.94,2978.53,
TAIWAN:,,,,,,
TAIEX Index   ,Closed  ,closed  ,closed  ,closed  ,closed  ,
WORLD:,,,,,,
MSCI World        ,1107.4,1124.9,1133.8,1135.9,1135,
Comm Research Index    ,267.92,274.77,273.84,276.15,277.8,
Moody's Comm Index   ,4512.73,4504.42,4606.48,4605.33,4595.06,
LME Index        ,3178.1,3311.1,3296.7,3336,3398.5,
