Weekly Roundup - Overseas Indices,,,,,,
XAO 4404.1 at 16:38 27/8/2010  Report at 19:06 Friday 27/8/2010!. Processed 18:46 Sunday 29/8/2010.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 ,23-Aug,24-Aug,25-Aug,26-Aug,27-Aug,
NEW YORK:,,,,,,
"""DJ Indust","10,174.41","10,040.45","10,060.06",9985.81,"10,150.65",""""
"""DJ Opening","10,215.51","10,173.05","10,040.15","10,059.90",9982.18,""""
"""Day's High","10,304.70","10,173.05","10,097.40","10,104.71","10,159.88",""""
"""Day's low","10,170.29",9991.18,9937.98,9968.1,9936.62,""""
Nasdaq Comp,2159.63,2123.76,2141.54,2118.69,2153.63,
S&P 500 Index,1067.36,1051.87,1055.33,1047.22,1064.59,
"""Wilshire 5000","11,094.37","10,933.08","10,984.62","10,899.73","11,097.61",""""
"""NYSE volume ('000)","86,436","1,174,151","1,114,157","1,044,432","1,089,707",""""
NYSE rises,1105,730,1832,1064,2608,
NYSE falls,1889,2286,1167,1928,392,
Transport,4160.79,4082.51,4091.82,4093.5,4184.9,
NYSE Comp,6784.97,6681.03,6696.12,6665.26,6794.91,
AMEX Index,1858.69,1846.82,1855.84,1861.82,1893.74,
CANADA:,,,,,,
"""DJ S&P TSX Index","11,718.63","11,557.35","11,648.12","11,653.18","11,879.72",""""
LONDON:,,,,,,
FTSE 100 Index,5234.84,5155.95,5109.4,5155.84,5201.56,
EUROPE:,,,,,,
DJ Euro Stoxx 50 Index,2660.84,2614.54,2587.4,2606.89,2630.35,
GERMANY:,,,,,,
German Xetra Dax,6010.91,5935.44,5899.5,5912.58,5951.17,
FRANCE:,,,,,,
CAC Index,3553.23,3491.11,3450.19,3475.03,3507.44,
SWITZERLAND:,,,,,,
Swiss Market Index,6209.45,6144.14,6098.59,6131.76,6183.14,
 JOHANNESBURG:,,,,,,
"""FTSE JSE All Share Index","27,361.70","27,069.73","26,470.47","26,873.08","26,738.91",""""
JSE Africa Gold Index,2460.12,2445.58,2424.52,2465.27,2453.85,
ITALY:,,,,,,
"""FTSE Italia All Share Index","20,542.95","20,218.51","20,007.47","20,273.50","20,375.60","1"""
SPAIN:,,,,,,
"""IBEX 35","10,221.20","10,052.30",9894,"10,004.40","10,148.20",""""
NEW ZEALAND:,,,,,,
NZ Top 50 Capital,3016.78,3024.64,3006.06,3018.25,3007.44,
NZ Top 10 Capital,797.34,800.3,794.96,798.66,795.78,
TOKYO:,,,,,,
Nikkei 225 Index,9116.69,8995.14,8845.39,8906.48,8991.06,
Nikkei high,9171.42,9069.22,8949.41,8910.62,9021.75,
Nikkei low,9090.96,8983.52,8807.41,8834.09,8810.46,
Nikkei 300 Index,168.11,166.59,164.3,165.24,166.66,
Topix Index,824.79,817.73,807.31,811.79,819.62,
Nikkei vol (mil),1283,1402,1784,1416,1698,
HONG KONG:,,,,,,
"""Hang Seng Index","20,889.01","20,658.71","20,634.98","20,612.06","20,597.35",""""
 CHINA:,,,,,,
Shanghai A Index,2766.04,2776.85,2720.39,2727.53,2735.2,
KOREA:,,,,,,
Seoul KOSPI,1767.71,1760.53,1734.79,1729.76,1729.56,
TAIWAN:,,,,,,
TAIEX Index,7975.93,7940.64,7736.98,7689.74,7722.91,
SINGAPORE:,,,,,,
Straits Times Index,2925.99,2922.85,2926.55,2925.87,2938.74,
MALAYSIA:,,,,,,
FTSE Bursa Malaysia KLCI,1403.15,1405.77,1396.97,1408,1411.05,
INDONESIA:,,,,,,
JSX Composite Index,3128.73,3114.94,3138.91,3145.14,3104.73,
 INDIA:,,,,,,
"""BSE Sensex Index","18,409.35","18,311.59","18,179.64","18,226.35","17,998.41",""""
THAILAND:,,,,,,
FTSE SET Index,894.78,890.45,884.51,886.1,900.37,
PHILIPPINES:,,,,,,
Manila PSE Index,3613.37,3530.49,3554.15,3595.58,3592.86,
WORLD:,,,,,,
MSCI World,1093.24,1079.04,1073.83,1077.34,1089.24,
Comm Research Index,265.91,262.46,261.69,263.93,267.15,
Moody's Comm Index,5257.67,5272.36,5299.93,5198.89,5228.23,
LME Index,3302,3250.5,3218.3,3303.1,3373.5,
