Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4479.0 at 16:37 28/5/2010  Report at 19:06 Friday 28/5/2010. Processed 07:19 Saturday 29/5/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.021,-,0.018,0.021,-,-,-,0.021,0.018,0.038,0.009,-,,-,-,-,-0.32,-,-0.1,-4.55,
Advanced Engine,ACE,0.037,-,0.03,0.04,-,-,-,0.037,0.037,0.093,0.031,-,,-,-0.05,-,-2.58,-,-,-,
Auto Tech Ltd,ATJ,0.054,-,0.05,0.055,1365,0.055,0.054,0.056,0.05,0.092,0.028,-,,-,0.02,-,-4.29,-,-0.1,-1.82,
  opt jun11,ATJO,0.01,-,0.004,-,-,-,-,0.01,0.01,0.011,0.01,-,,-,-,-,-,-,-,-,
Berklee Ltd,BER,0.44,-,0.44,0.495,-,-,-,0.45,0.44,0.737,0.35,-,,-,1.23,-,19.64,2.2,2.0,4.76,
Datadot Tech,DDT,0.037,0.1,0.036,0.037,8144,0.037,0.035,0.039,0.035,0.105,0.015,-,,-,0.01,-,-0.86,-,-,-,
Fleetwood Corp,FWD,8.70,29,8.60,8.70,1105,8.70,8.50,8.80,8.20,9.74,5.30,66,f,0.98,2.12,7.59,64.7,13.4,36.0,4.32,
Orbital Corp Ltd,OEC,0.031,-,0.03,0.031,5300,0.031,0.031,0.034,0.03,0.10,0.03,-,,-,0.02,-,-0.51,-,-0.1,-3.13,
Schaffer Corp Ltd,SFC,5.50,-10,5.40,5.60,15,5.50,5.49,5.66,5.28,6.73,4.10,40,f,1.89,3.62,7.27,75.7,7.3,-26.0,-4.51,
Supply Net,SNL,0.34,-,0.335,0.38,-,-,-,0.34,0.32,0.51,0.24,3,f,1.91,0.40,8.82,5.74,5.9,2.5,7.94,
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.01,-0.2,0.009,0.01,9100,0.012,0.01,0.012,0.01,0.058,0.01,-,,-,0.12,-,-7.66,-,-0.2,-16.67,
Atlantic Ltd,ATI,0.043,0.2,0.042,0.044,33400,0.044,0.041,0.046,0.038,0.07,0.01,-,,-,0.01,-,-0.12,-,0.1,2.38,
  opt dec11,ATIO,0.034,0.2,0.034,0.04,1500,0.034,0.034,0.035,0.03,0.058,0.003,-,,-,-,-,-,-,0.4,13.33,
Atlas Southsea Pearl,ATP,0.10,-,0.10,0.12,990,0.10,0.10,0.10,0.10,0.145,0.085,-,,-,0.13,-,-6.75,-,-,-,
Billabong Intl,BBG,10.12,17,10.11,10.12,14277,10.21,10.05,10.31,9.90,12.32,7.77,36,p,1.59,0.84,3.56,57.2,17.7,-3.0,-0.3,
BKM Management,BKM,0.005,-,0.006,0.009,-,-,-,0.007,0.005,0.013,0.003,-,,-,-,-,-0.2,-,-0.2,-28.57,
Fisher & Paykel App,FPA,0.44,-1,0.44,0.45,8347,0.455,0.44,0.49,0.44,0.725,0.435,-,,-,-,-,-38.56,-,-2.0,-4.35,
Funtastic Ltd,FUN,0.23,0.5,0.23,0.235,3041,0.23,0.22,0.23,0.22,0.30,0.125,-,,-,0.01,-,-25,-,-0.5,-2.13,
