Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4414.5 at 16:35 9/7/2010  Report at 19:06 Friday 9/7/2010. Processed 20:49 Friday 9/7/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobiles & Components,,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.018,-,0.018,0.022,-,-,-,0.018,0.017,0.038,0.009,-,,-,-,-,-0.32,-,0.1,5.88,
Advanced Engine,ACE,0.035,-,0.03,0.035,-,-,-,0.035,0.035,0.093,0.032,-,,-,-0.05,-,-2.58,-,-,-,
Auto Tech Ltd,ATJ,0.055,0.5,0.05,0.055,2836,0.055,0.05,0.055,0.05,0.092,0.028,-,,-,0.02,-,-4.29,-,-,-,
  opt jun11,ATJO,0.004,-,0.003,0.01,-,-,-,0.005,0.004,0.011,0.004,-,,-,-,-,-,-,-0.1,-20,
Berklee Ltd,BER,0.42,-,0.435,0.44,-,-,-,0.42,0.42,0.737,0.35,-,,-,1.23,-,19.64,2.1,-,-,
Datadot Tech,DDT,0.029,-,0.029,0.03,1350,0.03,0.029,0.03,0.026,0.105,0.015,-,,-,0.01,-,-0.86,-,-,-,
Fleetwood Corp,FWD,9.53,-4,9.51,9.63,1745,9.67,9.51,9.67,9.18,10.00,5.77,66,f,0.98,2.12,6.93,64.7,14.7,33.0,3.59,
Orbital Corp Ltd,OEC,0.029,0.1,0.029,0.031,805,0.031,0.029,0.032,0.028,0.08,0.025,-,,-,0.02,-,-0.51,-,0.1,3.57,
Schaffer Corp Ltd,SFC,4.83,16,4.83,5.04,61,5.00,4.83,5.00,4.67,6.73,4.35,40,f,1.89,3.62,8.28,75.7,6.4,16.0,3.43,
Supply Net,SNL,0.37,-,0.32,0.37,-,-,-,0.38,0.32,0.51,0.24,3,f,1.91,0.40,8.11,5.74,6.4,5.0,15.62,
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.014,-,0.014,0.018,-,-,-,0.014,0.014,0.058,0.008,-,,-,0.12,-,-7.66,-,-,-,
Atlantic Ltd,ATI,0.043,0.1,0.043,0.044,54485,0.045,0.042,0.045,0.038,0.07,0.01,-,,-,0.01,-,-0.12,-,0.3,7.5,
  opt dec11,ATIO,0.03,-,0.03,0.034,100,0.03,0.03,0.03,0.028,0.058,0.004,-,,-,-,-,-,-,-0.1,-3.23,
Atlas Southsea Pearl,ATP,0.105,-0.5,0.105,0.115,100,0.105,0.105,0.115,0.105,0.145,0.085,-,,-,0.13,-,-6.75,-,-1.0,-8.7,
Billabong Intl,BBG,9.10,9,9.02,9.15,26994,9.30,8.96,9.30,8.42,12.32,7.93,36,p,1.59,0.84,3.96,57.2,15.9,46.0,5.32,
BKM Management,BKM,0.005,-,0.005,0.008,-,-,-,0.006,0.005,0.013,0.003,-,,-,-,-,-0.2,-,-0.1,-16.67,
Fisher & Paykel App,FPA,0.44,-,0.435,0.45,1000,0.44,0.44,0.45,0.43,0.715,0.425,-,,-,-,-,-10.54,-,0.5,1.15,
Funtastic Ltd,FUN,0.21,-,0.21,0.215,321,0.215,0.21,0.215,0.20,0.30,0.13,-,,-,0.01,-,-25,-,1.0,5,
Gale Pacific Ltd,GAP,0.16,-,0.16,0.225,-,-,-,0.16,0.16,0.205,0.054,-,,-,0.24,-,3.11,5.1,-,-,
Gazal Corp,GZL,1.59,-,1.59,1.70,34,1.59,1.59,1.60,1.59,1.62,0.93,8,f,1.29,0.69,5.03,10.3,15.4,-,-,
GLG Corp Ltd,GLE,0.28,-,0.28,0.365,-,-,-,0.28,0.28,0.40,0.14,-,,-,0.49,-,7.78,3.6,-,-,
Globe Intl,GLB,0.42,-,0.42,0.50,19,0.42,0.42,0.445,0.415,0.525,0.195,-,,-,0.70,-,3.12,13.5,0.5,1.2,
GUD Hldgs,GUD,8.87,15,8.60,8.87,1464,8.87,8.71,8.87,8.40,10.62,6.49,61,f,1.18,1.09,6.88,71.73,12.4,26.0,3.02,
Headline Grp Ltd,HLD,0.29,-,0.275,0.29,-,-,-,0.29,0.28,0.35,0.10,-,,-,0.08,-,-1.79,-,-,-,
Island Sky Aust,ISK,0.028,-,0.028,0.035,1000,0.028,0.028,0.034,0.027,0.287,0.027,-,,-,0.03,-,-2.07,-,-0.5,-15.15,
  opt nov11,ISKO,0.025,-,-,0.025,-,-,-,0.025,0.025,0.025,0.025,-,,-,-,-,-,-,-,-,
Kresta Hldgs,KRS,0.36,1,0.36,0.365,320,0.36,0.35,0.36,0.35,0.46,0.135,3,f,1.52,0.18,8.33,4.57,7.9,1.0,2.86,
McPherson's Ltd,MCP,2.55,4,2.55,2.56,494,2.57,2.51,2.60,2.47,3.48,1.66,10,f,2.96,0.02,3.92,29.6,8.6,4.0,1.59,
Merchant House,MHI,0.17,-,0.165,0.175,340,0.17,0.17,0.17,0.165,0.18,0.105,1.5,,2.84,0.25,8.82,4.26,4.0,0.5,3.03,
Mesbon China Nylon,MES,0.12,1,0.11,0.12,260,0.12,0.11,0.12,0.105,0.14,0.061,0.5,,4.08,0.32,4.17,2.04,5.9,1.5,14.29,
Photo-Me Aust,PTO,0.005,-,0.003,0.005,-,-,-,0.005,0.005,0.009,0.004,-,,-,0.01,-,-2.08,-,-,-,
  opt jul11,PTOO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.001,0.001,-,,-,-,-,-,-,-,-,
Quantum Energy,QTM,0.077,-,0.07,0.08,-,-,-,0.077,0.07,0.42,0.063,-,,-,0.03,-,2.41,3.2,0.1,1.32,
Shenhua Ltd,SHU,0.495,-,0.35,0.49,-,-,-,0.495,0.49,0.55,0.45,-,,-,-,-,5.2,9.5,-,-,
Tamawood Ltd,TWD,2.45,-,2.45,2.49,11,2.45,2.44,2.45,2.41,2.76,1.765,21,f,1.39,0.91,8.57,29.22,8.4,4.0,1.66,
Thomas Bryson Int,TBI,0.35,-,-,0.30,-,-,-,0.35,0.35,0.53,0.35,1,,-,-,2.86,-2.26,-,-,-,
Treyo Leisure,TYO,0.335,-,-,0.34,-,-,-,0.335,0.335,0.35,0.23,-,,-,0.11,-,2.3,14.6,-,-,
TWT Grp Ltd,TWT,0.05,-,0.041,0.14,-,-,-,0.05,0.05,0.175,0.05,-,,-,0.31,-,-5.24,-,-,-,
Undercoverwear,UCW,0.21,-,0.15,0.21,-,-,-,0.21,0.205,0.35,0.19,2.25,f,-,0.09,10.71,-5.65,-,0.5,2.44,
Vmoto Ltd,VMT,0.135,-,0.13,0.135,1001,0.135,0.135,0.145,0.135,0.215,0.061,-,,-,0.02,-,-1.07,-,-,-,
Waterco Ltd,WAT,1.02,-,0.96,1.00,-,-,-,1.02,1.02,1.06,0.68,6,f,1.72,1.26,5.88,10.3,9.9,-,-,
INDUSTRY GROUP: Consumer Services,,,,,,,,,,,,,,,,,,,,,,
Ainsworth Game Tech,AGI,0.085,-,0.085,0.09,50,0.085,0.085,0.09,0.085,0.22,0.075,-,,-,0.01,-,-4.95,-,-0.5,-5.56,
Aircruising Aust,AIG,0.11,-,-,0.10,-,-,-,0.11,0.11,0.11,0.10,-,,-,-0.11,-,-8.38,-,-,-,
Allied Brands Ltd,ABQ,0.027,0.1,0.026,0.027,730,0.027,0.027,0.028,0.025,0.245,0.024,0.5,,4.60,0.06,18.52,2.3,1.2,0.2,8,
  opt dec10,ABQO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.005,0.001,-,,-,-,-,-,-,-,-,
Aristocrat Leisure,ALL,3.60,-4,3.58,3.63,52233,3.69,3.56,3.77,3.55,5.75,3.50,4.5,,-,0.07,1.25,-31.3,-,-1.0,-0.28,
Artist & Entertain,AEM,0.007,-,0.008,0.011,-,-,-,0.011,0.007,0.025,0.007,-,,-,-,-,-1.54,-,-0.4,-36.36,
Centrebet Internat,CIL,1.40,7,1.32,1.42,52,1.40,1.40,1.40,1.31,1.89,0.955,10.5,,1.02,0.11,7.50,10.7,13.1,9.0,6.87,
Crown Ltd,CWN,7.90,12,7.88,7.90,6735,7.90,7.66,7.90,7.57,9.39,6.65,37,p,-,3.24,4.68,-92.35,-,17.0,2.2,
Domino Pizza Enterpr,DMP,5.31,-3,5.02,5.35,67,5.35,5.25,5.45,5.16,5.80,3.10,14,f,1.86,0.69,2.64,26,20.4,-15.0,-2.75,
eBet Ltd,EBT,0.083,-0.7,0.083,0.09,100,0.083,0.083,0.09,0.076,0.105,0.059,-,,-,-0.01,-,0.52,16.0,0.2,2.47,
Eumundi Grp Ltd,EBG,0.052,-,0.049,0.052,-,-,-,0.052,0.05,0.081,0.03,-,,-,0.19,-,-6,-,0.2,4,
Flight Centre,FLT,16.91,-10,16.78,17.15,2376,17.35,16.81,17.35,15.98,21.43,8.48,26,f,2.44,2.56,1.54,63.4,26.7,50.0,3.05,
G8 Education Ltd,GEM,0.61,4,0.57,0.61,40,0.61,0.61,0.61,0.57,0.685,0.07,-,,-,-0.27,-,-0.35,-,2.0,3.39,
Garratt's Ltd,GRT,0.38,-,0.365,0.50,-,-,-,0.38,0.38,0.56,0.305,3,,1.43,0.14,7.89,4.28,8.9,-,-,
Integrated Legal,IAW,0.10,-,0.10,0.115,-,-,-,0.10,0.10,0.17,0.091,0.25,f,2.16,0.06,2.50,0.54,18.5,-,-,
Invocare Ltd,IVC,6.00,3,5.95,6.02,1270,6.05,5.92,6.17,5.81,6.50,5.33,25.25,f,1.30,0.48,4.21,32.9,18.2,-13.0,-2.12,
Jetset Travelworld,JET,0.85,-,0.82,0.85,-,-,-,0.85,0.84,1.70,0.68,3.6,f,0.63,0.12,4.24,2.28,37.3,2.0,2.41,
Kip McGrath Edu Cntr,KME,0.26,-,0.26,0.30,-,-,-,0.26,0.26,0.45,0.105,2,,8.59,-0.10,7.69,17.19,1.5,-,-,
Macro Corp Ltd,MAC,0.024,-,0.005,0.03,-,-,-,0.024,0.024,0.04,0.024,-,,-,0.08,-,-0.43,-,-,-,
National Leisure,NLG,0.006,-0.1,0.006,0.008,14667,0.007,0.006,0.007,0.006,0.044,0.006,-,,-,-0.32,-,0.34,1.8,-0.1,-14.29,
Navitas Ltd,NVT,4.19,4,4.17,4.30,3173,4.20,4.17,4.45,4.13,5.56,2.65,16.9,f,0.99,-0.25,4.03,16.8,24.9,-28.0,-6.26,
Newhaven Hotels,NHH,1.96,-,1.96,2.50,-,-,-,1.96,1.96,2.20,1.75,6,f,0.96,1.09,3.06,5.74,34.1,-,-,
Ocean Capital,OCE,0.25,-,0.25,0.355,-,-,-,0.25,0.25,0.40,0.25,1.5,,0.93,0.41,6.00,1.39,18.0,-,-,
Odyssey Gaming,ODG,0.04,-,0.039,-,-,-,-,0.04,0.04,0.07,0.017,-,,-,0.06,-,0.5,8.0,-,-,
Planet Platinum,PPN,0.18,-,0.16,0.30,-,-,-,0.18,0.18,0.30,0.16,2.06,,2.17,0.21,11.44,4.46,4.0,-,-,
Qld Trustees Invest,QTI,0.34,-,0.34,0.39,-,-,-,0.34,0.34,0.50,0.34,-,,-,0.78,-,1.02,33.3,-,-,
Reef Casino Tr unt,RCT,1.87,1,1.87,1.90,35,1.875,1.87,1.90,1.86,2.15,1.70,24,,1.07,2.04,12.83,25.7,7.3,-3.0,-1.58,
Retail Food Grp,RFG,2.55,4,2.55,2.58,2,2.55,2.55,2.66,2.50,3.10,1.67,10,f,2.54,-0.70,3.92,25.4,10.0,-10.0,-3.77,
Sino Strategic Intl,SSI,0.235,-,0.235,0.255,-,-,-,0.25,0.235,0.92,0.23,-,,-,-0.05,-,-67,-,-,-,
Sky City Entertain,SKC,2.36,-3,2.34,2.36,1650,2.36,2.28,2.48,2.28,2.89,2.09,11.69,,1.63,0.53,4.95,19.09,12.4,1.0,0.43,
