FR GICSSEC ALL,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5506.5 at 2015-06-05T16:39:37. Report at Friday, June 5, 2015. Processed Saturday at 2015-06-06T01:00:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Automobiles & Components,,
Adv Braking Tech,ABV,.006,-,.006,.007,3333,.006,.006,.006,.006,.009,.005,-,,-,-,-,-.64,-,-,Stdy,,
  opt aug16,ABVO,.003,-,-,.002,-,-,-,.003,.003,.003,.002,-,,-,-,-,-,-,-,Stdy,,
ARB Corp,ARB,13.40,-8,13.37,13.41,651,13.59,13.27,14.31,13.27,14.49,10.49,29.00,f,2.03,2.42,2.16,58.75,22.8,-80,-5.63,,
Authorised Invest,AIY,.03,-,.002,.045,-,-,-,.03,.03,.032,.02,-,,-,.02,-,.40,7.5,-,Stdy,,
DataDot Tech,DDT,.027,+.1,.026,.027,6851,.027,.026,.027,.026,.037,.02,-,,-,-,-,-.14,-,+.1,+3.85,,
Orbital Corp,OEC,.51,-,.52,.53,-,-,-,.535,.51,.63,.14,-,,-,.49,-,1.73,29.5,-2.5,-4.67,,
Schaffer Corp,SFC,5.01,+23,4.80,5.09,35,5.01,5.01,5.01,4.78,6.29,4.78,25.00,f,.96,4.77,4.99,24.00,20.9,+14,+2.87,,
Sprintex,SIX,.001,-,.001,.002,-,-,-,.001,.001,.01,.001,-,,-,-,-,-.66,-,-,Stdy,,
VMoto,VMT,.50,-,.48,.50,2443,.50,.48,.52,.48,.55,.32,-,,-,.13,-,.40,125.0,-2,-3.85,,
Consumer Durables & Apparel,,
Atlas Pearls,ATP,.05,-,.043,.048,-,-,-,.05,.047,.14,.04,-,,-,.07,-,-1.63,-,+.2,+4.17,,
Audio Pixels,AKP,9.00,-43,8.66,9.45,81,9.25,9.00,10.00,9.00,14.50,4.00,-,,-,.05,-,-10.88,-,-115,-11.33,,
Billabong Int'l,BBG,.57,-.5,.565,.57,5899,.585,.565,.615,.565,.735,.455,-,,-,.16,-,.60,95.0,-3,-5.00,,
Coats Grp PLC,CGW,.50,+1,.49,.50,1800,.50,.50,.50,.48,.63,.37,-,,-,.33,-,1.21,41.3,+1.5,+3.09,,
Fantastic Hldgs,FAN,2.25,-,2.17,2.40,-,-,-,2.315,2.17,2.33,1.45,9.00,f,.86,1.01,4.00,7.71,29.2,-8,-3.43,,
Fleetwood Corp,FWD,1.565,-.5,1.50,1.565,1125,1.57,1.50,1.58,1.40,2.47,1.10,4.00,f,-,2.43,2.56,-.38,-,+14,+9.82,,
Gale Pacific,GAP,.20,-,.195,.20,165,.20,.20,.20,.19,.275,.165,2.65,,.52,.21,13.25,1.37,14.6,-,Stdy,,
Gazal Corp,GZL,2.35,-,2.36,2.50,-,-,-,2.42,2.35,2.95,2.35,17.00,f,1.18,1.19,7.23,20.00,11.8,-7,-2.89,,
GLG Corp,GLE,.20,-,.20,.23,27,.20,.20,.20,.20,.26,.15,-,,-,.90,-,5.24,3.8,-,Stdy,,
Globe Int'l,GLB,1.10,-,1.10,1.15,20,1.10,1.10,1.10,1.07,1.365,.40,3.00,f,-,.73,2.73,-27.82,-,-,Stdy,,
GUD Hldgs,GUD,9.04,+5,9.03,9.04,3891,9.21,8.91,9.82,8.91,9.82,5.76,38.00,f,1.12,1.16,4.20,42.50,21.3,-48,-5.04,,
Kresta Hldgs,KRS,.24,-,-,.205,-,-,-,.24,.24,.28,.19,-,f,-,.12,-,-.95,-,-,Stdy,,
McPherson's,MCP,.75,-18.5,.74,.78,10387,.785,.70,.98,.70,1.46,.70,11.00,f,1.49,-.07,14.67,16.40,4.6,-22,-22.68,,
Merchant House,MHI,.205,-,.19,.205,-,-,-,.205,.205,.23,.16,.50,,-,.48,2.44,-2.10,-,-,Stdy,,
Quantum Energy,QTM,.017,-,.012,.017,-,-,-,.017,.014,.048,.01,-,,-,.01,-,-.52,-,-,Stdy,,
Shenhua Int'l,SHU,.40,-,-,.395,-,-,-,.40,.40,.60,.35,4.00,,1.30,.68,10.00,5.20,7.7,-,Stdy,,
Simonds Grp,SIO,1.42,+1.5,1.40,1.42,629,1.42,1.355,1.535,1.355,1.785,1.355,-,,-,.08,-,-14.48,-,-10,-6.58,,
Tamawood,TWD,3.47,+4,3.46,3.47,88,3.47,3.44,3.54,3.40,4.10,2.80,23.00,f,1.09,.30,6.63,25.09,13.8,+7,+2.06,,
Treyo Leisure,TYO,.11,-9,.12,.30,20,.11,.11,.20,.11,.20,.11,-,,-,.22,-,1.60,6.9,-9,-45.00,,
UCW,UCW,.015,-,.015,.019,2500,.015,.015,.015,.013,.115,.012,-,,-,-,-,-4.02,-,-,Stdy,,
Waterco,WAT,1.05,-,1.00,1.05,-,-,-,1.05,1.05,1.20,1.025,6.00,f,.12,1.53,5.71,.70,150.0,-,Stdy,,
XPD Soccer Gear Grp,XPD,.25,-,.22,.23,-,-,-,.27,.195,.44,.195,-,,-,-,-,-,-,-2,-7.41,,
Yanghao Int'l,YHL,.30,-,-,.29,-,-,-,.30,.30,.30,.10,-,,-,-,-,8.55,3.5,-,Stdy,,
Consumer Services,,
3P Learning,3PL,2.42,-,2.42,2.43,117,2.44,2.41,2.49,2.40,2.85,1.94,-,,-,.10,-,-2.29,-,-3,-1.22,,
Academies A'asia,AKG,.78,-,.78,.80,75,.80,.78,.80,.78,1.40,.645,4.50,f,1.38,-.01,5.77,6.20,12.6,-1,-1.27,,
Aeeris,AER,.20,-,.18,.20,-,-,-,.21,.20,.25,.19,-,,-,-,-,-,-,-1,-4.76,,
Affinity Education,AFJ,.97,+.5,.97,.975,7429,.98,.955,1.035,.95,1.480,.95,-,,-,-.15,-,-2.90,-,-5,-4.90,,
Ainsworth Game Tech,AGI,2.74,-7,2.73,2.75,13114,2.80,2.70,3.14,2.70,3.98,2.03,10.00,f,1.90,.71,3.65,19.00,14.4,-36,-11.61,,
Aquaint Capital,AQU,.28,-,-,.26,-,-,-,.28,.26,.54,.18,1.00,,1.58,-,3.57,1.58,17.7,+2,+7.69,,
Ardent Leisure Grp,AAD,2.09,-2,2.07,2.09,13315,2.11,2.06,2.24,2.06,3.49,1.75,13.20,p,.83,.78,6.32,10.92,19.1,-8,-3.69,,
Aristocrat Leisure,ALL,7.70,+6,7.69,7.71,22100,7.80,7.60,8.03,7.57,8.74,5.17,16.00,,-,1.62,2.08,-1.01,-,-10,-1.28,,
Aust Careers Network,ACO,1.78,-1,1.775,1.78,1105,1.78,1.76,1.83,1.75,2.09,1.235,-,,-,.19,-,4.14,43.0,-5,-2.73,,
Collins Foods,CKF,2.56,+1,2.55,2.56,1106,2.61,2.56,2.76,2.55,2.80,1.97,11.00,f,-,-.91,4.30,-16.22,-,-14,-5.19,,
Corporate Travel,CTD,11.25,+6,11.21,11.26,1119,11.49,11.19,12.16,11.09,13.09,5.843,13.50,f,1.66,1.91,1.20,22.40,50.2,-98,-8.01,,
Crown Resorts,CWN,13.02,+22,13.02,13.03,27168,13.21,12.84,13.21,12.56,16.47,11.66,37.00,p,1.76,4.14,2.84,65.22,20.0,-7,-.53,,
Disruptive Invest,DVI,.015,+.1,.013,.015,983,.015,.015,.016,.013,.019,.006,-,,-,-,-,-.16,-,+.2,+15.38,,
