Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-02-20T16:00:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,,
Volume,,
Futures,"221,822","257,567","244,928","161,244","188,931",,
Options,"16,406","14,737","18,973","8,997","19,137",,
TOTAL,"238,228","272,304","263,901","170,241","208,068",,
Value ($'000),,
Futures,"69,656,842","81,366,967","119,944,577","59,683,406","101,929,844",,
Options,"1,659,448","1,476,325","1,930,260","974,944","2,082,423",,
TOTAL,"71,316,290","82,843,292","121,874,838","60,658,350","104,012,267",,
Spot Month Movement:,,
SPI 200,4918.0,4915.0,4912.0,4914.0,4922.0,,
90 Day Bank Bills,95.040,95.040,95.040,95.050,95.060,,
6% 3 Year C'wlth Bonds,94.730,94.740,94.740,94.750,94.780,,
6% 10 Year C'wlth Bonds,94.280,94.285,94.280,94.305,94.350,,
,
