Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-04-03T16:00:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Mar 28,Mar 29,Mar 30,Mar 31,Apr 1,,
Volume,,
Futures,"257,079","232,085","280,982","325,931","306,747",,
Options,"10,837","21,735","47,049","26,455","13,352",,
TOTAL,"267,916","253,820","328,031","352,386","320,099",,
Value ($'000),,
Futures,"127,894,458","121,957,306","132,792,284","134,316,575","153,147,467",,
Options,"1,106,800","2,201,123","4,727,150","4,463,822","1,349,300",,
TOTAL,"129,001,257","124,158,429","137,519,433","138,780,397","154,496,767",,
Spot Month Movement:,,
SPI 200,4754.0,4783.0,4841.0,4865.0,4874.0,,
90 Day Bank Bills,95.100,95.110,95.100,95.110,95.090,,
6% 3 Year C'wlth Bonds,94.920,94.940,94.900,94.930,94.890,,
6% 10 Year C'wlth Bonds,94.495,94.520,94.460,94.500,94.445,,
,
