Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-01-22T16:30:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jan 16,Jan 17,Jan 18,Jan 19,Jan 20,,
Volume,,
Futures,"304,117","343,030","284,863","293,648","233,148",,
Options,"3,535","9,560","8,984","18,704","11,071",,
TOTAL,"307,652","352,590","293,847","312,352","244,219",,
Value ($'000),,
Futures,"114,966,909","120,830,542","102,408,114","158,418,357","79,632,831",,
Options,"359,452","960,814","958,390","1,892,883","1,108,545",,
TOTAL,"115,326,361","121,791,356","103,366,504","160,311,240","80,741,376",,
Spot Month Movement:,,
SPI 200,4128.0,4186.0,4192.0,4197.0,4219.0,,
90 Day Bank Bills,95.930,95.860,95.860,95.880,95.860,,
6% 3 Year C'wlth Bonds,96.900,96.790,96.810,96.840,96.770,,
6% 10 Year C'wlth Bonds,96.275,96.155,96.185,96.200,96.120,,
,
