Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-06-24T19:30:13+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jun 18,Jun 19,Jun 20,Jun 21,Jun 22,,
Volume,,
Futures,"351,551","606,966","489,475","468,808","259,817",,
Options,"8,898","10,544","14,444","28,466","12,514",,
TOTAL,"360,449","617,510","503,919","497,274","272,331",,
Value ($'000),,
Futures,"135,174,845","174,732,064","160,708,966","169,883,405","99,499,244",,
Options,"953,020","1,096,392","1,484,118","2,872,628","1,250,761",,
TOTAL,"136,127,865","175,828,456","162,193,083","172,756,033","100,750,005",,
Spot Month Movement:,,
SPI 200,4135.0,4128.0,4129.0,4142.0,4141.0,,
90 Day Bank Bills,96.870,96.910,96.820,96.810,96.870,,
6% 3 Year C'wlth Bonds,97.610,97.710,97.560,97.500,97.610,,
6% 10 Year C'wlth Bonds,96.930,97.030,96.880,96.870,96.955,,
,
