Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-07-08T18:00:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jul 2,Jul 3,Jul 4,Jul 5,Jul 6,,
Volume,,
Futures,"308,544","356,359","286,062","174,827","259,853",,
Options,"3,372","10,765","11,035","10,564","9,344",,
TOTAL,"311,916","367,124","297,097","185,391","269,197",,
Value ($'000),,
Futures,"149,798,103","214,548,498","113,503,478","72,614,949","98,343,416",,
Options,"349,708","1,170,390","1,164,636","1,127,680","946,893",,
TOTAL,"150,147,812","215,718,888","114,668,114","73,742,630","99,290,309",,
Spot Month Movement:,,
SPI 200,4097.0,4098.0,4142.0,4131.0,4125.0,,
90 Day Bank Bills,96.640,96.620,96.610,96.660,96.650,,
6% 3 Year C'wlth Bonds,97.530,97.520,97.460,97.560,97.570,,
6% 10 Year C'wlth Bonds,96.915,96.940,96.895,97.010,97.005,,
,
