Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-08-12T18:30:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Aug 6,Aug 7,Aug 8,Aug 9,Aug 10,,
Volume,,
Futures,"280,164","369,360","414,633","427,728","328,894",,
Options,"6,102","14,785","12,268","17,356","13,224",,
TOTAL,"286,266","384,145","426,901","445,084","342,118",,
Value ($'000),,
Futures,"119,299,579","242,283,960","163,014,844","192,676,449","132,588,718",,
Options,"616,307","1,478,537","1,270,124","1,733,276","1,349,919",,
TOTAL,"119,915,886","243,762,497","164,284,968","194,409,724","133,938,637",,
Spot Month Movement:,,
SPI 200,4230.0,4249.0,4280.0,4275.0,4255.0,,
90 Day Bank Bills,96.480,96.490,96.490,96.470,96.490,,
6% 3 Year C'wlth Bonds,97.270,97.250,97.230,97.190,97.320,,
6% 10 Year C'wlth Bonds,96.840,96.830,96.770,96.755,96.840,,
,
