Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2013-03-10T20:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Mar 4,Mar 5,Mar 6,Mar 7,Mar 8,,
Volume,,
Futures,"448,648","582,820","605,037","479,700","517,216",,
Options,"14,987","34,066","24,978","20,845","27,977",,
TOTAL,"463,635","616,886","630,015","500,545","545,193",,
Value ($'000),,
Futures,"257,487,247","514,793,305","332,231,532","232,139,559","195,869,916",,
Options,"1,537,834","3,500,471","2,533,597","2,169,200","2,798,605",,
TOTAL,"259,025,081","518,293,776","334,765,129","234,308,759","198,668,520",,
Spot Month Movement:,,
SPI 200,5021.0,5079.0,5122.0,5111.0,5123.0,,
90 Day Bank Bills,97.050,97.020,97.020,97.010,97.010,,
6% 3 Year C'wlth Bonds,97.310,97.230,97.170,97.140,97.070,,
6% 10 Year C'wlth Bonds,96.750,96.700,96.630,96.590,96.480,,
,
