Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-07-27T14:00:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jul 22,Jul 23,Jul 24,Jul 25,Jul 26,,
Volume,,
Futures,"283,514","259,564","434,135","367,188","243,027",,
Options,"11,600","12,026","38,077","20,378","15,852",,
TOTAL,"295,114","271,590","472,212","387,566","258,879",,
Value ($'000),,
Futures,"137,833,057","151,923,789","273,246,709","215,104,022","91,754,422",,
Options,"1,171,437","1,228,142","3,870,101","2,059,360","1,646,589",,
TOTAL,"139,004,494","153,151,932","277,116,809","217,163,382","93,401,011",,
Spot Month Movement:,,
SPI 200,4960.0,4977.0,4993.0,4993.0,5008.0,,
90 Day Bank Bills,97.420,97.410,97.390,97.400,97.410,,
6% 3 Year C'wlth Bonds,97.370,97.370,97.340,97.290,97.300,,
6% 10 Year C'wlth Bonds,96.345,96.340,96.310,96.215,96.215,,
,
