Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-12-07T14:00:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,,
Volume,,
Futures,"310,437","449,731","504,235","407,857","393,626",,
Options,"9,441","33,674","27,260","19,193","18,400",,
TOTAL,"319,878","483,405","531,495","427,050","412,026",,
Value ($'000),,
Futures,"148,978,286","364,463,977","310,526,023","117,067,608","111,351,950",,
Options,"1,011,127","3,467,078","2,919,292","2,005,287","2,087,653",,
TOTAL,"149,989,414","367,931,055","313,445,315","119,072,895","113,439,603",,
Spot Month Movement:,,
SPI 200,5286.0,5254.0,5277.0,5211.0,5184.0,,
90 Day Bank Bills,97.430,97.420,97.410,97.410,97.410,,
6% 3 Year C'wlth Bonds,96.860,96.840,96.890,96.860,96.840,,
6% 10 Year C'wlth Bonds,95.770,95.735,95.755,95.665,95.630,,
,
