Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-03-01T14:30:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,,
Volume,,
Futures,"283,325","219,214","272,339","527,141","470,019",,
Options,"13,374","10,815","25,329","15,687","19,232",,
TOTAL,"296,699","230,029","297,668","542,828","489,251",,
Value ($'000),,
Futures,"99,491,000","94,024,778","102,000,175","264,660,958","229,314,411",,
Options,"1,381,114","1,238,470","2,616,287","1,599,191","1,973,487",,
TOTAL,"100,872,114","95,263,248","104,616,462","266,260,149","231,287,897",,
Spot Month Movement:,,
SPI 200,5423.0,5410.0,5437.0,5396.0,5396.0,,
90 Day Bank Bills,97.380,97.380,97.380,97.390,97.390,,
6% 3 Year C'wlth Bonds,97.000,97.000,97.030,97.120,97.140,,
6% 10 Year C'wlth Bonds,95.885,95.890,95.935,96.000,96.040,,
,
