Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-07-05T13:45:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jun 30,Jul 1,Jul 2,Jul 3,Jul 4,,
Volume,,
Futures,"279,146","383,484","459,213","641,798","303,308",,
Options,"9,671","14,608","10,070","23,207","16,755",,
TOTAL,"288,817","398,092","469,283","665,005","320,063",,
Value ($'000),,
Futures,"88,301,933","197,602,683","177,176,636","291,480,351","125,724,493",,
Options,"1,016,196","1,515,197","1,086,058","2,419,458","1,738,087",,
TOTAL,"89,318,129","199,117,880","178,262,694","293,899,809","127,462,580",,
Spot Month Movement:,,
SPI 200,5354.0,5340.0,5412.0,5453.0,5482.0,,
90 Day Bank Bills,97.350,97.350,97.360,97.380,97.380,,
6% 3 Year C'wlth Bonds,97.310,97.280,97.310,97.370,97.340,,
6% 10 Year C'wlth Bonds,96.450,96.405,96.430,96.450,96.405,,
,
