Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-09-27T14:00:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Sep 22,Sep 23,Sep 24,Sep 25,Sep 26,,
Volume,,
Futures,"306,818","398,943","381,384","386,463","405,452",,
Options,"9,515","11,726","12,190","10,028","6,212",,
TOTAL,"316,333","410,669","393,574","396,491","411,664",,
Value ($'000),,
Futures,"98,453,758","148,454,337","133,146,105","174,516,792","149,435,930",,
Options,"1,094,446","1,262,171","1,331,367","1,145,636","751,094",,
TOTAL,"99,548,205","149,716,509","134,477,471","175,662,428","150,187,024",,
Spot Month Movement:,,
SPI 200,5360.0,5406.0,5379.0,5371.0,5304.0,,
90 Day Bank Bills,97.340,97.350,97.330,97.330,97.330,,
6% 3 Year C'wlth Bonds,97.110,97.190,97.140,97.170,97.220,,
6% 10 Year C'wlth Bonds,96.310,96.410,96.355,96.390,96.480,,
,
