Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-01-17T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jan 12,Jan 13,Jan 14,Jan 15,Jan 16,,
Volume,,
Futures,"259,189","318,475","409,148","639,954","693,681",,
Options,"5,258","6,240","5,337","9,005","12,012",,
TOTAL,"264,447","324,715","414,485","648,959","705,693",,
Value ($'000),,
Futures,"118,268,259","114,715,189","152,497,592","336,373,395","338,532,014",,
Options,"526,077","634,118","530,245","989,118","1,225,084",,
TOTAL,"118,794,336","115,349,307","153,027,837","337,362,513","339,757,098",,
Spot Month Movement:,,
SPI 200,5385.0,5353.0,5303.0,5280.0,5231.0,,
90 Day Bank Bills,97.410,97.400,97.400,97.350,97.390,,
6% 3 Year C'wlth Bonds,97.900,97.950,97.960,97.870,97.960,,
6% 10 Year C'wlth Bonds,97.3550,97.4350,97.4750,97.3700,97.4850,,
,
