Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-03-28T14:00:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,,
Volume,,
Futures,"274,207","417,049","359,781","294,237","388,683",,
Options,"10,639","7,065","6,095","3,639","5,055",,
TOTAL,"284,846","424,114","365,876","297,876","393,738",,
Value ($'000),,
Futures,"100,089,118","166,776,280","145,060,789","113,657,363","131,279,197",,
Options,"1,211,868","691,660","627,891","407,795","534,242",,
TOTAL,"101,300,986","167,467,940","145,688,680","114,065,158","131,813,439",,
Spot Month Movement:,,
SPI 200,5957.0,5978.0,5970.0,5885.0,5917.0,,
90 Day Bank Bills,97.890,97.940,97.960,97.970,97.970,,
6% 3 Year C'wlth Bonds,98.270,98.270,98.310,98.310,98.270,,
6% 10 Year C'wlth Bonds,97.6150,97.6300,97.6800,97.6750,97.5950,,
,
