Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-11-14T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 9,Nov 10,Nov 11,Nov 12,Nov 13,,
Volume,,
Futures,"614,881","614,536","452,305","668,114","518,304",,
Options,"16,416","7,770","11,535","19,154","7,933",,
TOTAL,"631,297","622,306","463,840","687,268","526,237",,
Value ($'000),,
Futures,"295,231,634","263,505,777","142,533,856","366,533,474","192,898,842",,
Options,"1,641,201","817,460","1,389,753","1,959,640","836,235",,
TOTAL,"296,872,835","264,323,237","143,923,609","368,493,114","193,735,077",,
Spot Month Movement:,,
SPI 200,5117.0,5076.0,5128.0,5132.0,5034.0,,
90 Day Bank Bills,97.860,97.850,97.850,97.800,97.800,,
6% 3 Yr C'wlth Bonds,97.940,97.950,97.970,97.850,97.850,,
6% 10 Yr C'wlth Bonds,97.0650,97.0800,97.1000,97.0150,97.0100,,
,
